type,market,corp,title,date,rcp,Code
단일판매ㆍ공급계약체결,코스닥시장,뉴로메카,단일판매ㆍ공급계약체결,2024-06-28,20240628901136,348340
단일판매ㆍ공급계약체결,유가증권시장,동부건설,단일판매ㆍ공급계약체결,2024-06-28,20240628801129,005960
단일판매ㆍ공급계약체결,코스닥시장,대보마그네틱,단일판매ㆍ공급계약체결,2024-06-28,20240628901054,290670
단일판매ㆍ공급계약체결,유가증권시장,동일고무벨트,단일판매ㆍ공급계약체결,2024-06-28,20240628800714,163560
단일판매ㆍ공급계약체결,코스닥시장,삼영엠텍,단일판매ㆍ공급계약체결,2024-06-28,20240628900448,054540
단일판매ㆍ공급계약체결,코스닥시장,와이랩,단일판매ㆍ공급계약체결,2024-06-28,20240628900427,432430
단일판매ㆍ공급계약체결,코스닥시장,메쎄이상,단일판매ㆍ공급계약체결,2024-06-28,20240628900372,408920
단일판매ㆍ공급계약체결,코스닥시장,샌즈랩,단일판매ㆍ공급계약체결,2024-06-28,20240628900160,411080
단일판매ㆍ공급계약체결,유가증권시장,SNT에너지,단일판매ㆍ공급계약체결,2024-06-28,20240628800040,100840
단일판매ㆍ공급계약체결,유가증권시장,남광토건,단일판매ㆍ공급계약체결,2024-06-27,20240627800710,001260
단일판매ㆍ공급계약체결,유가증권시장,삼성E&A,단일판매ㆍ공급계약체결,2024-06-27,20240627800468,028050
단일판매ㆍ공급계약체결,유가증권시장,현대로템,단일판매ㆍ공급계약체결,2024-06-27,20240627800323,064350
단일판매ㆍ공급계약체결,코스닥시장,에코앤드림,단일판매ㆍ공급계약체결,2024-06-27,20240627900246,101360
단일판매ㆍ공급계약체결,유가증권시장,한전KPS,단일판매ㆍ공급계약체결,2024-06-27,20240627800155,051600
단일판매ㆍ공급계약체결,코스닥시장,아바코,단일판매ㆍ공급계약체결,2024-06-27,20240627900093,083930
단일판매ㆍ공급계약체결,유가증권시장,까뮤이앤씨,단일판매ㆍ공급계약체결,2024-06-27,20240627800086,013700
단일판매ㆍ공급계약체결,유가증권시장,동부건설,단일판매ㆍ공급계약체결,2024-06-26,20240626800441,005960
단일판매ㆍ공급계약체결,유가증권시장,HJ중공업,단일판매ㆍ공급계약체결,2024-06-26,20240626800332,097230
단일판매ㆍ공급계약체결,유가증권시장,진흥기업,단일판매ㆍ공급계약체결,2024-06-26,20240626800172,002780
단일판매ㆍ공급계약체결,코스닥시장,코난테크놀로지,단일판매ㆍ공급계약체결,2024-06-26,20240626900048,402030
단일판매ㆍ공급계약체결,유가증권시장,수산인더스트리,단일판매ㆍ공급계약체결,2024-06-25,20240625800555,126720
단일판매ㆍ공급계약체결,유가증권시장,엑시큐어하이트론,단일판매ㆍ공급계약체결,2024-06-25,20240625800549,019490
단일판매ㆍ공급계약체결,유가증권시장,삼성제약,단일판매ㆍ공급계약체결,2024-06-25,20240625800462,001360
단일판매ㆍ공급계약체결,유가증권시장,동아지질,단일판매ㆍ공급계약체결,2024-06-25,20240625800442,028100
단일판매ㆍ공급계약체결,유가증권시장,삼성바이오로직스,단일판매ㆍ공급계약체결,2024-06-25,20240625800286,207940
단일판매ㆍ공급계약체결,코스닥시장,미디어젠,단일판매ㆍ공급계약체결,2024-06-25,20240625900155,279600
단일판매ㆍ공급계약체결,유가증권시장,LIG디펜스앤에어로스페이스,단일판매ㆍ공급계약체결,2024-06-25,20240625800097,079550
단일판매ㆍ공급계약체결,유가증권시장,한화에어로스페이스,단일판매ㆍ공급계약체결,2024-06-25,20240625800087,012450
단일판매ㆍ공급계약체결,유가증권시장,한국항공우주,단일판매ㆍ공급계약체결,2024-06-25,20240625800059,047810
단일판매ㆍ공급계약체결,코스닥시장,티로보틱스,단일판매ㆍ공급계약체결,2024-06-25,20240625900041,117730
