구분,전략 비중,지수 비중,ETF 주수,최종 평가액,수익률%,최대 손실폭%,최악의 달%,일 변동성(연환산)%,수익/손실폭
추세 필터 적용,0%,100%,32,3460427,246.0,-40.7,-21.3,47.9,6.04
추세 필터 적용,20%,80%,25,2976023,197.6,-38.1,-19.4,44.0,5.18
추세 필터 적용,40%,60%,19,2559165,155.9,-34.7,-17.4,40.2,4.49
추세 필터 적용,50%,50%,16,2394052,139.4,-32.0,-16.5,37.6,4.35
추세 필터 적용,60%,40%,12,2155207,115.5,-28.0,-15.4,34.0,4.12
추세 필터 적용,80%,20%,6,1808318,80.8,-19.2,-12.8,27.6,4.22
추세 필터 적용,100%,0%,0,1428649,42.9,-25.2,-9.7,23.2,1.7
추세 필터 미적용,0%,100%,32,3460427,246.0,-40.7,-21.3,47.9,6.04
추세 필터 미적용,20%,80%,25,3011898,201.2,-37.8,-19.2,43.8,5.33
추세 필터 미적용,40%,60%,19,2642027,164.2,-33.9,-17.0,39.8,4.85
추세 필터 미적용,50%,50%,16,2476915,147.7,-31.2,-16.6,37.6,4.73
추세 필터 미적용,60%,40%,12,2246810,124.7,-27.0,-14.4,33.8,4.62
추세 필터 미적용,80%,20%,6,1951431,95.1,-18.5,-12.8,28.3,5.15
추세 필터 미적용,100%,0%,0,1610858,61.1,-25.9,-10.2,25.2,2.36
