종목,코드,매수일,매도일,주수,매수가,매도가,손익,수익률%
삼성E&A,028050,2025-01-02,2025-02-03,6,16556,17714,6778,6.8
케이프,064820,2025-01-02,2025-02-03,17,5722,7285,26369,27.1
서연,007860,2025-01-02,2025-02-03,15,6614,6687,921,0.9
현대코퍼레이션,011760,2025-01-02,2025-03-04,5,19121,23004,19225,20.1
에스엘,005850,2025-01-02,2025-03-04,3,30215,34381,12329,13.6
티에이치엔,019180,2025-02-03,2025-03-04,32,3207,2974,-7608,-7.4
서희건설,035890,2025-02-03,2025-03-04,34,3024,3069,1336,1.3
동양이엔피,079960,2025-03-04,2025-04-01,5,19251,19012,-1354,-1.4
기아,000270,2025-03-04,2025-04-01,1,93300,92614,-839,-0.9
제이에스코퍼레이션,194370,2025-03-04,2025-04-01,14,7551,8598,14453,13.7
한양이엔지,045100,2025-01-02,2025-05-02,6,16535,16198,-2188,-2.2
E1,017940,2025-01-02,2025-05-02,1,69148,62076,-7175,-10.4
동원F&amp;B,049770,2025-01-02,2025-05-02,3,31267,36726,16196,17.3
금호타이어,073240,2025-01-02,2025-05-02,20,4820,4716,-2251,-2.3
DN오토모티브,007340,2025-01-02,2025-05-02,5,18610,20609,9824,10.6
현대지에프홀딩스,005440,2025-02-03,2025-05-02,21,4941,5419,9862,9.5
삼천리,004690,2025-03-04,2025-05-02,1,91196,91517,170,0.2
삼양사,145990,2025-04-01,2025-05-02,2,44596,47754,6160,6.9
LX하우시스,108670,2025-04-01,2025-05-02,3,29213,29341,240,0.3
SK디앤디,210980,2025-04-01,2025-05-02,19,5523,5975,8404,8.0
다우데이타,032190,2025-05-02,2025-06-02,9,11926,16667,42422,39.5
엠씨넥스,097520,2025-05-02,2025-06-02,4,23801,26996,12601,13.2
SGC에너지,005090,2025-05-02,2025-06-02,4,23300,24251,3646,3.9
삼지전자,037460,2025-05-02,2025-06-02,10,10523,10379,-1605,-1.5
파트론,091700,2025-05-02,2025-06-02,16,6825,6557,-4458,-4.1
토비스,051360,2025-05-02,2025-06-02,11,10063,9437,-7052,-6.4
다우기술,023590,2025-05-02,2025-07-01,5,21546,34531,64638,60.0
우신시스템,017370,2025-06-02,2025-07-01,17,7085,7964,14717,12.2
