종목,코드,매수일,매도일,주수,매수가,매도가,손익,수익률%
다우데이타,032190,2025-05-02,2025-06-02,8,11926,16667,37708,39.5
엠씨넥스,097520,2025-05-02,2025-06-02,4,23801,26996,12601,13.2
SGC에너지,005090,2025-05-02,2025-06-02,4,23300,24251,3646,3.9
삼지전자,037460,2025-05-02,2025-06-02,9,10523,10379,-1445,-1.5
파트론,091700,2025-05-02,2025-06-02,14,6825,6557,-3900,-4.1
토비스,051360,2025-05-02,2025-06-02,9,10063,9437,-5770,-6.4
다우기술,023590,2025-05-02,2025-07-01,4,21546,34531,51710,60.0
우신시스템,017370,2025-06-02,2025-07-01,15,7085,7964,12985,12.2
한샘,009240,2025-06-02,2025-07-01,2,41940,45559,7087,8.4
현대홈쇼핑,057050,2025-06-02,2025-07-01,1,55018,55788,678,1.2
DB,012030,2025-06-02,2025-07-01,76,1412,1500,6497,6.1
효성,004800,2025-05-02,2025-08-01,1,53214,86327,32970,62.0
동양이엔피,079960,2025-06-02,2025-08-01,4,22097,25399,13039,14.8
유아이엘,049520,2025-07-01,2025-08-01,31,3688,3638,-1742,-1.5
화승인더,006060,2025-05-02,2025-09-01,21,4695,4261,-9254,-9.4
에스에이엠티,031330,2025-05-02,2025-09-01,36,2716,2884,5891,6.0
삼지전자,037460,2025-07-01,2025-09-01,10,11144,10948,-2139,-1.9
서원,021050,2025-08-01,2025-09-01,94,1268,1166,-9774,-8.2
코텍,052330,2025-08-01,2025-09-01,12,9941,8713,-14918,-12.5
삼립,005610,2025-08-01,2025-09-01,2,54717,52994,-3622,-3.3
대원산업,005710,2025-07-01,2025-10-01,10,10843,11607,7443,6.9
아나패스,123860,2025-07-01,2025-10-01,6,18089,19052,5589,5.1
파워넷,037030,2025-09-01,2025-10-01,40,2906,3064,6103,5.2
현대홈쇼핑,057050,2025-09-01,2025-10-01,2,55720,54690,-2239,-2.0
현대그린푸드,453340,2025-09-01,2025-10-01,7,16115,15359,-5465,-4.8
JW중외제약,001060,2025-09-01,2025-10-01,5,21496,21257,-1369,-1.3
효성,004800,2025-09-01,2025-11-03,1,85884,133632,47527,55.3
에스에이엠티,031330,2025-10-01,2025-11-03,34,3367,3678,10347,9.0
하나투어,039130,2025-10-01,2025-11-03,2,50609,47654,-6065,-6.0
금호타이어,073240,2025-06-02,2025-12-01,24,4460,5888,34054,31.8
아모레퍼시픽홀딩스,002790,2025-09-01,2025-12-01,4,27309,28643,5147,4.7
LF,093050,2025-11-03,2025-12-01,6,18149,17944,-1407,-1.3
다우데이타,032190,2025-11-03,2026-01-02,6,17638,18503,4952,4.7
현대홈쇼핑,057050,2025-11-03,2026-01-02,2,52613,54491,3522,3.3
현대그린푸드,453340,2025-12-01,2026-01-02,8,15644,15689,90,0.1
엠씨넥스,097520,2025-07-01,2026-02-02,4,27158,29940,10869,10.0
삼지전자,037460,2025-10-01,2026-02-02,9,12196,22655,93688,85.4
다우기술,023590,2025-10-01,2026-02-02,3,36779,51297,43224,39.2
쿠쿠홈시스,284740,2025-12-01,2026-02-02,5,25004,23403,-8254,-6.6
우리넷,115440,2026-01-02,2026-02-02,17,7185,7954,12776,10.5
현대코퍼레이션,011760,2025-10-01,2026-03-03,5,21195,27096,29210,27.6
한국가스공사,036460,2025-10-01,2026-03-03,2,39084,44411,10463,13.4
E1,017940,2026-01-02,2026-03-03,1,83680,109680,25765,30.8
현대홈쇼핑,057050,2026-02-02,2026-03-03,2,57924,80938,45679,39.4
종근당홀딩스,001630,2026-02-02,2026-03-03,2,49907,50798,1564,1.6
디와이피엔에프,104460,2026-02-02,2026-03-03,9,14541,14840,2404,1.8
JW홀딩스,096760,2026-02-02,2026-03-03,35,3969,4152,6098,4.4
동성케미컬,102260,2026-01-02,2026-04-01,30,4219,4127,-3036,-2.4
경동도시가스,267290,2026-03-03,2026-04-01,6,24052,21607,-14948,-10.4
한샘,009240,2025-12-01,2026-05-04,2,46149,44910,-2671,-2.9
현대그린푸드,453340,2026-02-02,2026-05-04,9,15213,16467,10971,8.0
엠씨넥스,097520,2026-03-03,2026-05-04,5,26607,23204,-17267,-13.0
쿠쿠홈시스,284740,2026-03-03,2026-05-04,5,25755,24551,-6286,-4.9
서원,021050,2026-03-03,2026-05-04,115,1329,1559,26067,17.1
화승인더,006060,2026-03-03,2026-05-04,43,3492,3483,-729,-0.5
풀무원,017810,2026-03-03,2026-05-04,11,12948,12475,-5496,-3.9
케이카,381970,2026-04-01,2026-05-04,9,14231,11148,-27962,-21.8
현대코퍼레이션,011760,2026-04-01,2026-05-04,5,25204,31537,31325,24.9
유아이엘,049520,2026-03-03,2026-06-01,37,4059,3797,-9971,-6.6
대원강업,000430,2026-05-04,2026-06-01,34,4394,4721,10743,7.2
KG이니시스,035600,2026-05-04,2026-06-01,13,11575,9980,-21012,-14.0
KT,030200,2026-05-04,2026-06-01,2,61332,53493,-15908,-13.0
한진중공업홀딩스,003480,2026-05-04,2026-06-01,24,6173,5080,-26504,-17.9
TP,007980,2026-05-04,2026-06-01,68,2190,1777,-28294,-19.0
한솔로지스틱스,009180,2026-05-04,2026-06-01,47,3187,2834,-16855,-11.3
세보엠이씨,011560,2026-05-04,2026-06-01,6,23851,22555,-8069,-5.6
INVENI,015360,2026-05-04,2026-07-01,9,16355,13962,-21808,-14.8
KTcs,058850,2026-06-01,2026-07-01,54,2520,2275,-13492,-9.9
GC메디아이,032620,2026-06-01,2026-07-01,40,3407,2869,-21769,-16.0
아이티센엔텍,010280,2026-06-01,2026-07-01,20,6564,5220,-27115,-20.7
하림,136480,2026-06-01,2026-07-01,47,2896,2675,-10684,-7.8
자이에스앤디,317400,2026-06-01,2026-08-03,36,3738,6347,93442,69.4
웅진,016880,2026-06-01,2026-08-03,63,2165,1963,-12965,-9.5
HDC,012630,2026-07-01,2026-08-03,5,21546,19960,-8146,-7.6
일지테크,019540,2026-07-01,2026-08-03,22,5802,6148,7304,5.7
이지바이오,353810,2026-07-01,2026-08-03,20,6133,6018,-2563,-2.1
현대그린푸드,453340,2026-06-01,2026-09-01,8,16535,18862,18289,13.8
티에이치엔,019180,2026-08-03,2026-09-01,24,5652,5369,-7066,-5.2
동아엘텍,088130,2026-08-03,2026-09-01,27,4951,5459,13411,10.0
샘표식품,248170,2026-08-03,2026-09-01,6,22498,23403,5127,3.8
