종목,코드,매수일,주수,매수가,현재가,평가손익,수익률%
지역난방공사,071320,2026-05-04,2,76765,75700,-2129,-1.4
다우기술,023590,2026-06-01,3,39635,39450,-555,-0.5
다우데이타,032190,2026-07-01,7,18099,20200,14708,11.6
선진,136490,2026-07-01,15,9240,10340,16503,11.9
하림,136480,2026-08-03,58,2651,2675,1410,0.9
태영건설,009410,2026-08-03,95,1615,1671,5276,3.4
현대코퍼레이션,011760,2026-09-01,6,25755,25750,-32,-0.0
제이에스코퍼레이션,194370,2026-09-01,11,14020,13640,-4181,-2.7
HDC,012630,2026-09-01,7,22398,22350,-336,-0.2
KG이니시스,035600,2026-09-01,15,10653,10610,-643,-0.4
