종목,코드,매수일,주수,매수가,현재가,평가손익,수익률%
지역난방공사,071320,2026-05-04,1,76765,75700,-1065,-1.4
다우기술,023590,2026-06-01,3,39635,39450,-555,-0.5
다우데이타,032190,2026-07-01,7,18099,20200,14708,11.6
선진,136490,2026-07-01,13,9240,10340,14302,11.9
하림,136480,2026-08-03,51,2651,2675,1240,0.9
태영건설,009410,2026-08-03,84,1615,1671,4665,3.4
현대코퍼레이션,011760,2026-09-01,5,25755,25750,-26,-0.0
제이에스코퍼레이션,194370,2026-09-01,10,14020,13640,-3801,-2.7
HDC,012630,2026-09-01,6,22398,22350,-288,-0.2
KG이니시스,035600,2026-09-01,13,10653,10610,-557,-0.4
