체결일,판단일,코스피추세,보유수,현금
2025-01-02,2024-12-30,아래,10,66307
2025-02-03,2025-01-31,아래,10,86994
2025-03-04,2025-02-28,아래,10,117508
2025-04-01,2025-03-31,아래,10,143279
2025-05-02,2025-04-30,위,10,56512
2025-06-02,2025-05-30,위,10,57627
2025-07-01,2025-06-30,위,10,77776
2025-08-01,2025-07-31,위,10,129723
2025-09-01,2025-08-29,위,10,111133
2025-10-01,2025-09-30,위,10,173976
2025-11-03,2025-10-31,위,10,189997
2025-12-01,2025-11-28,위,10,184241
2026-01-02,2025-12-30,위,10,192288
2026-02-02,2026-01-30,위,10,230523
2026-03-03,2026-02-27,위,10,112130
2026-04-01,2026-03-31,위,10,95298
2026-05-04,2026-04-30,위,10,85560
2026-06-01,2026-05-29,위,10,64526
2026-07-01,2026-06-30,위,10,57543
2026-08-03,2026-07-31,위,10,112869
2026-09-01,2026-08-31,위,10,110573
