체결일,판단일,코스피추세,보유수,현금
2025-01-02,2024-12-30,아래,0,1000000
2025-02-03,2025-01-31,아래,0,1000000
2025-03-04,2025-02-28,아래,0,1000000
2025-04-01,2025-03-31,아래,0,1000000
2025-05-02,2025-04-30,위,10,99614
2025-06-02,2025-05-30,위,10,159165
2025-07-01,2025-06-30,위,10,125435
2025-08-01,2025-07-31,위,10,77735
2025-09-01,2025-08-29,위,10,56531
2025-10-01,2025-09-30,위,10,111581
2025-11-03,2025-10-31,위,10,145031
2025-12-01,2025-11-28,위,10,165517
2026-01-02,2025-12-30,위,10,177879
2026-02-02,2026-01-30,위,10,283742
2026-03-03,2026-02-27,위,10,156467
2026-04-01,2026-03-31,위,10,155269
2026-05-04,2026-04-30,위,10,117307
2026-06-01,2026-05-29,위,10,102174
2026-07-01,2026-06-30,위,10,89441
2026-08-03,2026-07-31,위,10,120311
2026-09-01,2026-08-31,위,10,144810
