asof,rank,code,score,close
2024-12-30,1,011760,3.8201257862,19110
2024-12-30,2,045100,3.7647798742,16570
2024-12-30,3,017940,3.7610062893,68700
2024-12-30,4,028050,3.7597484277,16550
2024-12-30,5,049770,3.7459119497,31050
2024-12-30,6,064820,3.7433962264,5740
2024-12-30,7,005850,3.7106918239,30150
2024-12-30,8,073240,3.7106918239,4775
2024-12-30,9,007340,3.7081761006,18330
2024-12-30,10,007860,3.6855345912,6750
2024-12-30,11,145990,3.6628930818,47600
2024-12-30,12,004690,3.6566037736,88800
2024-12-30,13,035890,3.6352201258,3144
2024-12-30,14,051500,3.6213836478,17460
2024-12-30,15,005440,3.6025157233,4885
2024-12-30,16,003300,3.5974842767,14000
2024-12-30,17,015750,3.5924528302,4965
2024-12-30,18,000270,3.5911949686,100700
2024-12-30,19,267980,3.5748427673,34750
2024-12-30,20,023590,3.5672955975,17870
2024-12-30,21,306200,3.5371069182,120700
2024-12-30,22,005380,3.5320754717,212000
2024-12-30,23,108670,3.5157232704,31900
2024-12-30,24,214320,3.4830188679,19390
2024-12-30,25,000070,3.4666666667,43708
2024-12-30,26,200880,3.4641509434,11770
2024-12-30,27,012630,3.4176100629,11910
2024-12-30,28,009970,3.3924528302,83200
2024-12-30,29,006730,3.3849056604,5420
2024-12-30,30,234300,3.3685534591,3785
2024-12-30,31,185750,3.3647798742,89000
2024-12-30,32,006040,3.3597484277,36950
2024-12-30,33,211050,3.3572327044,5610
2024-12-30,34,012330,3.3496855346,236500
2024-12-30,35,194370,3.3371069182,7075
2024-12-30,36,300720,3.3320754717,14520
2024-12-30,37,005300,3.3018867925,112000
2024-12-30,38,282330,3.2893081761,102500
2024-12-30,39,161390,3.2805031447,38400
2024-12-30,40,086280,3.279245283,118100
2024-12-30,41,009900,3.2754716981,10310
2024-12-30,42,025540,3.2691823899,66900
2024-12-30,43,105630,3.2591194969,14170
2024-12-30,44,093050,3.241509434,15500
2024-12-30,45,035150,3.2163522013,13160
2024-12-30,46,123410,3.2113207547,4375
2024-12-30,47,002030,3.1974842767,251500
2024-12-30,48,017810,3.1962264151,10700
2024-12-30,49,069260,3.1798742138,17050
2024-12-30,50,078930,3.1773584906,39300
2024-12-30,51,047040,3.1735849057,3105
2024-12-30,52,032190,3.1660377358,10160
2024-12-30,53,000120,3.1610062893,84400
2024-12-30,54,053700,3.1496855346,4220
2024-12-30,55,018670,3.1459119497,207000
2024-12-30,56,049720,3.1459119497,10110
2024-12-30,57,007310,3.1119496855,395500
2024-12-30,58,018310,3.1094339623,21000
2024-12-30,59,003960,3.0968553459,40600
2024-12-30,60,017800,3.0867924528,52400
2025-01-31,1,011760,3.8485254692,19640
2025-01-31,2,019180,3.8230563003,3240
2025-01-31,3,017940,3.7949061662,66500
2025-01-31,4,045100,3.7841823056,16400
2025-01-31,5,035890,3.7774798928,3038
2025-01-31,6,049770,3.7721179625,29650
2025-01-31,7,007340,3.7493297587,20900
2025-01-31,8,005850,3.7426273458,32050
2025-01-31,9,073240,3.7184986595,5250
2025-01-31,10,005440,3.672922252,4885
2025-01-31,11,015750,3.672922252,5130
2025-01-31,12,000270,3.6058981233,102000
2025-01-31,13,028050,3.5670241287,18010
2025-01-31,14,051500,3.5361930295,20650
2025-01-31,15,053700,3.5013404826,4375
2025-01-31,16,108670,3.4973190349,30950
2025-01-31,17,185750,3.4544235925,86600
2025-01-31,18,282330,3.4544235925,103600
2025-01-31,19,005380,3.4530831099,206000
2025-01-31,20,214320,3.4517426273,18470
2025-01-31,21,012630,3.4504021448,12490
2025-01-31,22,009970,3.4490616622,81900
2025-01-31,23,006040,3.4463806971,33650
2025-01-31,24,234300,3.4329758713,4170
2025-01-31,25,009900,3.4329758713,10920
2025-01-31,26,300720,3.4222520107,15390
2025-01-31,27,211050,3.4008042895,5730
2025-01-31,28,003960,3.3766756032,39650
2025-01-31,29,053270,3.3659517426,2265
2025-01-31,30,105630,3.3445040214,13150
2025-01-31,31,012330,3.3378016086,263500
2025-01-31,32,200880,3.3351206434,12610
2025-01-31,33,161390,3.3310991957,40950
2025-01-31,34,005300,3.3243967828,103500
2025-01-31,35,183190,3.3203753351,10540
2025-01-31,36,005610,3.308310992,46850
2025-01-31,37,069260,3.2627345845,16950
2025-01-31,38,017800,3.2600536193,53000
2025-01-31,39,053980,3.2439678284,3560
2025-01-31,40,248070,3.2037533512,18850
2025-01-31,41,025540,3.1983914209,78500
2025-01-31,42,023410,3.1903485255,3295
2025-01-31,43,035600,3.1849865952,8590
2025-01-31,44,002960,3.1836461126,316000
2025-01-31,45,078930,3.18230563,38500
2025-01-31,46,215200,3.1809651475,39000
2025-01-31,47,007310,3.1715817694,384000
2025-01-31,48,016380,3.1715817694,5920
2025-01-31,49,030000,3.163538874,17180
2025-01-31,50,018670,3.1608579088,217000
2025-01-31,51,017810,3.1554959786,10370
2025-01-31,52,286940,3.1554959786,19540
2025-01-31,53,023530,3.1461126005,54000
2025-01-31,54,192080,3.1380697051,49000
2025-01-31,55,020560,3.1273458445,10560
2025-01-31,56,005180,3.1260053619,73400
2025-01-31,57,117580,3.1260053619,8080
2025-01-31,58,035150,3.1246648794,14190
2025-01-31,59,101160,3.1152815013,16670
2025-01-31,60,032640,3.1139410188,10040
2025-02-28,1,079960,3.8425584256,19270
2025-02-28,2,004690,3.7896678967,91000
2025-02-28,3,045100,3.7724477245,16660
2025-02-28,4,017940,3.7576875769,62300
2025-02-28,5,007340,3.7515375154,21300
2025-02-28,6,073240,3.7367773678,4900
2025-02-28,7,049770,3.6875768758,31200
2025-02-28,8,000270,3.6642066421,93200
2025-02-28,9,005440,3.618696187,5450
2025-02-28,10,194370,3.5990159902,7535
2025-02-28,11,211050,3.5867158672,5860
2025-02-28,12,108670,3.5535055351,30550
2025-02-28,13,005380,3.5412054121,193000
2025-02-28,14,214320,3.5313653137,18370
2025-02-28,15,015750,3.5141451415,5060
2025-02-28,16,282330,3.4932349323,99900
2025-02-28,17,005610,3.4895448954,49750
2025-02-28,18,051500,3.4575645756,21500
2025-02-28,19,284740,3.4526445264,22100
2025-02-28,20,185750,3.4489544895,80800
2025-02-28,21,003960,3.430504305,40750
2025-02-28,22,017800,3.4218942189,55000
2025-02-28,23,012630,3.4206642066,13800
2025-02-28,24,006040,3.4194341943,35100
2025-02-28,25,300720,3.4034440344,15660
2025-02-28,26,000070,3.4009840098,39771
2025-02-28,27,009970,3.393603936,90900
2025-02-28,28,012330,3.3911439114,245500
2025-02-28,29,023590,3.3886838868,20250
2025-02-28,30,011760,3.3640836408,24150
2025-02-28,31,123410,3.3345633456,4490
2025-02-28,32,009900,3.3308733087,9310
2025-02-28,33,248070,3.3234932349,17630
2025-02-28,34,005300,3.3222632226,104900
2025-02-28,35,053270,3.3148831488,2250
2025-02-28,36,161390,3.3136531365,37900
2025-02-28,37,028050,3.3038130381,16380
2025-02-28,38,200880,3.2927429274,12610
2025-02-28,39,000430,3.2878228782,3740
2025-02-28,40,210980,3.2853628536,5517
2025-02-28,41,215200,3.2730627306,38600
2025-02-28,42,093050,3.2669126691,16510
2025-02-28,43,069260,3.2632226322,16160
2025-02-28,44,002960,3.2595325953,316000
2025-02-28,45,064820,3.2570725707,6690
2025-02-28,46,058860,3.2521525215,2705
2025-02-28,47,030000,3.2373923739,17870
2025-02-28,48,105630,3.2373923739,11660
2025-02-28,49,230360,3.233702337,9200
2025-02-28,50,035600,3.2300123001,8560
2025-02-28,51,192080,3.2066420664,47900
2025-02-28,52,007310,3.1894218942,387000
2025-02-28,53,020560,3.1746617466,10680
2025-02-28,54,005810,3.1709717097,26650
2025-02-28,55,215000,3.1635916359,59200
2025-02-28,56,003310,3.147601476,1643
2025-02-28,57,016090,3.1389913899,2265
2025-02-28,58,033270,3.1389913899,20200
2025-02-28,59,032190,3.135301353,10900
2025-02-28,60,353810,3.1316113161,5050
2025-03-31,1,045100,3.7823218997,15840
2025-03-31,2,073240,3.7730870712,4735
2025-03-31,3,017940,3.7308707124,59100
2025-03-31,4,004690,3.7058047493,86300
2025-03-31,5,145990,3.6807387863,43900
2025-03-31,6,005440,3.6635883905,5130
2025-03-31,7,108670,3.6345646438,29350
2025-03-31,8,049770,3.6306068602,32100
2025-03-31,9,210980,3.6121372032,5511
2025-03-31,10,007340,3.6094986807,20600
2025-03-31,11,003960,3.6055408971,37700
2025-03-31,12,000270,3.555408971,92300
2025-03-31,13,185750,3.555408971,77800
2025-03-31,14,017800,3.5488126649,54100
2025-03-31,15,006730,3.5211081794,5500
2025-03-31,16,248070,3.5079155673,16660
2025-03-31,17,009900,3.463060686,8370
2025-03-31,18,234080,3.4591029024,10960
2025-03-31,19,284740,3.4564643799,20700
2025-03-31,20,001790,3.4498680739,2730
2025-03-31,21,214320,3.437994723,17480
2025-03-31,22,282330,3.4353562005,109400
2025-03-31,23,006040,3.3944591029,34700
2025-03-31,24,005380,3.3839050132,197200
