date,equity,n
2025-01-02,1000000.0,0
2025-01-03,1000000.0,0
2025-01-06,1000000.0,0
2025-01-07,1000000.0,0
2025-01-08,1000000.0,0
2025-01-09,1000000.0,0
2025-01-10,1000000.0,0
2025-01-13,1000000.0,0
2025-01-14,1000000.0,0
2025-01-15,1000000.0,0
2025-01-16,1000000.0,0
2025-01-17,1000000.0,0
2025-01-20,1000000.0,0
2025-01-21,1000000.0,0
2025-01-22,1000000.0,0
2025-01-23,1000000.0,0
2025-01-24,1000000.0,0
2025-01-31,1000000.0,0
2025-02-03,1000000.0,0
2025-02-04,1000000.0,0
2025-02-05,1000000.0,0
2025-02-06,1000000.0,0
2025-02-07,1000000.0,0
2025-02-10,1000000.0,0
2025-02-11,1000000.0,0
2025-02-12,1000000.0,0
2025-02-13,1000000.0,0
2025-02-14,1000000.0,0
2025-02-17,1000000.0,0
2025-02-18,1000000.0,0
2025-02-19,1000000.0,0
2025-02-20,1000000.0,0
2025-02-21,1000000.0,0
2025-02-24,1000000.0,0
2025-02-25,1000000.0,0
2025-02-26,1000000.0,0
2025-02-27,1000000.0,0
2025-02-28,1000000.0,0
2025-03-04,1000000.0,0
2025-03-05,1000000.0,0
2025-03-06,1000000.0,0
2025-03-07,1000000.0,0
2025-03-10,1000000.0,0
2025-03-11,1000000.0,0
2025-03-12,1000000.0,0
2025-03-13,1000000.0,0
2025-03-14,1000000.0,0
2025-03-17,1000000.0,0
2025-03-18,1000000.0,0
2025-03-19,1000000.0,0
2025-03-20,1000000.0,0
2025-03-21,1000000.0,0
2025-03-24,1000000.0,0
2025-03-25,1000000.0,0
2025-03-26,1000000.0,0
2025-03-27,1000000.0,0
2025-03-28,1000000.0,0
2025-03-31,1000000.0,0
2025-04-01,1000000.0,0
2025-04-02,1000000.0,0
2025-04-03,1000000.0,0
2025-04-04,1000000.0,0
2025-04-07,1000000.0,0
2025-04-08,1000000.0,0
2025-04-09,1000000.0,0
2025-04-10,1000000.0,0
2025-04-11,1000000.0,0
2025-04-14,1000000.0,0
2025-04-15,1000000.0,0
2025-04-16,1000000.0,0
2025-04-17,1000000.0,0
2025-04-18,1000000.0,0
2025-04-21,1000000.0,0
2025-04-22,1000000.0,0
2025-04-23,1000000.0,0
2025-04-24,1000000.0,0
2025-04-25,1000000.0,0
2025-04-28,1000000.0,0
2025-04-29,1000000.0,0
2025-04-30,1000000.0,0
2025-05-02,996467.0543638001,10
2025-05-07,997363.0543638001,10
2025-05-08,1015014.0543638001,10
2025-05-09,1019879.0543638001,10
2025-05-12,1030951.0543638001,10
2025-05-13,1043729.0543638001,10
2025-05-14,1043625.0543638001,10
2025-05-15,1037378.0543638001,10
2025-05-16,1038148.0543638001,10
2025-05-19,1026302.0543638001,10
2025-05-20,1033610.0543638001,10
2025-05-21,1038452.0543638001,10
2025-05-22,1030374.0543638001,10
2025-05-23,1027073.0543638001,10
2025-05-26,1044815.0543638001,10
2025-05-27,1040487.0543638001,10
2025-05-28,1039779.0543638001,10
2025-05-29,1084797.0543638,10
2025-05-30,1083023.0543638,10
2025-06-02,1073244.1937169998,10
2025-06-04,1086269.1937169998,10
2025-06-05,1099359.1937169998,10
2025-06-09,1113439.1937169998,10
2025-06-10,1120189.1937169998,10
2025-06-11,1127149.1937169998,10
2025-06-12,1127194.1937169998,10
2025-06-13,1105684.1937169998,10
2025-06-16,1142114.1937169998,10
2025-06-17,1126939.1937169998,10
2025-06-18,1122509.1937169998,10
2025-06-19,1123409.1937169998,10
2025-06-20,1136614.1937169998,10
2025-06-23,1126034.1937169998,10
2025-06-24,1153709.1937169998,10
2025-06-25,1159664.1937169998,10
2025-06-26,1150394.1937169998,10
2025-06-27,1140239.1937169998,10
2025-06-30,1148504.1937169998,10
2025-07-01,1162183.0994829999,10
2025-07-02,1161283.0994829999,10
2025-07-03,1179538.0994829999,10
2025-07-04,1169983.0994829999,10
2025-07-07,1155828.0994829999,10
2025-07-08,1170548.0994829999,10
2025-07-09,1191078.0994829999,10
2025-07-10,1202033.0994829999,10
2025-07-11,1201143.0994829999,10
2025-07-14,1207938.0994829999,10
2025-07-15,1211018.0994829999,10
2025-07-16,1202693.0994829999,10
2025-07-17,1198258.0994829999,10
2025-07-18,1195418.0994829999,10
2025-07-21,1196643.0994829999,10
2025-07-22,1184798.0994829999,10
2025-07-23,1193903.0994829999,10
2025-07-24,1193298.0994829999,10
2025-07-25,1185643.0994829999,10
2025-07-28,1181713.0994829999,10
2025-07-29,1185073.0994829999,10
2025-07-30,1194343.0994829999,10
2025-07-31,1186913.0994829999,10
2025-08-01,1155562.9414669997,10
2025-08-04,1167288.9414669997,10
2025-08-05,1175857.9414669997,10
2025-08-06,1187253.9414669997,10
2025-08-07,1179634.9414669997,10
2025-08-08,1180456.9414669997,10
2025-08-11,1175023.9414669997,10
2025-08-12,1173498.9414669997,10
2025-08-13,1177422.9414669997,10
2025-08-14,1165201.9414669997,10
2025-08-18,1164480.9414669997,10
2025-08-19,1165558.9414669997,10
2025-08-20,1160987.9414669997,10
2025-08-21,1160056.9414669997,10
2025-08-22,1157450.9414669997,10
2025-08-25,1161295.9414669997,10
2025-08-26,1159152.9414669997,10
2025-08-27,1161902.9414669997,10
2025-08-28,1164982.9414669997,10
2025-08-29,1159419.9414669997,10
2025-09-01,1135792.2717951997,10
2025-09-02,1132222.2717951997,10
2025-09-03,1147442.2717951997,10
2025-09-04,1152437.2717951997,10
2025-09-05,1168447.2717951997,10
2025-09-08,1168422.2717951997,10
2025-09-09,1178752.2717951997,10
2025-09-10,1181082.2717951997,10
2025-09-11,1188607.2717951997,10
2025-09-12,1191042.2717951997,10
2025-09-15,1186212.2717951997,10
2025-09-16,1180262.2717951997,10
2025-09-17,1176767.2717951997,10
2025-09-18,1190862.2717951997,10
2025-09-19,1176347.2717951997,10
2025-09-22,1172342.2717951997,10
2025-09-23,1164282.2717951997,10
2025-09-24,1157742.2717951997,10
2025-09-25,1145957.2717951997,10
2025-09-26,1131632.2717951997,10
2025-09-29,1142487.2717951997,10
2025-09-30,1139252.2717951997,10
2025-10-01,1135882.7187291996,10
2025-10-02,1143272.7187291996,10
2025-10-10,1146002.7187291996,10
2025-10-13,1137852.7187291996,10
2025-10-14,1133162.7187291996,10
2025-10-15,1160052.7187291996,10
2025-10-16,1172332.7187291996,10
2025-10-17,1160802.7187291996,10
2025-10-20,1177862.7187291996,10
2025-10-21,1167812.7187291996,10
2025-10-22,1179052.7187291996,10
2025-10-23,1173152.7187291996,10
2025-10-24,1182992.7187291996,10
2025-10-27,1197722.7187291996,10
2025-10-28,1200272.7187291996,10
2025-10-29,1212942.7187291996,10
2025-10-30,1207572.7187291996,10
2025-10-31,1204492.7187291996,10
2025-11-03,1205172.7659281995,10
2025-11-04,1200222.7659281995,10
2025-11-05,1188352.7659281995,10
2025-11-06,1206872.7659281995,10
2025-11-07,1197382.7659281995,10
2025-11-10,1240512.7659281995,10
2025-11-11,1235762.7659281995,10
2025-11-12,1257062.7659281995,10
2025-11-13,1247412.7659281995,10
2025-11-14,1225202.7659281995,10
2025-11-17,1221412.7659281995,10
2025-11-18,1183232.7659281995,10
2025-11-19,1191892.7659281995,10
2025-11-20,1218302.7659281995,10
2025-11-21,1207192.7659281995,10
2025-11-24,1203982.7659281995,10
2025-11-25,1197932.7659281995,10
2025-11-26,1221452.7659281995,10
2025-11-27,1226682.7659281995,10
2025-11-28,1232582.7659281995,10
2025-12-01,1230706.7402011997,10
2025-12-02,1244536.7402011997,10
2025-12-03,1265636.7402011997,10
2025-12-04,1254236.7402011997,10
2025-12-05,1263536.7402011997,10
2025-12-08,1262896.7402011997,10
2025-12-09,1260336.7402011997,10
2025-12-10,1259406.7402011997,10
2025-12-11,1273416.7402011997,10
2025-12-12,1301436.7402011997,10
2025-12-15,1297396.7402011997,10
2025-12-16,1286586.7402011997,10
2025-12-17,1291516.7402011997,10
2025-12-18,1281456.7402011997,10
2025-12-19,1281026.7402011997,10
2025-12-22,1298656.7402011997,10
2025-12-23,1291906.7402011997,10
2025-12-24,1289956.7402011997,10
2025-12-26,1288446.7402011997,10
2025-12-29,1266766.7402011997,10
2025-12-30,1262466.7402011997,10
2026-01-02,1258072.4890211995,10
2026-01-05,1271797.4890211995,10
2026-01-06,1277082.4890211995,10
2026-01-07,1272352.4890211995,10
2026-01-08,1252622.4890211995,10
2026-01-09,1252237.4890211995,10
2026-01-12,1255382.4890211995,10
2026-01-13,1271557.4890211995,10
2026-01-14,1274772.4890211995,10
2026-01-15,1272977.4890211995,10
2026-01-16,1275327.4890211995,10
2026-01-19,1280282.4890211995,10
2026-01-20,1299097.4890211995,10
2026-01-21,1286337.4890211995,10
2026-01-22,1295422.4890211995,10
2026-01-23,1315402.4890211995,10
2026-01-26,1338237.4890211995,10
2026-01-27,1356157.4890211995,10
2026-01-28,1364907.4890211995,10
2026-01-29,1403552.4890211995,10
2026-01-30,1414027.4890211995,10
2026-02-02,1375967.8462151997,10
2026-02-03,1408522.8462151997,10
2026-02-04,1444962.8462151997,10
2026-02-05,1440052.8462151997,10
2026-02-06,1423237.8462151997,10
2026-02-09,1435157.8462151997,10
2026-02-10,1460582.8462151997,10
2026-02-11,1481497.8462151997,10
2026-02-12,1506102.8462151997,10
2026-02-13,1511952.8462151997,10
2026-02-19,1533972.8462151997,10
2026-02-20,1556822.8462151997,10
2026-02-23,1561727.8462151997,10
2026-02-24,1576377.8462151997,10
2026-02-25,1576882.8462151997,10
2026-02-26,1548117.8462151997,10
2026-02-27,1526547.8462151997,10
2026-03-03,1484282.0766374997,10
2026-03-04,1383095.0766374997,10
2026-03-05,1440184.0766374997,10
2026-03-06,1441165.0766374997,10
2026-03-09,1397802.0766374997,10
2026-03-10,1426340.0766374997,10
2026-03-11,1452871.0766374997,10
2026-03-12,1458004.0766374997,10
2026-03-13,1443072.0766374997,10
2026-03-16,1439780.0766374997,10
2026-03-17,1437811.0766374997,10
2026-03-18,1440426.0766374997,10
2026-03-19,1418052.0766374997,10
2026-03-20,1443149.0766374997,10
2026-03-23,1397631.0766374997,10
2026-03-24,1422373.0766374997,10
2026-03-25,1435201.0766374997,10
2026-03-26,1424461.0766374997,10
2026-03-27,1421793.0766374997,10
2026-03-30,1397339.0766374997,10
2026-03-31,1378226.0766374997,10
2026-04-01,1418304.6372629995,10
2026-04-02,1374347.6372629995,10
2026-04-03,1389693.6372629995,10
2026-04-06,1392895.6372629995,10
2026-04-07,1384206.6372629995,10
2026-04-08,1415243.6372629995,10
2026-04-09,1422175.6372629995,10
2026-04-10,1451881.6372629995,10
2026-04-13,1463458.6372629995,10
2026-04-14,1482235.6372629995,10
2026-04-15,1530334.6372629995,10
2026-04-16,1559425.6372629995,10
2026-04-17,1551790.6372629995,10
2026-04-20,1541695.6372629995,10
2026-04-21,1536510.6372629995,10
2026-04-22,1531232.6372629995,10
2026-04-23,1535160.6372629995,10
2026-04-24,1554069.6372629995,10
2026-04-27,1561739.6372629995,10
2026-04-28,1555294.6372629995,10
2026-04-29,1563259.6372629995,10
2026-04-30,1566462.6372629995,10
2026-05-04,1566446.4389238993,10
2026-05-06,1546646.4389238993,10
2026-05-07,1554371.4389238993,10
2026-05-08,1562376.4389238993,10
2026-05-11,1524316.4389238993,10
2026-05-12,1496316.4389238993,10
2026-05-13,1482795.4389238993,10
2026-05-14,1505341.4389238993,10
2026-05-15,1535041.4389238993,10
2026-05-18,1505356.4389238993,10
2026-05-19,1480244.4389238993,10
2026-05-20,1444982.4389238993,10
2026-05-21,1459668.4389238993,10
2026-05-22,1502541.4389238993,10
2026-05-26,1482233.4389238993,10
2026-05-27,1447665.4389238993,10
2026-05-28,1439446.4389238993,10
2026-05-29,1427312.4389238993,10
2026-06-01,1390075.6380557995,10
2026-06-02,1391745.6380557995,10
2026-06-04,1392370.6380557995,10
2026-06-05,1377775.6380557995,10
2026-06-08,1309975.6380557995,10
2026-06-09,1346755.6380557995,10
2026-06-10,1337575.6380557995,10
2026-06-11,1352865.6380557995,10
2026-06-12,1391140.6380557995,10
2026-06-15,1393780.6380557995,10
2026-06-16,1394060.6380557995,10
2026-06-17,1395600.6380557995,10
2026-06-18,1345765.6380557995,10
2026-06-19,1327920.6380557995,10
2026-06-22,1305630.6380557995,10
2026-06-23,1257940.6380557995,10
2026-06-24,1260460.6380557995,10
2026-06-25,1256955.6380557995,10
2026-06-26,1226065.6380557995,10
2026-06-29,1311565.6380557995,10
2026-06-30,1306375.6380557995,10
2026-07-01,1346348.8679302994,10
2026-07-02,1337668.8679302994,10
2026-07-03,1355683.8679302994,10
2026-07-06,1362438.8679302994,10
2026-07-07,1368198.8679302994,10
2026-07-08,1336923.8679302994,10
2026-07-09,1324128.8679302994,10
2026-07-10,1388558.8679302994,10
