date,equity,n
2025-01-02,1001556.5869929999,10
2025-01-03,998826.5869929999,10
2025-01-06,1007516.5869929999,10
2025-01-07,1012056.5869929999,10
2025-01-08,1015676.5869929999,10
2025-01-09,1021746.5869929999,10
2025-01-10,1027196.5869929999,10
2025-01-13,1014446.5869929999,10
2025-01-14,1031166.5869929999,10
2025-01-15,1048956.5869929998,10
2025-01-16,1047866.5869929999,10
2025-01-17,1062196.5869929998,10
2025-01-20,1051026.5869929998,10
2025-01-21,1061766.5869929998,10
2025-01-22,1057186.5869929998,10
2025-01-23,1037226.5869929999,10
2025-01-24,1049736.5869929998,10
2025-01-31,1055916.5869929998,10
2025-02-03,1025242.7067603997,10
2025-02-04,1030020.7067603997,10
2025-02-05,1039147.7067603997,10
2025-02-06,1052437.7067603997,10
2025-02-07,1051059.7067603997,10
2025-02-10,1047436.7067603997,10
2025-02-11,1041939.7067603997,10
2025-02-12,1032221.7067603997,10
2025-02-13,1046231.7067603997,10
2025-02-14,1050999.7067603997,10
2025-02-17,1060929.7067603997,10
2025-02-18,1060129.7067603997,10
2025-02-19,1066633.7067603997,10
2025-02-20,1074909.7067603997,10
2025-02-21,1102629.8750709998,10
2025-02-24,1115529.8750709998,10
2025-02-25,1116979.8750709998,10
2025-02-26,1129989.8750709998,10
2025-02-27,1123319.8750709998,10
2025-02-28,1091529.8750709998,10
2025-03-04,1084467.8202669998,10
2025-03-05,1106437.8202669998,10
2025-03-06,1109567.8202669998,10
2025-03-07,1097677.8202669998,10
2025-03-10,1105677.8202669998,10
2025-03-11,1096657.8202669998,10
2025-03-12,1095176.3450209997,10
2025-03-13,1094531.8904389997,10
2025-03-14,1105011.8194559996,10
2025-03-17,1109301.8194559996,10
2025-03-18,1099505.4011719998,10
2025-03-19,1106980.6236509997,10
2025-03-20,1101050.6236509997,10
2025-03-21,1097803.2756329996,10
2025-03-24,1097463.2756329996,10
2025-03-25,1094473.2756329996,10
2025-03-26,1103033.2756329996,10
2025-03-27,1085358.2756329996,10
2025-03-28,1061413.2756329996,10
2025-03-31,1046733.2756329996,10
2025-04-01,1070590.3714864997,10
2025-04-02,1064646.3714864997,10
2025-04-03,1054247.3714864997,10
2025-04-04,1052859.3714864997,10
2025-04-07,994731.3714864997,10
2025-04-08,1001656.9919414996,10
2025-04-09,988704.9919414996,10
2025-04-10,1030116.9919414996,10
2025-04-11,1036500.9919414996,10
2025-04-14,1036128.9919414996,10
2025-04-15,1054961.9919414995,10
2025-04-16,1044791.9919414996,10
2025-04-17,1052879.9919414995,10
2025-04-18,1054984.9919414995,10
2025-04-21,1060241.9919414995,10
2025-04-22,1060555.9919414995,10
2025-04-23,1068951.9919414995,10
2025-04-24,1070824.9919414995,10
2025-04-25,1076557.9919414995,10
2025-04-28,1074262.9919414995,10
2025-04-29,1083631.9919414995,10
2025-04-30,1078748.9919414995,10
2025-05-02,1075801.9129122996,10
2025-05-07,1078282.9129122996,10
2025-05-08,1096198.9129122996,10
2025-05-09,1102293.9129122996,10
2025-05-12,1114505.9129122996,10
2025-05-13,1129428.9129122996,10
2025-05-14,1129514.9129122996,10
2025-05-15,1122786.7408542996,10
2025-05-16,1126347.2934346995,10
2025-05-19,1103622.2934346995,10
2025-05-20,1114607.2934346995,10
2025-05-21,1128282.2934346995,10
2025-05-22,1119132.2934346995,10
2025-05-23,1111877.2934346995,10
2025-05-26,1137517.2934346995,10
2025-05-27,1169697.2934346995,10
2025-05-28,1164737.2934346995,10
2025-05-29,1227217.2934346995,10
2025-05-30,1217312.2934346995,10
2025-06-02,1210158.1159556992,10
2025-06-04,1228558.1159556992,10
2025-06-05,1242498.1159556992,10
2025-06-09,1259438.1159556992,10
2025-06-10,1263343.1159556992,10
2025-06-11,1272503.1159556992,10
2025-06-12,1274138.1159556992,10
2025-06-13,1247708.1159556992,10
2025-06-16,1291258.1159556992,10
2025-06-17,1270843.1159556992,10
2025-06-18,1267818.1159556992,10
2025-06-19,1268513.1159556992,10
2025-06-20,1283718.1159556992,10
2025-06-23,1275358.1159556992,10
2025-06-24,1310568.1159556992,10
2025-06-25,1317168.1159556992,10
2025-06-26,1305563.1159556992,10
2025-06-27,1297343.1159556992,10
2025-06-30,1308053.1159556992,10
2025-07-01,1324192.9012426992,10
2025-07-02,1321417.9012426992,10
2025-07-03,1339992.9012426992,10
2025-07-04,1323827.9012426992,10
2025-07-07,1309122.9012426992,10
2025-07-08,1327462.9012426992,10
2025-07-09,1353257.9012426992,10
2025-07-10,1365942.9012426992,10
2025-07-11,1364667.9012426992,10
2025-07-14,1373512.9012426992,10
2025-07-15,1379727.9012426992,10
2025-07-16,1371882.9012426992,10
2025-07-17,1365392.9012426992,10
2025-07-18,1360432.9012426992,10
2025-07-21,1361867.9012426992,10
2025-07-22,1348107.9012426992,10
2025-07-23,1359177.9012426992,10
2025-07-24,1360122.9012426992,10
2025-07-25,1350337.9012426992,10
2025-07-28,1347262.9012426992,10
2025-07-29,1355167.9012426992,10
2025-07-30,1368142.9012426992,10
2025-07-31,1359407.9012426992,10
2025-08-01,1324289.3026401992,10
2025-08-04,1337091.3026401992,10
2025-08-05,1346709.3026401992,10
2025-08-06,1359006.3026401992,10
2025-08-07,1349728.3026401992,10
2025-08-08,1350892.3026401992,10
2025-08-11,1344701.3026401992,10
2025-08-12,1343276.3026401992,10
2025-08-13,1348314.3026401992,10
2025-08-14,1334272.3026401992,10
2025-08-18,1320107.297389199,10
2025-08-19,1324737.297389199,10
2025-08-20,1317473.919868699,10
2025-08-21,1315048.919868699,10
2025-08-22,1313443.919868699,10
2025-08-25,1317078.919868699,10
2025-08-26,1316643.919868699,10
2025-08-27,1311043.919868699,10
2025-08-28,1319103.919868699,10
2025-08-29,1321803.919868699,10
2025-09-01,1297360.8445966989,10
2025-09-02,1294290.8445966989,10
2025-09-03,1311585.8445966989,10
2025-09-04,1316520.8445966989,10
