date,equity,n
2020-02-03,1018146.8504090001,6
2020-02-04,1028505.8504090001,6
2020-02-05,1030336.8504090001,6
2020-02-06,1038699.8504090001,6
2020-02-07,1045991.8504090001,6
2020-02-10,1046401.8504090001,6
2020-02-11,1050564.8504090002,6
2020-02-12,1071946.8504090002,6
2020-02-13,1063698.8504090002,6
2020-02-14,1053353.8504090002,6
2020-02-17,1053985.8504090002,6
2020-02-18,1049242.8504090002,6
2020-02-19,1047693.8504090001,6
2020-02-20,1044534.8504090001,6
2020-02-21,1034521.8504090001,6
2020-02-24,1010046.8504090001,6
2020-02-25,1032477.8504090001,6
2020-02-26,1030563.8504090001,6
2020-02-27,1006449.8504090001,6
2020-02-28,974201.8504090001,6
2020-03-02,975147.4336497,6
2020-03-03,975013.4336497,6
2020-03-04,984023.4336497,6
2020-03-05,984363.4336497,6
2020-03-06,975028.4336497,6
2020-03-09,945635.4336497,6
2020-03-10,928789.1254993,3
2020-03-11,915559.1254993,3
2020-03-12,903459.9810193,2
2020-03-13,890183.1124423,1
2020-03-16,890599.9618108,0
2020-03-17,890599.9618108,0
2020-03-18,890599.9618108,0
2020-03-19,890599.9618108,0
2020-03-20,890599.9618108,0
2020-03-23,890599.9618108,0
2020-03-24,890599.9618108,0
2020-03-25,890599.9618108,0
2020-03-26,890599.9618108,0
2020-03-27,890599.9618108,0
2020-03-30,890599.9618108,0
2020-03-31,890599.9618108,0
2020-04-01,886504.2613784999,7
2020-04-02,900989.2613784999,7
2020-04-03,925294.2613784999,7
2020-04-06,943374.2613784999,7
2020-04-07,980169.2613784999,7
2020-04-08,979493.2613784999,7
2020-04-09,989782.2613784999,7
2020-04-10,1006318.2613784999,7
2020-04-13,1001002.7193981999,6
2020-04-14,1016289.7193981999,6
2020-04-16,1030026.7193981999,6
2020-04-17,1042909.7193981999,6
2020-04-20,1046153.7193981999,6
2020-04-21,1031451.7193981999,6
2020-04-22,1026853.7193981999,6
2020-04-23,1031038.7193981999,6
2020-04-24,1012398.7193981999,6
2020-04-27,1018246.7193981999,6
2020-04-28,1016023.7193981999,6
2020-04-29,1021676.7193981999,6
2020-05-04,1020986.3763839997,10
2020-05-06,1040578.3763839997,10
2020-05-07,1083138.3763839998,10
2020-05-08,1096977.3763839998,10
2020-05-11,1107527.3763839998,10
2020-05-12,1112186.3763839998,10
2020-05-13,1124320.3763839998,10
2020-05-14,1121186.3763839998,10
2020-05-15,1121200.3763839998,10
2020-05-18,1143417.3763839998,10
2020-05-19,1158362.3763839998,10
2020-05-20,1163269.3763839998,10
2020-05-21,1156489.3763839998,10
2020-05-22,1146893.3763839998,10
2020-05-25,1189749.3763839998,10
2020-05-26,1211720.3763839998,10
2020-05-27,1222215.3763839998,10
2020-05-28,1206950.3763839998,10
2020-05-29,1190993.3763839998,10
2020-06-01,1190079.5494045997,10
2020-06-02,1209205.5494045997,10
2020-06-03,1193830.5494045997,10
2020-06-04,1189017.5494045997,10
2020-06-05,1198661.5494045997,10
2020-06-08,1198508.5494045997,10
2020-06-09,1205683.5494045997,10
2020-06-10,1214571.5494045997,10
2020-06-11,1196053.5494045997,10
2020-06-12,1182737.5494045997,10
2020-06-15,1140098.5494045997,10
2020-06-16,1174573.7898282995,10
2020-06-17,1179192.7898282995,10
2020-06-18,1190818.7898282995,10
2020-06-19,1184952.7898282995,10
2020-06-22,1176895.7898282995,10
2020-06-23,1181517.7898282995,10
2020-06-24,1181231.7898282995,10
2020-06-25,1172308.7898282995,10
2020-06-26,1161044.7898282995,10
2020-06-29,1145165.7898282995,10
2020-06-30,1153703.7898282995,10
2020-07-01,1152635.3265747996,10
2020-07-02,1167935.3265747996,10
2020-07-03,1180546.3265747996,10
2020-07-06,1193926.3265747996,10
2020-07-07,1187306.3265747996,10
2020-07-08,1208756.3265747996,10
2020-07-09,1211756.3265747996,10
2020-07-10,1196596.3265747996,10
2020-07-13,1216147.3265747996,10
2020-07-14,1219777.3265747996,10
2020-07-15,1240937.3265747996,10
2020-07-16,1247227.3265747996,10
2020-07-17,1264327.3265747996,10
2020-07-20,1264116.3265747996,10
2020-07-21,1247556.3265747996,10
2020-07-22,1246656.3265747996,10
2020-07-23,1246706.3265747996,10
2020-07-24,1239566.3265747996,10
2020-07-27,1257446.3265747996,10
2020-07-28,1243656.3265747996,10
2020-07-29,1259818.3265747996,10
2020-07-30,1256657.3265747996,10
2020-07-31,1243957.3265747996,10
2020-08-03,1240628.6252807996,10
2020-08-04,1272339.6252807996,10
2020-08-05,1266899.4650187995,10
2020-08-06,1274200.4650187995,10
2020-08-07,1317699.4650187995,10
2020-08-10,1332330.4650187995,10
2020-08-11,1362130.4650187995,10
2020-08-12,1370420.4650187995,10
2020-08-13,1369860.4650187995,10
2020-08-14,1356460.4650187995,10
2020-08-18,1301248.4650187995,10
2020-08-19,1336878.4650187995,10
2020-08-20,1298178.4650187995,10
2020-08-21,1313148.4650187995,10
2020-08-24,1317718.4650187995,10
2020-08-25,1353518.4650187995,10
2020-08-26,1365218.4650187995,10
2020-08-27,1324557.4650187995,10
2020-08-28,1336257.4650187995,10
2020-08-31,1376588.4650187995,10
2020-09-01,1373176.9708297995,10
2020-09-02,1386360.9708297995,10
2020-09-03,1396036.9708297995,10
2020-09-04,1385994.9708297995,10
2020-09-07,1418950.9708297995,10
2020-09-08,1451846.9708297995,10
2020-09-09,1442657.9708297995,10
2020-09-10,1452067.9708297995,10
2020-09-11,1495350.9708297995,10
2020-09-14,1507523.9708297995,10
2020-09-15,1537554.9708297995,10
2020-09-16,1541744.9708297995,10
2020-09-17,1528343.9708297995,10
2020-09-18,1517426.9708297995,10
2020-09-21,1496450.9708297995,10
2020-09-22,1467736.9708297995,10
2020-09-23,1481000.9708297995,10
2020-09-24,1443228.9708297995,10
2020-09-25,1456809.9708297995,10
2020-09-28,1447582.9708297995,10
2020-09-29,1456063.9708297995,10
2020-10-05,1461144.7845283994,10
2020-10-06,1460694.7845283994,10
2020-10-07,1465854.7845283994,10
2020-10-08,1468974.7845283994,10
2020-10-12,1481379.7845283994,10
2020-10-13,1485124.7845283994,10
2020-10-14,1473564.7845283994,10
2020-10-15,1460556.7845283994,10
2020-10-16,1462655.7845283994,10
2020-10-19,1474697.7845283994,10
2020-10-20,1474525.7845283994,10
2020-10-21,1483355.7845283994,10
2020-10-22,1477015.7845283994,10
2020-10-23,1474075.7845283994,10
2020-10-26,1459303.7845283994,10
2020-10-27,1446127.7845283994,10
2020-10-28,1453257.7845283994,10
2020-10-29,1440546.7845283994,10
2020-10-30,1442643.7845283994,10
2020-11-02,1455838.3891350995,10
2020-11-03,1465597.3891350995,10
2020-11-04,1486739.3891350995,10
2020-11-05,1494252.3891350995,10
2020-11-06,1480606.3891350995,10
2020-11-09,1508071.3891350995,10
2020-11-10,1522097.3891350995,10
2020-11-11,1544375.3891350995,10
2020-11-12,1545574.3891350995,10
2020-11-13,1539181.3891350995,10
2020-11-16,1586360.3891350995,10
2020-11-17,1574928.3891350995,10
2020-11-18,1595221.3891350995,10
2020-11-19,1586887.3891350995,10
2020-11-20,1595873.3891350995,10
2020-11-23,1607895.3891350995,10
2020-11-24,1621336.3891350995,10
2020-11-25,1616680.3891350995,10
2020-11-26,1618981.3891350995,10
2020-11-27,1620903.3891350995,10
2020-11-30,1614537.3891350995,10
2020-12-01,1623706.465243099,10
2020-12-02,1640036.465243099,10
2020-12-03,1633655.465243099,10
2020-12-04,1647287.465243099,10
2020-12-07,1664927.465243099,10
2020-12-08,1652036.465243099,10
2020-12-09,1697896.465243099,10
2020-12-10,1709357.465243099,10
2020-12-11,1724988.465243099,10
2020-12-14,1708388.465243099,10
2020-12-15,1693797.465243099,10
2020-12-16,1705447.465243099,10
2020-12-17,1722576.465243099,10
2020-12-18,1739348.465243099,10
2020-12-21,1753128.465243099,10
2020-12-22,1705566.465243099,10
2020-12-23,1702767.465243099,10
2020-12-24,1725777.465243099,10
2020-12-28,1732908.465243099,10
2020-12-29,1726869.465243099,10
2020-12-30,1750871.465243099,10
2021-01-04,1773190.593676099,10
2021-01-05,1796763.593676099,10
2021-01-06,1790462.593676099,10
2021-01-07,1814204.593676099,10
2021-01-08,1851985.593676099,10
2021-01-11,1827583.593676099,10
2021-01-12,1843384.593676099,10
2021-01-13,1858731.593676099,10
2021-01-14,1878613.593676099,10
2021-01-15,1870835.593676099,10
2021-01-18,1852453.593676099,10
2021-01-19,1935183.593676099,10
2021-01-20,1931806.593676099,10
2021-01-21,1981706.593676099,10
2021-01-22,1971895.593676099,10
2021-01-25,1986276.593676099,10
2021-01-26,2003635.593676099,10
2021-01-27,2013202.593676099,10
2021-01-28,1978871.593676099,10
2021-01-29,1899295.593676099,10
2021-02-01,1903017.4915312994,10
2021-02-02,1918182.4915312994,10
2021-02-03,1929702.4915312994,10
2021-02-04,1919437.4915312994,10
2021-02-05,1934742.4915312994,10
2021-02-08,1944392.4915312994,10
2021-02-09,1949222.4915312994,10
2021-02-10,1954002.4915312994,10
2021-02-15,1977902.4915312994,10
2021-02-16,1992607.4915312994,10
2021-02-17,2035722.4915312994,10
2021-02-18,2021402.4915312994,10
2021-02-19,2071792.4915312994,10
2021-02-22,2172697.4915312994,10
2021-02-23,2149772.4915312994,10
2021-02-24,2061982.4915312994,10
2021-02-25,2118273.7452452993,10
2021-02-26,2080483.7452452993,10
2021-03-02,2086841.5720322994,10
2021-03-03,2099962.5720322994,10
2021-03-04,2096853.5720322994,10
2021-03-05,2089843.5720322994,10
2021-03-08,2078712.5720322994,10
2021-03-09,2055641.5720322994,10
2021-03-10,2029722.5720322994,10
2021-03-11,2039312.6532772991,10
2021-03-12,2057942.6532772991,10
2021-03-15,2082074.6532772991,10
2021-03-16,2087893.6532772991,10
2021-03-17,2089213.6532772991,10
2021-03-18,2102003.6532772994,10
2021-03-19,2103103.6532772994,10
2021-03-22,2113063.6532772994,10
2021-03-23,2100515.6532772994,10
2021-03-24,2083454.6532772991,10
2021-03-25,2082694.6532772991,10
2021-03-26,2101724.6532772994,10
2021-03-29,2112276.6532772994,10
2021-03-30,2132406.6532772994,10
2021-03-31,2163266.6532772994,10
2021-04-01,2158895.227572299,10
2021-04-02,2149485.227572299,10
2021-04-05,2171266.227572299,10
2021-04-06,2189657.227572299,10
2021-04-07,2206886.227572299,10
2021-04-08,2226378.227572299,10
2021-04-09,2266683.227572299,10
2021-04-12,2283655.227572299,10
2021-04-13,2282583.227572299,10
2021-04-14,2287363.227572299,10
2021-04-15,2270342.227572299,10
2021-04-16,2269831.227572299,10
2021-04-19,2256921.227572299,10
2021-04-20,2285492.227572299,10
2021-04-21,2294512.227572299,10
2021-04-22,2310362.227572299,10
2021-04-23,2311212.227572299,10
2021-04-26,2350373.227572299,10
2021-04-27,2337173.227572299,10
2021-04-28,2290292.227572299,10
2021-04-29,2282313.227572299,10
2021-04-30,2306824.227572299,10
2021-05-03,2302510.547913299,10
2021-05-04,2304507.547913299,10
2021-05-06,2350503.547913299,10
2021-05-07,2384210.547913299,10
2021-05-10,2476441.547913299,10
2021-05-11,2513679.547913299,10
2021-05-12,2484432.547913299,10
2021-05-13,2446057.547913299,10
2021-05-14,2472204.547913299,10
2021-05-17,2427753.547913299,10
2021-05-18,2451525.547913299,10
2021-05-20,2442629.547913299,10
2021-05-21,2408862.547913299,10
2021-05-24,2365531.547913299,10
2021-05-25,2386023.827410799,10
2021-05-26,2390996.827410799,10
2021-05-27,2404632.827410799,10
2021-05-28,2407210.827410799,10
2021-05-31,2436789.827410799,10
2021-06-01,2426817.681245999,10
2021-06-02,2426185.681245999,10
2021-06-03,2420950.681245999,10
2021-06-04,2408549.681245999,10
2021-06-07,2425169.681245999,10
2021-06-08,2435557.681245999,10
2021-06-09,2418380.681245999,10
2021-06-10,2412602.681245999,10
2021-06-11,2436210.681245999,10
2021-06-14,2436386.681245999,10
2021-06-15,2438995.681245999,10
2021-06-16,2458138.681245999,10
2021-06-17,2441749.681245999,10
2021-06-18,2442241.681245999,10
2021-06-21,2411290.681245999,10
2021-06-22,2455112.681245999,10
2021-06-23,2449122.681245999,10
2021-06-24,2442503.681245999,10
2021-06-25,2449496.681245999,10
2021-06-28,2472135.681245999,10
2021-06-29,2460723.681245999,10
2021-06-30,2483177.681245999,10
2021-07-01,2478205.4802073985,10
2021-07-02,2484093.4802073985,10
2021-07-05,2494058.4802073985,10
2021-07-06,2488361.4802073985,10
2021-07-07,2477058.4802073985,10
2021-07-08,2441369.4802073985,10
2021-07-09,2397994.4802073985,10
2021-07-12,2430210.4802073985,10
2021-07-13,2456129.4802073985,10
2021-07-14,2451137.4802073985,10
2021-07-15,2453529.4802073985,10
2021-07-16,2481906.4802073985,10
2021-07-19,2465391.4802073985,10
2021-07-20,2428313.4802073985,10
2021-07-21,2413025.4802073985,10
2021-07-22,2428326.4802073985,10
2021-07-23,2427581.4802073985,10
2021-07-26,2404295.4802073985,10
2021-07-27,2436967.4802073985,10
2021-07-28,2413769.4802073985,10
2021-07-29,2418133.4802073985,10
2021-07-30,2389132.4802073985,10
2021-08-02,2377399.479447499,10
2021-08-03,2366551.479447499,10
2021-08-04,2397994.479447499,10
2021-08-05,2413210.479447499,10
2021-08-06,2419619.479447499,10
2021-08-09,2422987.479447499,10
2021-08-10,2395783.479447499,10
2021-08-11,2373536.479447499,10
2021-08-12,2360197.479447499,10
2021-08-13,2316384.479447499,10
2021-08-17,2256324.479447499,10
2021-08-18,2270216.4036724987,10
2021-08-19,2183215.4036724987,10
2021-08-20,2118683.7285839985,10
2021-08-23,2146542.7207244984,10
2021-08-24,2207383.7207244984,10
2021-08-25,2219130.7207244984,10
2021-08-26,2223627.7207244984,10
2021-08-27,2245674.7207244984,10
2021-08-30,2290984.7207244984,10
2021-08-31,2291877.7207244984,10
2021-09-01,2295047.4302144987,10
2021-09-02,2293051.4302144987,10
2021-09-03,2301907.4302144987,10
2021-09-06,2320513.4302144987,10
2021-09-07,2312365.4302144987,10
2021-09-08,2304237.4302144987,10
2021-09-09,2306567.4302144987,10
2021-09-10,2402837.4302144987,10
2021-09-13,2454855.4302144987,10
2021-09-14,2456059.4302144987,10
2021-09-15,2414395.4302144987,10
2021-09-16,2440485.4302144987,10
2021-09-17,2427057.4302144987,10
2021-09-23,2381531.4302144987,10
2021-09-24,2362421.4302144987,10
2021-09-27,2387321.4302144987,10
2021-09-28,2400475.4302144987,10
2021-09-29,2372494.3740512985,10
2021-09-30,2365738.3740512985,10
2021-10-01,2300282.577640599,10
2021-10-05,2259874.577640599,10
2021-10-06,2228816.658260599,10
2021-10-07,2293606.078800599,10
2021-10-08,2289903.078800599,10
2021-10-12,2271584.078800599,10
2021-10-13,2296019.078800599,10
2021-10-14,2313910.078800599,10
2021-10-15,2336893.078800599,10
2021-10-18,2330079.078800599,10
2021-10-19,2331962.078800599,10
2021-10-20,2320560.078800599,10
2021-10-21,2305379.078800599,10
2021-10-22,2317927.078800599,10
2021-10-25,2323353.078800599,10
2021-10-26,2349961.078800599,10
2021-10-27,2341002.078800599,10
2021-10-28,2315793.078800599,10
2021-10-29,2291739.078800599,10
2021-11-01,2286470.051909599,10
2021-11-02,2301165.051909599,10
2021-11-03,2293245.051909599,10
2021-11-04,2292105.051909599,10
2021-11-05,2268325.051909599,10
2021-11-08,2266365.051909599,10
2021-11-09,2257840.051909599,10
2021-11-10,2225560.051909599,10
2021-11-11,2214655.051909599,10
2021-11-12,2245659.9050355987,10
2021-11-15,2272569.9050355987,10
2021-11-16,2265819.9050355987,10
2021-11-17,2256633.8532415987,10
2021-11-18,2246758.8532415987,10
2021-11-19,2252783.8532415987,10
2021-11-22,2241263.8532415987,10
2021-11-23,2243673.8532415987,10
2021-11-24,2237288.8532415987,10
2021-11-25,2244048.8532415987,10
2021-11-26,2196263.8532415987,10
2021-11-29,2169334.099891599,10
2021-11-30,2086463.3150235987,10
2021-12-01,2133581.4411750985,10
2021-12-02,2186671.4411750985,10
2021-12-03,2221441.4411750985,10
2021-12-06,2237721.4411750985,10
2021-12-07,2252196.4411750985,10
2021-12-08,2274311.4411750985,10
2021-12-09,2278206.4411750985,10
2021-12-10,2272301.4411750985,10
2021-12-13,2289981.4411750985,10
2021-12-14,2287836.4411750985,10
2021-12-15,2281981.4411750985,10
2021-12-16,2278791.4411750985,10
2021-12-17,2305821.4411750985,10
2021-12-20,2257736.4411750985,10
2021-12-21,2260956.4411750985,10
2021-12-22,2260696.4411750985,10
2021-12-23,2270026.4411750985,10
2021-12-24,2273226.4411750985,10
2021-12-27,2283881.4411750985,10
2021-12-28,2298296.4411750985,10
2021-12-29,2275306.4411750985,10
2021-12-30,2276291.4411750985,10
2022-01-03,2293287.016291599,10
2022-01-04,2310582.016291599,10
2022-01-05,2307867.016291599,10
2022-01-06,2285527.016291599,10
