date,equity,n
2025-01-02,1001556.5869929999,10
2025-01-03,998826.5869929999,10
2025-01-06,1007516.5869929999,10
2025-01-07,1012056.5869929999,10
2025-01-08,1015676.5869929999,10
2025-01-09,1021746.5869929999,10
2025-01-10,1027196.5869929999,10
2025-01-13,1014446.5869929999,10
2025-01-14,1031166.5869929999,10
2025-01-15,1048956.5869929998,10
2025-01-16,1047866.5869929999,10
2025-01-17,1062196.5869929998,10
2025-01-20,1051026.5869929998,10
2025-01-21,1061766.5869929998,10
2025-01-22,1057186.5869929998,10
2025-01-23,1037226.5869929999,10
2025-01-24,1049736.5869929998,10
2025-01-31,1055916.5869929998,10
2025-02-03,1025242.7067603997,10
2025-02-04,1030020.7067603997,10
2025-02-05,1039147.7067603997,10
2025-02-06,1052437.7067603997,10
2025-02-07,1051059.7067603997,10
2025-02-10,1047436.7067603997,10
2025-02-11,1041939.7067603997,10
2025-02-12,1032221.7067603997,10
2025-02-13,1046231.7067603997,10
2025-02-14,1050999.7067603997,10
2025-02-17,1060929.7067603997,10
2025-02-18,1060129.7067603997,10
2025-02-19,1066633.7067603997,10
2025-02-20,1074909.7067603997,10
2025-02-21,1102629.8750709998,10
2025-02-24,1115529.8750709998,10
2025-02-25,1116979.8750709998,10
2025-02-26,1129989.8750709998,10
2025-02-27,1123319.8750709998,10
2025-02-28,1091529.8750709998,10
2025-03-04,1084467.8202669998,10
2025-03-05,1106437.8202669998,10
2025-03-06,1109567.8202669998,10
2025-03-07,1097677.8202669998,10
2025-03-10,1105677.8202669998,10
2025-03-11,1096657.8202669998,10
2025-03-12,1095176.3450209997,10
2025-03-13,1094531.8904389997,10
2025-03-14,1105011.8194559996,10
2025-03-17,1109301.8194559996,10
2025-03-18,1099505.4011719998,10
2025-03-19,1106980.6236509997,10
2025-03-20,1101050.6236509997,10
2025-03-21,1097803.2756329996,10
2025-03-24,1097463.2756329996,10
2025-03-25,1094473.2756329996,10
2025-03-26,1103033.2756329996,10
2025-03-27,1085358.2756329996,10
2025-03-28,1061413.2756329996,10
2025-03-31,1046733.2756329996,10
2025-04-01,1070590.3714864997,10
2025-04-02,1064646.3714864997,10
2025-04-03,1054247.3714864997,10
2025-04-04,1052859.3714864997,10
2025-04-07,994731.3714864997,10
2025-04-08,998620.9303624996,10
2025-04-09,983828.9303624996,10
2025-04-10,1025300.9303624996,10
2025-04-11,1032094.9303624996,10
2025-04-14,1031332.9303624996,10
2025-04-15,1049455.9303624996,10
2025-04-16,1038475.9303624996,10
2025-04-17,1046523.9303624996,10
2025-04-18,1048288.9303624996,10
2025-04-21,1052395.9303624996,10
2025-04-22,1051049.9303624996,10
2025-04-23,1060245.9303624996,10
2025-04-24,1063828.9303624996,10
2025-04-25,1068671.9303624996,10
2025-04-28,1066966.9303624996,10
2025-04-29,1073995.9303624996,10
2025-04-30,1066902.9303624996,10
2025-05-02,1064503.9216452995,10
2025-05-07,1066634.9216452995,10
2025-05-08,1083600.9216452995,10
2025-05-09,1089745.9216452995,10
2025-05-12,1101307.9216452995,10
2025-05-13,1115930.9216452995,10
2025-05-14,1116116.9216452995,10
2025-05-15,1109288.7495872995,10
2025-05-16,1112657.7087356995,10
2025-05-19,1090672.7087356995,10
2025-05-20,1101157.7087356995,10
2025-05-21,1114102.7087356995,10
2025-05-22,1104752.7087356995,10
2025-05-23,1097527.7087356995,10
2025-05-26,1122187.7087356995,10
2025-05-27,1151957.7087356995,10
2025-05-28,1147487.7087356995,10
2025-05-29,1206887.7087356995,10
2025-05-30,1197582.7087356995,10
2025-06-02,1190920.6871086992,10
2025-06-04,1208770.6871086992,10
2025-06-05,1222210.6871086992,10
2025-06-09,1237800.6871086992,10
2025-06-10,1242355.6871086992,10
2025-06-11,1251065.6871086992,10
2025-06-12,1250400.6871086992,10
2025-06-13,1224770.6871086992,10
2025-06-16,1265420.6871086992,10
2025-06-17,1246405.6871086992,10
2025-06-18,1243230.6871086992,10
2025-06-19,1244175.6871086992,10
2025-06-20,1257980.6871086992,10
2025-06-23,1248920.6871086992,10
2025-06-24,1281680.6871086992,10
2025-06-25,1288930.6871086992,10
2025-06-26,1277975.6871086992,10
2025-06-27,1270305.6871086992,10
2025-06-30,1280965.6871086992,10
2025-07-01,1296612.8275656994,10
2025-07-02,1293812.8275656994,10
2025-07-03,1311797.8275656994,10
2025-07-04,1295317.8275656994,10
2025-07-07,1281187.8275656994,10
2025-07-08,1299307.8275656994,10
2025-07-09,1324642.8275656994,10
2025-07-10,1337362.8275656994,10
2025-07-11,1336107.8275656994,10
2025-07-14,1344837.8275656994,10
2025-07-15,1350922.8275656994,10
2025-07-16,1343372.8275656994,10
2025-07-17,1337022.8275656994,10
2025-07-18,1332342.8275656994,10
2025-07-21,1333652.8275656994,10
2025-07-22,1320157.8275656994,10
2025-07-23,1331087.8275656994,10
2025-07-24,1332412.8275656994,10
2025-07-25,1322622.8275656994,10
2025-07-28,1319622.8275656994,10
2025-07-29,1327537.8275656994,10
2025-07-30,1340397.8275656994,10
2025-07-31,1332162.8275656994,10
2025-08-01,1297278.9614436994,10
2025-08-04,1310347.3332226994,10
2025-08-05,1319369.3332226994,10
2025-08-06,1333612.3332226994,10
2025-08-07,1323350.3332226994,10
2025-08-08,1324256.3332226994,10
2025-08-11,1318787.3332226994,10
2025-08-12,1321297.3332226994,10
2025-08-13,1324164.3332226994,10
2025-08-14,1312881.3332226994,10
2025-08-18,1300139.6721136994,9
2025-08-19,1300569.6721136994,9
2025-08-20,1293636.7403136995,10
2025-08-21,1291211.7403136995,10
2025-08-22,1289606.7403136995,10
2025-08-25,1293241.7403136995,10
2025-08-26,1292806.7403136995,10
2025-08-27,1287206.7403136995,10
2025-08-28,1295266.7403136995,10
2025-08-29,1297966.7403136995,10
2025-09-01,1273599.9009116993,10
2025-09-02,1270469.9009116993,10
2025-09-03,1287584.9009116993,10
