date,equity,n
2025-01-02,1001556.5869929999,10
2025-01-03,998826.5869929999,10
2025-01-06,1007516.5869929999,10
2025-01-07,1012056.5869929999,10
2025-01-08,1015676.5869929999,10
2025-01-09,1021746.5869929999,10
2025-01-10,1027196.5869929999,10
2025-01-13,1014446.5869929999,10
2025-01-14,1031166.5869929999,10
2025-01-15,1048956.5869929998,10
2025-01-16,1047866.5869929999,10
2025-01-17,1062196.5869929998,10
2025-01-20,1051026.5869929998,10
2025-01-21,1061766.5869929998,10
2025-01-22,1057186.5869929998,10
2025-01-23,1037226.5869929999,10
2025-01-24,1049736.5869929998,10
2025-01-31,1055916.5869929998,10
2025-02-03,1025242.7067603997,10
2025-02-04,1030020.7067603997,10
2025-02-05,1039147.7067603997,10
2025-02-06,1052437.7067603997,10
2025-02-07,1051059.7067603997,10
2025-02-10,1047436.7067603997,10
2025-02-11,1041939.7067603997,10
2025-02-12,1032221.7067603997,10
2025-02-13,1046231.7067603997,10
2025-02-14,1050999.7067603997,10
2025-02-17,1060929.7067603997,10
2025-02-18,1060129.7067603997,10
2025-02-19,1066633.7067603997,10
2025-02-20,1074909.7067603997,10
2025-02-21,1101101.7067603997,10
2025-02-24,1116087.7067603997,10
2025-02-25,1114811.7067603997,10
2025-02-26,1122679.7067603997,10
2025-02-27,1117401.7067603997,10
2025-02-28,1086283.7067603997,10
2025-03-04,1080278.2846513998,10
2025-03-05,1102248.2846513998,10
2025-03-06,1105378.2846513998,10
2025-03-07,1093488.2846513998,10
2025-03-10,1101488.2846513998,10
2025-03-11,1092468.2846513998,10
2025-03-12,1088108.2846513998,10
2025-03-13,1085798.2846513998,10
2025-03-14,1099678.2846513998,10
2025-03-17,1111458.2846513998,10
2025-03-18,1105088.2846513998,10
2025-03-19,1111448.2846513998,10
2025-03-20,1108388.2846513998,10
2025-03-21,1109098.2846513998,10
2025-03-24,1112668.2846513998,10
2025-03-25,1106438.2846513998,10
2025-03-26,1104358.2846513998,10
2025-03-27,1089768.2846513998,10
2025-03-28,1085008.2846513998,10
2025-03-31,1067138.2846513998,10
2025-04-01,1075885.1180316997,10
2025-04-02,1066946.1180316997,10
2025-04-03,1052373.1180316997,10
2025-04-04,1058100.1180316997,10
2025-04-07,1022642.1180316997,10
2025-04-08,1028981.1180316997,10
2025-04-09,1008427.1180316997,10
2025-04-10,1046271.1180316997,10
2025-04-11,1051792.1180316997,10
2025-04-14,1065923.1180316997,10
2025-04-15,1079291.1180316997,10
2025-04-16,1097186.1180316997,10
2025-04-17,1095141.1180316997,10
2025-04-18,1098957.1180316997,10
2025-04-21,1106859.1180316997,10
2025-04-22,1115025.1180316997,10
2025-04-23,1118668.1180316997,10
2025-04-24,1120121.1180316997,10
2025-04-25,1122816.1180316997,10
2025-04-28,1114479.1180316997,10
2025-04-29,1123480.1180316997,10
2025-04-30,1115971.1180316997,10
2025-05-02,1106119.4812317996,10
2025-05-07,1107668.4812317996,10
2025-05-08,1126062.4812317996,10
2025-05-09,1131807.4812317996,10
2025-05-12,1144145.4812317996,10
2025-05-13,1160022.4812317996,10
2025-05-14,1160416.4812317996,10
2025-05-15,1153583.4812317996,10
2025-05-16,1153923.4812317996,10
2025-05-19,1140104.4812317996,10
2025-05-20,1148776.4812317996,10
2025-05-21,1154839.4812317996,10
2025-05-22,1145352.4812317996,10
2025-05-23,1141843.4812317996,10
2025-05-26,1163506.4812317996,10
2025-05-27,1160429.4812317996,10
2025-05-28,1160807.4812317996,10
2025-05-29,1218309.4812317996,10
2025-05-30,1212103.4812317996,10
2025-06-02,1204671.9495840995,10
2025-06-04,1227041.9495840995,10
2025-06-05,1242406.9495840995,10
2025-06-09,1260716.9495840995,10
2025-06-10,1262601.9495840995,10
2025-06-11,1271556.9495840995,10
2025-06-12,1272366.9495840995,10
2025-06-13,1242576.9495840995,10
2025-06-16,1294706.9495840995,10
2025-06-17,1275561.9495840995,10
2025-06-18,1274376.9495840995,10
2025-06-19,1273696.9495840995,10
2025-06-20,1289216.9495840995,10
2025-06-23,1283061.9495840995,10
2025-06-24,1318041.9495840995,10
2025-06-25,1322791.9495840995,10
2025-06-26,1309711.9495840995,10
2025-06-27,1302771.9495840995,10
2025-06-30,1318501.9495840995,10
2025-07-01,1335740.8690205994,10
2025-07-02,1333805.8690205994,10
2025-07-03,1353460.8690205994,10
2025-07-04,1337385.8690205994,10
2025-07-07,1322510.8690205994,10
2025-07-08,1341280.8690205994,10
2025-07-09,1366995.8690205994,10
2025-07-10,1380370.8690205994,10
2025-07-11,1378935.8690205994,10
2025-07-14,1387770.8690205994,10
2025-07-15,1393785.8690205994,10
2025-07-16,1384950.8690205994,10
2025-07-17,1378310.8690205994,10
2025-07-18,1373360.8690205994,10
2025-07-21,1374435.8690205994,10
2025-07-22,1360145.8690205994,10
2025-07-23,1371715.8690205994,10
2025-07-24,1372200.8690205994,10
2025-07-25,1362185.8690205994,10
2025-07-28,1359140.8690205994,10
2025-07-29,1366805.8690205994,10
2025-07-30,1380050.8690205994,10
2025-07-31,1370865.8690205994,10
2025-08-01,1335081.5502885992,10
2025-08-04,1348180.5502885992,10
2025-08-05,1358011.5502885992,10
2025-08-06,1370580.5502885992,10
2025-08-07,1361419.5502885992,10
2025-08-08,1362617.5502885992,10
2025-08-11,1356235.5502885992,10
2025-08-12,1354670.5502885992,10
2025-08-13,1359771.5502885992,10
2025-08-14,1345457.5502885992,10
2025-08-18,1345978.5502885992,10
2025-08-19,1346650.5502885992,10
2025-08-20,1341546.5502885992,10
2025-08-21,1340222.5502885992,10
2025-08-22,1337423.5502885992,10
2025-08-25,1341363.5502885992,10
2025-08-26,1338901.5502885992,10
2025-08-27,1341731.5502885992,10
2025-08-28,1345301.5502885992,10
2025-08-29,1339104.5502885992,10
2025-09-01,1312538.3846153992,10
2025-09-02,1309308.3846153992,10
2025-09-03,1327223.3846153992,10
