date,equity,n
2025-01-02,1001556.5869929999,10
2025-01-03,998826.5869929999,10
2025-01-06,1007516.5869929999,10
2025-01-07,1012056.5869929999,10
2025-01-08,1015676.5869929999,10
2025-01-09,1021746.5869929999,10
2025-01-10,1027196.5869929999,10
2025-01-13,1014446.5869929999,10
2025-01-14,1031166.5869929999,10
2025-01-15,1048956.5869929998,10
2025-01-16,1047866.5869929999,10
2025-01-17,1062196.5869929998,10
2025-01-20,1051026.5869929998,10
2025-01-21,1061766.5869929998,10
2025-01-22,1057186.5869929998,10
2025-01-23,1037226.5869929999,10
2025-01-24,1049736.5869929998,10
2025-01-31,1055916.5869929998,10
2025-02-03,1025242.7067603997,10
2025-02-04,1030020.7067603997,10
2025-02-05,1039147.7067603997,10
2025-02-06,1052437.7067603997,10
2025-02-07,1051059.7067603997,10
2025-02-10,1047436.7067603997,10
2025-02-11,1041939.7067603997,10
2025-02-12,1032221.7067603997,10
2025-02-13,1046231.7067603997,10
2025-02-14,1050999.7067603997,10
2025-02-17,1060929.7067603997,10
2025-02-18,1060129.7067603997,10
2025-02-19,1066633.7067603997,10
2025-02-20,1074909.7067603997,10
2025-02-21,1101101.7067603997,10
2025-02-24,1116087.7067603997,10
2025-02-25,1114811.7067603997,10
2025-02-26,1122679.7067603997,10
2025-02-27,1117401.7067603997,10
2025-02-28,1086283.7067603997,10
2025-03-04,1080278.2846513998,10
2025-03-05,1102248.2846513998,10
2025-03-06,1105378.2846513998,10
2025-03-07,1093488.2846513998,10
2025-03-10,1101488.2846513998,10
2025-03-11,1092468.2846513998,10
2025-03-12,1088108.2846513998,10
2025-03-13,1085798.2846513998,10
2025-03-14,1099678.2846513998,10
2025-03-17,1111458.2846513998,10
2025-03-18,1105088.2846513998,10
2025-03-19,1111448.2846513998,10
2025-03-20,1108388.2846513998,10
2025-03-21,1109098.2846513998,10
2025-03-24,1112668.2846513998,10
2025-03-25,1106438.2846513998,10
2025-03-26,1104358.2846513998,10
2025-03-27,1089768.2846513998,10
2025-03-28,1085008.2846513998,10
2025-03-31,1067138.2846513998,10
2025-04-01,1075885.1180316997,10
2025-04-02,1066946.1180316997,10
2025-04-03,1052373.1180316997,10
2025-04-04,1058100.1180316997,10
2025-04-07,1022642.1180316997,10
2025-04-08,1023536.0706476995,10
2025-04-09,1012676.0706476995,10
2025-04-10,1052446.0706476995,10
2025-04-11,1059909.0706476995,10
2025-04-14,1060577.0706476995,10
2025-04-15,1080346.0706476995,10
2025-04-16,1072163.0706476995,10
2025-04-17,1082959.0706476995,10
2025-04-18,1088045.0706476995,10
2025-04-21,1093680.0706476995,10
2025-04-22,1095261.0706476995,10
2025-04-23,1103154.0706476995,10
2025-04-24,1104135.0706476995,10
2025-04-25,1110435.0706476995,10
2025-04-28,1114259.0706476995,10
2025-04-29,1123447.0706476995,10
2025-04-30,1118540.0706476995,10
2025-05-02,1113608.9440620996,10
2025-05-07,1115232.9440620996,10
2025-05-08,1133791.9440620996,10
2025-05-09,1139321.9440620996,10
2025-05-12,1151614.9440620996,10
2025-05-13,1167606.9440620996,10
2025-05-14,1167915.9440620996,10
2025-05-15,1160802.9440620996,10
2025-05-16,1161112.9440620996,10
2025-05-19,1147478.9440620996,10
2025-05-20,1156245.9440620996,10
2025-05-21,1161215.8914587994,10
2025-05-22,1151715.8914587994,10
2025-05-23,1147265.8914587994,10
2025-05-26,1172475.8914587994,10
2025-05-27,1174635.8914587994,10
2025-05-28,1176495.8914587994,10
2025-05-29,1242485.8914587994,10
2025-05-30,1235065.8914587994,10
2025-06-02,1231014.2760098993,10
2025-06-04,1253860.2760098993,10
2025-06-05,1269021.2760098993,10
2025-06-09,1287253.2760098993,10
2025-06-10,1287659.2760098993,10
2025-06-11,1296632.2760098993,10
2025-06-12,1297775.2760098993,10
2025-06-13,1268653.2760098993,10
2025-06-16,1318693.2760098993,10
2025-06-17,1299859.2760098993,10
2025-06-18,1299217.2760098993,10
2025-06-19,1298530.2760098993,10
2025-06-20,1313949.2760098993,10
2025-06-23,1308456.2760098993,10
2025-06-24,1343446.2760098993,10
2025-06-25,1347930.2760098993,10
2025-06-26,1334489.2760098993,10
2025-06-27,1327999.2760098993,10
2025-06-30,1343565.2760098993,10
2025-07-01,1361243.6103581993,10
2025-07-02,1358923.6103581993,10
2025-07-03,1378573.6103581993,10
2025-07-04,1362313.6103581993,10
2025-07-07,1347153.6103581993,10
2025-07-08,1366233.6103581993,10
2025-07-09,1392623.6103581993,10
2025-07-10,1405933.6103581993,10
2025-07-11,1404553.6103581993,10
2025-07-14,1413353.6103581993,10
2025-07-15,1419483.6103581993,10
2025-07-16,1411033.6103581993,10
2025-07-17,1404423.6103581993,10
2025-07-18,1399193.6103581993,10
2025-07-21,1400723.6103581993,10
2025-07-22,1386293.6103581993,10
2025-07-23,1397843.6103581993,10
2025-07-24,1398053.6103581993,10
2025-07-25,1387723.6103581993,10
2025-07-28,1384683.6103581993,10
2025-07-29,1392753.6103581993,10
2025-07-30,1406123.6103581993,10
2025-07-31,1397123.6103581993,10
2025-08-01,1360724.5591456993,10
2025-08-04,1374157.5591456993,10
2025-08-05,1384004.5591456993,10
2025-08-06,1396592.5591456993,10
2025-08-07,1387225.5591456993,10
2025-08-08,1388611.5591456993,10
2025-08-11,1382112.5591456993,10
2025-08-12,1380412.5591456993,10
2025-08-13,1385509.5591456993,10
2025-08-14,1371211.5591456993,10
2025-08-18,1371578.5591456993,10
2025-08-19,1371982.5591456993,10
2025-08-20,1365385.7969055993,10
2025-08-21,1361675.7969055993,10
2025-08-22,1362285.7969055993,10
2025-08-25,1363765.7969055993,10
2025-08-26,1362665.7969055993,10
2025-08-27,1362305.7969055993,10
2025-08-28,1369675.7969055993,10
2025-08-29,1377685.7969055993,10
2025-09-01,1353570.2638465993,10
2025-09-02,1350250.2638465993,10
2025-09-03,1367720.2638465993,10
