공개일,시나리오,기간,연복리%,누적%,최대 손실폭%,최악의 달%,연 매매 건수,비용 합계(원),연 비용률%,80:20 연복리%,80:20 최대 손실폭%
actual,A 기준(월말만),검증 2020-02~2024-12,16.5,111.4,-36.1,-14.9,110.5,300207,3.35,15.6,-36.0
actual,A 기준(월말만),표본외 2025-01~2026-09,35.4,65.4,-22.8,-10.3,126.4,81611,3.57,51.0,-18.2
actual,B 추세 필터,검증 2020-02~2024-12,16.2,108.8,-15.4,-5.1,75.8,196512,2.2,13.4,-15.9
actual,B 추세 필터,표본외 2025-01~2026-09,26.9,48.5,-22.2,-9.7,102.3,62007,3.01,44.8,-18.8
actual,C 공시 반영,검증 2020-02~2024-12,16.6,112.4,-35.4,-14.5,128.0,343820,3.84,15.8,-35.5
actual,C 공시 반영,표본외 2025-01~2026-09,36.3,67.4,-23.3,-11.4,154.0,99747,4.35,50.5,-19.7
actual,D 손절 -10% (월말까지 현금),검증 2020-02~2024-12,15.8,105.6,-28.0,-11.7,125.4,354134,3.77,14.4,-28.1
actual,D 손절 -10% (월말까지 현금),표본외 2025-01~2026-09,33.6,61.8,-18.0,-9.0,134.8,87022,3.83,49.8,-19.0
actual,D 손절 -15% (월말까지 현금),검증 2020-02~2024-12,16.4,110.9,-30.4,-13.2,120.1,337663,3.61,14.8,-30.3
actual,D 손절 -15% (월말까지 현금),표본외 2025-01~2026-09,34.9,64.5,-19.7,-9.1,130.0,84283,3.68,50.7,-18.2
actual,D 손절 -20% (월말까지 현금),검증 2020-02~2024-12,14.6,95.2,-33.2,-17.5,115.4,292311,3.46,13.8,-31.1
actual,D 손절 -20% (월말까지 현금),표본외 2025-01~2026-09,34.6,63.9,-21.8,-10.3,126.4,81402,3.56,50.5,-18.8
actual,D 손절 -10% (다음 순위로 채움),검증 2020-02~2024-12,16.9,115.0,-32.1,-17.7,152.9,439905,4.64,14.7,-32.2
actual,D 손절 -10% (다음 순위로 채움),표본외 2025-01~2026-09,32.6,59.7,-22.2,-10.3,160.1,103887,4.55,49.5,-20.1
actual,D 손절 -15% (다음 순위로 채움),검증 2020-02~2024-12,17.0,116.3,-31.9,-17.8,129.6,365303,3.91,15.4,-31.1
actual,D 손절 -15% (다음 순위로 채움),표본외 2025-01~2026-09,35.4,65.5,-22.4,-9.5,137.2,89879,3.92,51.2,-18.3
actual,D 손절 -20% (다음 순위로 채움),검증 2020-02~2024-12,14.7,95.9,-31.9,-17.5,117.8,300476,3.53,13.8,-30.1
actual,D 손절 -20% (다음 순위로 채움),표본외 2025-01~2026-09,34.8,64.3,-22.4,-10.3,127.6,82263,3.6,50.6,-18.6
actual,E 공시 반영 + 손절 -15% (채움),검증 2020-02~2024-12,15.5,103.0,-35.1,-17.4,145.9,391954,4.39,14.2,-33.2
actual,E 공시 반영 + 손절 -15% (채움),표본외 2025-01~2026-09,34.8,64.3,-21.1,-11.4,172.1,111211,4.91,49.3,-20.2
assumed,A 기준(월말만),검증 2020-02~2024-12,15.5,103.1,-36.1,-14.9,111.3,299788,3.36,14.8,-36.0
assumed,A 기준(월말만),표본외 2025-01~2026-09,33.2,61.1,-25.9,-10.2,126.4,81894,3.57,49.5,-18.5
assumed,C 공시 반영,검증 2020-02~2024-12,15.5,102.7,-35.4,-14.5,127.6,339487,3.86,14.7,-35.5
assumed,C 공시 반영,표본외 2025-01~2026-09,33.4,61.4,-26.7,-11.8,146.8,95127,4.08,49.2,-19.7
