date,equity,n
2020-02-03,982234.2764658,10
2020-02-04,995543.2764658,10
2020-02-05,991495.2764658,10
2020-02-06,1005589.2764658,10
2020-02-07,1009127.2764658,10
2020-02-10,1000478.2764658,10
2020-02-11,990253.2764658,10
2020-02-12,995478.2764658,10
2020-02-13,983856.2764658,10
2020-02-14,970272.2764658,10
2020-02-17,950399.2764658,10
2020-02-18,942462.2764658,10
2020-02-19,941188.2764658,10
2020-02-20,933485.2764658,10
2020-02-21,923808.2764658,10
2020-02-24,861867.2764658,10
2020-02-25,888527.2764658,10
2020-02-26,877124.2764658,10
2020-02-27,837089.2764658,10
2020-02-28,790555.2764658,10
2020-03-02,810114.4803682,10
2020-03-03,828482.4803682,10
2020-03-04,845613.4803682,10
2020-03-05,852021.4803682,10
2020-03-06,840022.4803682,10
2020-03-09,784022.4803682,10
2020-03-10,802988.4803682,10
2020-03-11,766042.4803682,10
2020-03-12,718204.4803682,10
2020-03-13,650096.4803682,10
2020-03-16,613072.4803682,10
2020-03-17,626057.4803682,10
2020-03-18,602191.4803682,10
2020-03-19,528606.4803682,10
2020-03-20,562086.4803682,10
2020-03-23,524918.4803682,10
2020-03-24,555856.4803682,10
2020-03-25,581281.4803682,10
2020-03-26,606993.4803682,10
2020-03-27,615269.4803682,10
2020-03-30,630593.4803682,10
2020-03-31,666877.4803682,10
2020-04-01,660727.5847182,10
2020-04-02,676785.5847182,10
2020-04-03,661301.5847182,10
2020-04-06,671281.5847182,10
2020-04-07,695879.5847182,10
2020-04-08,689927.5847182,10
2020-04-09,701178.5847182,10
2020-04-10,710499.5847182,10
2020-04-13,696164.5847182,10
2020-04-14,720201.5847182,10
2020-04-16,723539.5847182,10
2020-04-17,722717.5847182,10
2020-04-20,751757.5847182,10
2020-04-21,761725.5847182,10
2020-04-22,786228.5847182,10
2020-04-23,789240.5847182,10
2020-04-24,786250.5847182,10
2020-04-27,799585.5847182,10
2020-04-28,801175.5847182,10
2020-04-29,806873.5847182,10
2020-05-04,806601.5344491999,10
2020-05-06,827323.5344491999,10
2020-05-07,829592.5344491999,10
2020-05-08,838630.5344491999,10
2020-05-11,846387.5344491999,10
2020-05-12,848371.5344491999,10
2020-05-13,842862.5344491999,10
2020-05-14,826042.5344491999,10
2020-05-15,826799.5344491999,10
2020-05-18,822757.5344491999,10
2020-05-19,828685.5344491999,10
2020-05-20,830277.5344491999,10
2020-05-21,827129.5344491999,10
2020-05-22,815277.5344491999,10
2020-05-25,817833.5344491999,10
2020-05-26,820949.5344491999,10
2020-05-27,814794.5344491999,10
2020-05-28,807819.5344491999,10
2020-05-29,795544.5344491999,10
2020-06-01,802334.5344491999,10
2020-06-02,810048.5344491999,10
2020-06-03,806528.5344491999,10
2020-06-04,794692.5344491999,10
2020-06-05,791523.5344491999,10
2020-06-08,798919.5344491999,10
2020-06-09,804103.5344491999,10
2020-06-10,808918.5344491999,10
2020-06-11,795640.5344491999,10
2020-06-12,772064.5344491999,10
2020-06-15,740223.5344491999,10
2020-06-16,775454.5344491999,10
2020-06-17,772352.5344491999,10
2020-06-18,766897.5344491999,10
2020-06-19,777163.5344491999,10
2020-06-22,779741.5344491999,10
2020-06-23,780241.5344491999,10
2020-06-24,774358.5344491999,10
2020-06-25,765701.5344491999,10
2020-06-26,750718.5344491999,10
2020-06-29,737959.5344491999,10
2020-06-30,753432.5344491999,10
2020-07-01,741727.5344491999,10
2020-07-02,756418.5344491999,10
2020-07-03,763449.5344491999,10
2020-07-06,767340.5344491999,10
2020-07-07,764974.5344491999,10
2020-07-08,778630.5344491999,10
2020-07-09,778504.5344491999,10
2020-07-10,780256.5344491999,10
2020-07-13,781570.5344491999,10
2020-07-14,779824.5344491999,10
2020-07-15,788638.5344491999,10
2020-07-16,789129.5344491999,10
2020-07-17,797946.5344491999,10
2020-07-20,792061.5344491999,10
2020-07-21,799255.5344491999,10
2020-07-22,794834.5344491999,10
2020-07-23,783240.5344491999,10
2020-07-24,797715.5344491999,10
2020-07-27,801091.5344491999,10
2020-07-28,796388.5344491999,10
2020-07-29,790506.5344491999,10
2020-07-30,788108.5344491999,10
2020-07-31,785511.5344491999,10
2020-08-03,781396.5344491999,10
2020-08-04,788103.5344491999,10
2020-08-05,799999.5344491999,10
2020-08-06,780056.5344491999,10
2020-08-07,774627.5344491999,10
2020-08-10,768324.5344491999,10
2020-08-11,757951.5344491999,10
2020-08-12,746607.5344491999,10
2020-08-13,746950.5344491999,10
2020-08-14,746392.5344491999,10
2020-08-18,715675.5344491999,10
2020-08-19,737520.5344491999,10
2020-08-20,747756.5344491999,10
2020-08-21,735268.5344491999,10
2020-08-24,743100.5344491999,10
2020-08-25,752905.5344491999,10
2020-08-26,760267.5344491999,10
2020-08-27,750490.5344491999,10
2020-08-28,752447.5344491999,10
2020-08-31,754468.5344491999,10
2020-09-01,756532.5344491999,10
2020-09-02,753673.5344491999,10
2020-09-03,761996.5344491999,10
2020-09-04,752867.5344491999,10
2020-09-07,756224.5344491999,10
2020-09-08,755657.5344491999,10
2020-09-09,750920.5344491999,10
2020-09-10,749611.5344491999,10
2020-09-11,766620.5344491999,10
2020-09-14,766322.5344491999,10
2020-09-15,773631.5344491999,10
2020-09-16,770664.5344491999,10
2020-09-17,775409.5344491999,10
2020-09-18,772557.5344491999,10
2020-09-21,787546.5344491999,10
2020-09-22,778412.5344491999,10
2020-09-23,762433.5344491999,10
2020-09-24,748648.5344491999,10
2020-09-25,745629.5344491999,10
2020-09-28,756482.5344491999,10
2020-09-29,762741.5344491999,10
2020-10-05,771296.5344491999,10
2020-10-06,779076.5344491999,10
2020-10-07,774605.5344491999,10
2020-10-08,768286.5344491999,10
2020-10-12,775800.5344491999,10
2020-10-13,772474.5344491999,10
2020-10-14,768622.5344491999,10
2020-10-15,752627.5344491999,10
2020-10-16,750787.5344491999,10
2020-10-19,747887.5344491999,10
2020-10-20,741852.5344491999,10
2020-10-21,746299.5344491999,10
2020-10-22,736458.5344491999,10
2020-10-23,733817.5344491999,10
2020-10-26,720303.5344491999,10
2020-10-27,714200.5344491999,10
2020-10-28,721265.5344491999,10
2020-10-29,723107.5344491999,10
2020-10-30,714700.5344491999,10
2020-11-02,715736.3124883999,10
2020-11-03,720855.3124883999,10
2020-11-04,721627.3124883999,10
2020-11-05,730991.3124883999,10
2020-11-06,730819.3124883999,10
2020-11-09,742382.3124883999,10
2020-11-10,742524.3124883999,10
2020-11-11,733363.3124883999,10
2020-11-12,731862.3124883999,10
2020-11-13,732771.3124883999,10
2020-11-16,728406.3124883999,10
2020-11-17,715992.3124883999,10
2020-11-18,719842.3124883999,10
2020-11-19,725368.3124883999,10
2020-11-20,733738.3124883999,10
2020-11-23,733164.3124883999,10
2020-11-24,732301.3124883999,10
2020-11-25,720780.3124883999,10
2020-11-26,719388.3124883999,10
2020-11-27,720521.3124883999,10
2020-11-30,729401.3124883999,10
2020-12-01,731079.3124883999,10
2020-12-02,730190.3124883999,10
2020-12-03,726027.3124883999,10
2020-12-04,719938.3124883999,10
2020-12-07,723252.3124883999,10
2020-12-08,723150.3124883999,10
2020-12-09,726882.3124883999,10
2020-12-10,725230.3124883999,10
2020-12-11,722632.3124883999,10
2020-12-14,716835.3124883999,10
2020-12-15,723574.3124883999,10
2020-12-16,728655.3124883999,10
2020-12-17,727600.3124883999,10
2020-12-18,724714.3124883999,10
2020-12-21,727508.3124883999,10
2020-12-22,733484.3124883999,10
2020-12-23,706926.3124883999,10
2020-12-24,716842.3124883999,10
2020-12-28,718400.3124883999,10
2020-12-29,734681.3124883999,10
2020-12-30,746441.3124883999,10
2021-01-04,741798.3124883999,10
2021-01-05,758006.3124883999,10
2021-01-06,762400.3124883999,10
2021-01-07,752622.3124883999,10
2021-01-08,736909.3124883999,10
2021-01-11,714121.3124883999,10
2021-01-12,712778.3124883999,10
2021-01-13,719991.3124883999,10
2021-01-14,723441.3124883999,10
2021-01-15,733324.3124883999,10
2021-01-18,729522.3124883999,10
2021-01-19,728593.3124883999,10
2021-01-20,745276.3124883999,10
2021-01-21,743486.3124883999,10
2021-01-22,753320.3124883999,10
2021-01-25,757581.3124883999,10
2021-01-26,757380.3124883999,10
2021-01-27,756790.3124883999,10
2021-01-28,747459.3124883999,10
2021-01-29,738467.3124883999,10
2021-02-01,742196.3768478,10
2021-02-02,747026.3768478,10
2021-02-03,753821.3768478,10
2021-02-04,751249.3768478,10
2021-02-05,753102.3768478,10
2021-02-08,745434.3768478,10
2021-02-09,752005.3768478,10
2021-02-10,760666.3768478,10
2021-02-15,774945.3768478,10
2021-02-16,768253.3768478,10
2021-02-17,765289.3768478,10
2021-02-18,766148.3768478,10
2021-02-19,762756.3768478,10
2021-02-22,770100.3768478,10
2021-02-23,767208.3768478,10
2021-02-24,748685.3768478,10
2021-02-25,756710.3768478,10
2021-02-26,757881.3768478,10
2021-03-02,759010.1801467,10
2021-03-03,766506.1801467,10
2021-03-04,771853.1801467,10
2021-03-05,763108.1801467,10
2021-03-08,758585.1801467,10
2021-03-09,755591.1801467,10
2021-03-10,760177.1801467,10
2021-03-11,756161.1801467,10
2021-03-12,759839.1801467,10
2021-03-15,779487.1801467,10
2021-03-16,792827.1801467,10
2021-03-17,792372.1801467,10
2021-03-18,796461.1801467,10
2021-03-19,802202.1801467,10
2021-03-22,798472.1801467,10
2021-03-23,788460.1801467,10
2021-03-24,785762.1801467,10
2021-03-25,787410.1801467,10
2021-03-26,780501.1801467,10
2021-03-29,774094.1801467,10
2021-03-30,770317.1801467,10
2021-03-31,773664.1801467,10
2021-04-01,768463.1801467,10
2021-04-02,768083.1801467,10
2021-04-05,769126.1801467,10
2021-04-06,766274.1801467,10
2021-04-07,771639.1801467,10
2021-04-08,774577.1801467,10
2021-04-09,779600.1801467,10
2021-04-12,779947.1801467,10
2021-04-13,785714.1801467,10
2021-04-14,788995.1801467,10
2021-04-15,784158.1801467,10
2021-04-16,785817.1801467,10
2021-04-19,793254.1801467,10
2021-04-20,799943.1801467,10
2021-04-21,800809.1801467,10
2021-04-22,796399.1801467,10
2021-04-23,788786.1801467,10
2021-04-26,789563.1801467,10
2021-04-27,785549.1801467,10
2021-04-28,779286.1801467,10
2021-04-29,777693.1801467,10
2021-04-30,766430.1801467,10
2021-05-03,750384.9994516999,10
2021-05-04,747728.9994516999,10
2021-05-06,753030.9994516999,10
2021-05-07,762163.9994516999,10
2021-05-10,766802.9994516999,10
2021-05-11,759973.9994516999,10
2021-05-12,754294.9994516999,10
2021-05-13,748508.9994516999,10
2021-05-14,757893.9994516999,10
2021-05-17,752328.9994516999,10
2021-05-18,726924.9994516999,10
2021-05-20,733566.9994516999,10
2021-05-21,721369.9994516999,10
2021-05-24,717997.9994516999,10
2021-05-25,717749.9994516999,10
2021-05-26,737103.9994516999,10
2021-05-27,742343.9994516999,10
2021-05-28,739096.9994516999,10
2021-05-31,738836.9994516999,10
2021-06-01,740294.9994516999,10
2021-06-02,729517.9994516999,10
2021-06-03,729044.9994516999,10
2021-06-04,725372.9994516999,10
2021-06-07,726231.9994516999,10
2021-06-08,727097.9994516999,10
2021-06-09,721713.9994516999,10
2021-06-10,736144.9994516999,10
2021-06-11,722766.9976816999,9
2021-06-14,733986.9976816999,9
2021-06-15,726000.9976816999,9
2021-06-16,736493.9976816999,9
2021-06-17,727591.9976816999,9
2021-06-18,732311.9976816999,9
2021-06-21,723908.9976816999,9
2021-06-22,723365.9976816999,9
2021-06-23,716395.9976816999,9
2021-06-24,713539.9976816999,9
2021-06-25,717316.9976816999,9
2021-06-28,725377.9976816999,9
2021-06-29,725392.9976816999,9
2021-06-30,733652.9976816999,9
2021-07-01,729246.7229716999,10
2021-07-02,733614.7229716999,10
2021-07-05,739731.7229716999,10
2021-07-06,740755.7229716999,10
2021-07-07,753682.7229716999,10
2021-07-08,752705.7229716999,10
2021-07-09,757688.7229716999,10
2021-07-12,756076.7229716999,10
2021-07-13,755483.7229716999,10
2021-07-14,752904.7229716999,10
2021-07-15,746050.7229716999,10
2021-07-16,749326.7229716999,10
2021-07-19,753058.7229716999,10
2021-07-20,755805.7229716999,10
2021-07-21,772010.7229716999,10
2021-07-22,779550.7229716999,10
2021-07-23,795386.7229716999,10
2021-07-26,783401.7229716999,10
2021-07-27,767560.7229716999,10
2021-07-28,771260.7229716999,10
2021-07-29,762033.7229716999,10
2021-07-30,761198.7229716999,10
2021-08-02,762674.7229716999,10
2021-08-03,770965.7229716999,10
2021-08-04,775506.7229716999,10
2021-08-05,777771.7229716999,10
2021-08-06,767423.7229716999,10
2021-08-09,785083.7229716999,10
2021-08-10,783431.7229716999,10
2021-08-11,793685.7229716999,10
2021-08-12,809813.7229716999,10
2021-08-13,794568.7229716999,10
2021-08-17,760426.7229716999,10
2021-08-18,762222.7229716999,10
2021-08-19,744835.7229716999,10
2021-08-20,748951.7229716999,10
2021-08-23,753640.7229716999,10
2021-08-24,766954.7229716999,10
2021-08-25,756658.7229716999,10
2021-08-26,747544.7229716999,10
2021-08-27,746668.7229716999,10
2021-08-30,764276.7229716999,10
2021-08-31,751049.7229716999,10
2021-09-01,765622.7229716999,10
2021-09-02,782560.7229716999,10
2021-09-03,784185.7229716999,10
2021-09-06,777965.7229716999,10
2021-09-07,771793.7229716999,10
2021-09-08,755605.7229716999,10
2021-09-09,752756.7229716999,10
2021-09-10,751631.7229716999,10
2021-09-13,746283.7229716999,10
2021-09-14,735321.7229716999,10
2021-09-15,754802.7229716999,10
2021-09-16,753925.7229716999,10
2021-09-17,748952.7229716999,10
2021-09-23,732485.7229716999,10
2021-09-24,719342.7229716999,10
2021-09-27,721749.7229716999,10
2021-09-28,699607.7229716999,10
2021-09-29,680356.7229716999,10
2021-09-30,676558.7229716999,10
2021-10-01,667031.7229716999,10
2021-10-05,656756.7229716999,10
2021-10-06,631246.7229716999,10
2021-10-07,647112.7229716999,10
2021-10-08,654776.7229716999,10
2021-10-12,632320.7229716999,10
2021-10-13,624499.7229716999,10
2021-10-14,638919.7229716999,10
2021-10-15,641120.7229716999,10
2021-10-18,633518.7229716999,10
2021-10-19,638699.7229716999,10
2021-10-20,629867.7229716999,10
2021-10-21,620187.7229716999,10
2021-10-22,632003.7229716999,10
2021-10-25,644886.7229716999,10
2021-10-26,641043.7229716999,10
2021-10-27,631703.7229716999,10
2021-10-28,634523.7229716999,10
2021-10-29,642784.7229716999,10
2021-11-01,637833.7229716999,10
2021-11-02,639131.7229716999,10
2021-11-03,625163.7229716999,10
2021-11-04,619182.7229716999,10
2021-11-05,615240.7229716999,10
2021-11-08,606746.7229716999,10
2021-11-09,601201.7229716999,10
2021-11-10,591460.7229716999,10
2021-11-11,591643.7229716999,10
2021-11-12,599333.7229716999,10
2021-11-15,611135.7229716999,10
2021-11-16,617616.7229716999,10
2021-11-17,605142.7229716999,10
2021-11-18,595757.7229716999,10
2021-11-19,597029.7229716999,10
2021-11-22,593152.7229716999,10
2021-11-23,587033.7229716999,10
2021-11-24,603694.7229716999,10
2021-11-25,598490.7229716999,10
2021-11-26,596556.7229716999,10
2021-11-29,603974.7229716999,10
2021-11-30,607949.7229716999,10
2021-12-01,602314.7229716999,10
2021-12-02,607912.7229716999,10
2021-12-03,612660.7229716999,10
2021-12-06,609784.7229716999,10
