date,equity,n
2025-01-02,1016788.5928227998,10
2025-01-03,1035118.5928227998,10
2025-01-06,1061640.5928228,10
2025-01-07,1049608.5928228,10
2025-01-08,1051306.5928228,10
2025-01-09,1062382.5928228,10
2025-01-10,1047336.5928227998,10
2025-01-13,1042498.5928227998,10
2025-01-14,1056648.5928228,10
2025-01-15,1051504.5928228,10
2025-01-16,1067262.5928228,10
2025-01-17,1072870.5928228,10
2025-01-20,1077408.5928228,10
2025-01-21,1073722.5928228,10
2025-01-22,1083466.5928228,10
2025-01-23,1067070.5928228,10
2025-01-24,1066508.5928228,10
2025-01-31,1071242.5928228,10
2025-02-03,1017791.3990677998,10
2025-02-04,1030634.3990677998,10
2025-02-05,1085424.3990677998,10
2025-02-06,1119250.3990677998,10
2025-02-07,1189851.3990677998,10
2025-02-10,1218601.3990677998,10
2025-02-11,1212738.3990677998,10
2025-02-12,1194490.3990677998,10
2025-02-13,1189508.3990677998,10
2025-02-14,1205086.3990677998,10
2025-02-17,1225032.3990677998,10
2025-02-18,1212316.3990677998,10
2025-02-19,1237876.3990677998,10
2025-02-20,1167081.3990677998,10
2025-02-21,1184678.3990677998,10
2025-02-24,1170670.3990677998,10
2025-02-25,1160415.3990677998,10
2025-02-26,1153244.3990677998,10
2025-02-27,1126593.3990677998,10
2025-02-28,1108468.3990677998,10
2025-03-04,1094667.1380171997,10
2025-03-05,1105179.1380171997,10
2025-03-06,1083097.1380171997,10
2025-03-07,1070683.1380171997,10
2025-03-10,1080103.1380171997,10
2025-03-11,1085313.1380171997,10
2025-03-12,1102533.1380171997,10
2025-03-13,1084573.1380171997,10
2025-03-14,1099437.1380171997,10
2025-03-17,1110547.1380171997,10
2025-03-18,1097631.1380171997,10
2025-03-19,1068933.1380171997,10
2025-03-20,1054265.1380171997,10
2025-03-21,1039579.1380171998,10
2025-03-24,1036945.1380171998,10
2025-03-25,1013841.1380171998,10
2025-03-26,1022247.1380171998,10
2025-03-27,996387.1380171998,10
2025-03-28,974531.1380171998,10
2025-03-31,942433.1380171998,10
2025-04-01,950647.3895105997,10
2025-04-02,924383.3895105997,10
2025-04-03,922155.3895105997,10
2025-04-04,919295.3895105997,10
2025-04-07,840359.3895105997,10
2025-04-08,846641.3895105997,10
2025-04-09,845729.3895105997,10
2025-04-10,915533.3895105997,10
2025-04-11,957315.3895105997,10
2025-04-14,976495.3895105997,10
2025-04-15,973241.3895105997,10
2025-04-16,954655.3895105997,10
2025-04-17,996423.3895105997,10
2025-04-18,994505.3895105997,10
2025-04-21,997787.3895105997,10
2025-04-22,990699.3895105997,10
2025-04-23,1024027.3895105997,10
2025-04-24,1024145.3895105997,10
2025-04-25,1041867.3895105997,10
2025-04-28,1020855.3895105997,10
2025-04-29,1025823.3895105997,10
2025-04-30,1016177.3895105997,10
2025-05-02,1006963.9522473996,10
2025-05-07,1021783.9522473996,10
2025-05-08,1038274.9522473996,10
2025-05-09,1021893.9522473996,10
2025-05-12,1019966.9522473996,10
2025-05-13,1019085.9522473996,10
2025-05-14,1051027.9522473996,10
2025-05-15,1076914.9522473996,10
2025-05-16,1055015.9522473996,10
2025-05-19,1057422.9522473996,10
2025-05-20,1051082.9522473996,10
2025-05-21,1056854.9522473996,10
2025-05-22,1047146.9522473996,10
2025-05-23,1075509.9522473996,10
2025-05-26,1092278.9522473996,10
2025-05-27,1089528.9522473996,10
2025-05-28,1099644.9522473996,10
2025-05-29,1114224.9522473996,10
2025-05-30,1116562.9522473996,10
2025-06-02,1135250.2063645998,10
2025-06-04,1154792.2063645998,10
2025-06-05,1151930.2063645998,10
2025-06-09,1137701.2063645998,10
2025-06-10,1140025.2063645998,10
2025-06-11,1143080.2063645998,10
2025-06-12,1167818.2063645998,10
2025-06-13,1141875.2063645998,10
2025-06-16,1156936.2063645998,10
2025-06-17,1174474.2063645998,10
2025-06-18,1179025.2063645998,10
2025-06-19,1166943.2063645998,10
2025-06-20,1203034.2063645998,10
2025-06-23,1171321.2063645998,10
2025-06-24,1206863.2063645998,10
2025-06-25,1234840.2063645998,10
2025-06-26,1202730.2063645998,10
2025-06-27,1189618.2063645998,10
2025-06-30,1189099.2063645998,10
2025-07-01,1156145.9644508997,10
2025-07-02,1113769.9644508997,10
2025-07-03,1113818.9644508997,10
2025-07-04,1098652.9644508997,10
2025-07-07,1112190.9644508997,10
2025-07-08,1148961.9644508997,10
2025-07-09,1157476.9644508997,10
2025-07-10,1132823.9644508997,10
2025-07-11,1151902.9644508997,10
2025-07-14,1138570.9644508997,10
2025-07-15,1157766.9644508997,10
2025-07-16,1144407.9644508997,10
2025-07-17,1131421.9644508997,10
2025-07-18,1125664.9644508997,10
2025-07-21,1152404.9644508997,10
2025-07-22,1141731.9644508997,10
2025-07-23,1142725.9644508997,10
2025-07-24,1141388.9644508997,10
2025-07-25,1148793.9644508997,10
2025-07-28,1134482.9644508997,10
2025-07-29,1107841.9644508997,10
2025-07-30,1097922.9644508997,10
2025-07-31,1117463.9644508997,10
2025-08-01,1094447.9277814997,10
2025-08-04,1105702.9277814997,10
2025-08-05,1120546.9277814997,10
2025-08-06,1116613.9277814997,10
2025-08-07,1118910.9277814997,10
2025-08-08,1136358.9277814997,10
2025-08-11,1162222.9277814997,10
2025-08-12,1171953.9277814997,10
2025-08-13,1135350.9277814997,10
2025-08-14,1137430.9277814997,10
2025-08-18,1054410.9277814997,10
2025-08-19,1036637.9277814997,10
2025-08-20,1026176.9277814997,10
2025-08-21,1034205.9277814997,10
2025-08-22,1051673.9277814997,10
2025-08-25,1070085.9277814997,10
2025-08-26,1065267.9277814997,10
2025-08-27,1065544.9277814997,10
2025-08-28,1073628.9277814997,10
2025-08-29,1060004.9277814997,10
2025-09-01,1032474.4100244996,10
2025-09-02,1030493.4100244996,10
2025-09-03,1024895.4100244996,10
2025-09-04,1044471.4100244996,10
2025-09-05,1054549.4100244995,10
2025-09-08,1091112.4100244995,10
2025-09-09,1136800.4100244995,10
2025-09-10,1142687.4100244995,10
2025-09-11,1158996.4100244995,10
2025-09-12,1170884.4100244995,10
2025-09-15,1162363.4100244995,10
2025-09-16,1150708.4100244995,10
2025-09-17,1156232.4100244995,10
2025-09-18,1150987.4100244995,10
2025-09-19,1122878.4100244995,10
2025-09-22,1127449.4100244995,10
2025-09-23,1136458.4100244995,10
2025-09-24,1123990.4100244995,10
2025-09-25,1140998.4100244995,10
2025-09-26,1120306.4100244995,10
2025-09-29,1116726.4100244995,10
2025-09-30,1107318.4100244995,10
2025-10-01,1090636.9398684995,10
2025-10-02,1098233.9398684995,10
2025-10-10,1108864.9398684995,10
2025-10-13,1135146.9398684995,10
2025-10-14,1120788.9398684995,10
2025-10-15,1118848.9398684995,10
2025-10-16,1131089.9398684995,10
2025-10-17,1087980.9398684995,10
2025-10-20,1103594.9398684995,10
2025-10-21,1113060.9398684995,10
2025-10-22,1140286.9398684995,10
2025-10-23,1117130.9398684995,10
2025-10-24,1188475.9398684995,10
2025-10-27,1200117.9398684995,10
2025-10-28,1207531.9398684995,10
2025-10-29,1192895.9398684995,10
2025-10-30,1150755.9398684995,10
2025-10-31,1152202.9398684995,10
2025-11-03,1138159.1461693996,10
2025-11-04,1125001.1461693996,10
2025-11-05,1076720.1461693996,10
2025-11-06,1053451.1461693996,10
2025-11-07,1006416.1461693996,10
2025-11-10,1050579.1461693996,10
2025-11-11,1060871.1461693996,10
2025-11-12,1073583.1461693996,10
2025-11-13,1092098.1461693996,10
2025-11-14,1077307.1461693996,10
2025-11-17,1042766.1461693996,10
2025-11-18,995169.1461693996,10
2025-11-19,977571.1461693996,10
2025-11-20,995304.1461693996,10
2025-11-21,963842.1461693996,10
2025-11-24,956207.1461693996,10
2025-11-25,949281.1461693996,10
2025-11-26,1001202.1461693996,10
2025-11-27,1021301.1461693996,10
2025-11-28,1055633.1461693996,10
2025-12-01,1072924.1314357996,10
2025-12-02,1073026.1314357996,10
2025-12-03,1072541.1314357996,10
2025-12-04,1056177.1314357996,10
2025-12-05,1034022.1314357995,10
2025-12-08,1046590.1314357995,10
2025-12-09,1046036.1314357995,10
2025-12-10,1049924.1314357996,10
2025-12-11,1047894.1314357995,10
2025-12-12,1064944.1314357996,10
2025-12-15,1057432.1314357996,10
2025-12-16,1003837.1314357995,10
2025-12-17,1002300.1314357995,10
2025-12-18,1002431.1314357995,10
2025-12-19,1005420.1314357995,10
2025-12-22,1018115.1314357995,10
2025-12-23,1022804.1314357995,10
2025-12-24,1021436.1314357995,10
2025-12-26,1027073.1314357995,10
2025-12-29,1041507.1314357995,10
2025-12-30,1047656.1314357995,10
2026-01-02,1039378.6673501995,9
2026-01-05,1035093.6673501995,9
2026-01-06,1073921.6673501995,9
2026-01-07,1090225.6673501995,9
2026-01-08,1110586.6673501995,9
2026-01-09,1078861.6673501995,9
2026-01-12,1061256.6673501995,9
2026-01-13,1065659.6673501995,9
2026-01-14,1030834.6673501995,9
2026-01-15,1051181.6673501995,9
2026-01-16,1058215.6673501995,9
2026-01-19,1123873.6673501995,9
