date,equity,n
2025-01-02,1007642.9915719999,10
2025-01-03,1014502.9915719999,10
2025-01-06,1025912.9915719999,10
2025-01-07,1018362.9915719999,10
2025-01-08,1035022.9915719999,10
2025-01-09,1044472.9915719999,10
2025-01-10,1042252.9915719999,10
2025-01-13,1032342.9915719999,10
2025-01-14,1022362.9915719999,10
2025-01-15,1003842.9915719999,10
2025-01-16,1025252.9915719999,10
2025-01-17,1033542.9915719999,10
2025-01-20,1027762.9915719999,10
2025-01-21,1029652.9915719999,10
2025-01-22,1017462.9915719999,10
2025-01-23,1011422.9915719999,10
2025-01-24,1012642.9915719999,10
2025-01-31,1007782.9915719999,10
2025-02-03,993949.5418219999,10
2025-02-04,998359.5418219999,10
2025-02-05,1006689.5418219999,10
2025-02-06,1035739.5418219999,10
2025-02-07,1042089.5418219999,10
2025-02-10,1038279.5418219999,10
2025-02-11,1036039.5418219999,10
2025-02-12,1032769.5418219999,10
2025-02-13,1031419.5418219999,10
2025-02-14,1040499.5418219999,10
2025-02-17,1058189.541822,10
2025-02-18,1060469.541822,10
2025-02-19,1060109.541822,10
2025-02-20,1054379.541822,10
2025-02-21,1066059.541822,10
2025-02-24,1059379.541822,10
2025-02-25,1046599.5418219999,10
2025-02-26,1045849.5418219999,10
2025-02-27,1076839.541822,10
2025-02-28,1049334.541822,10
2025-03-04,1038528.3219989999,10
2025-03-05,1053538.321999,10
2025-03-06,1072763.321999,10
2025-03-07,1060408.321999,10
2025-03-10,1056713.321999,10
2025-03-11,1051898.321999,10
2025-03-12,1058973.321999,10
2025-03-13,1059678.321999,10
2025-03-14,1081103.321999,10
2025-03-17,1080813.321999,10
2025-03-18,1091108.321999,10
2025-03-19,1087328.321999,10
2025-03-20,1087968.321999,10
2025-03-21,1097598.321999,10
2025-03-24,1086368.321999,10
2025-03-25,1077048.321999,10
2025-03-26,1079168.321999,10
2025-03-27,1069708.321999,10
2025-03-28,1066498.321999,10
2025-03-31,1045643.3219989999,10
2025-04-01,1055295.0952124998,10
2025-04-02,1065875.0952124998,10
2025-04-03,1058765.0952124998,10
2025-04-04,1053345.0952124998,10
2025-04-07,999400.0952124998,10
2025-04-08,998575.0952124998,10
2025-04-09,980885.0952124998,10
2025-04-10,1037935.0952124998,10
2025-04-11,1060505.0952124998,10
2025-04-14,1066940.0952124998,10
2025-04-15,1096325.0952124998,10
2025-04-16,1097170.0952124998,10
2025-04-17,1108735.0952124998,10
2025-04-18,1114095.0952124998,10
2025-04-21,1119410.0952124998,10
2025-04-22,1124675.0952124998,10
2025-04-23,1120330.0952124998,10
2025-04-24,1149750.0952124998,10
2025-04-25,1148570.0952124998,10
2025-04-28,1146895.0952124998,10
2025-04-29,1153455.0952124998,10
2025-04-30,1139115.0952124998,10
2025-05-02,1138346.9219764997,10
2025-05-07,1140081.9219764997,10
2025-05-08,1186371.9219764997,10
2025-05-09,1193056.9219764997,10
2025-05-12,1171731.9219764997,10
2025-05-13,1181406.9219764997,10
2025-05-14,1186766.9219764997,10
2025-05-15,1185926.9219764997,10
2025-05-16,1150906.9219764997,10
2025-05-19,1132401.9219764997,10
2025-05-20,1149436.9219764997,10
2025-05-21,1149191.9219764997,10
2025-05-22,1135916.9219764997,10
2025-05-23,1142301.9219764997,10
2025-05-26,1151296.9219764997,10
2025-05-27,1157536.9219764997,10
2025-05-28,1148101.9219764997,10
2025-05-29,1150666.9219764997,10
2025-05-30,1150526.9219764997,10
2025-06-02,1158212.5129379998,10
2025-06-04,1184622.5129379998,10
2025-06-05,1186842.5129379998,10
2025-06-09,1193352.5129379998,10
2025-06-10,1197852.5129379998,10
2025-06-11,1223082.5129379998,10
2025-06-12,1220982.5129379998,10
2025-06-13,1216972.5129379998,10
2025-06-16,1285762.5129379998,10
2025-06-17,1274832.5129379998,10
2025-06-18,1275152.5129379998,10
2025-06-19,1277102.5129379998,10
2025-06-20,1277222.5129379998,10
2025-06-23,1280272.5129379998,10
2025-06-24,1293982.5129379998,10
2025-06-25,1308692.5129379998,10
2025-06-26,1278502.5129379998,10
2025-06-27,1264722.5129379998,10
2025-06-30,1283102.5129379998,10
2025-07-01,1307045.0256759997,10
2025-07-02,1320415.0256759997,10
2025-07-03,1315565.0256759997,10
2025-07-04,1284105.0256759997,10
2025-07-07,1295295.0256759997,10
2025-07-08,1316415.0256759997,10
2025-07-09,1350615.0256759997,10
2025-07-10,1352535.0256759997,10
2025-07-11,1343765.0256759997,10
2025-07-14,1361195.0256759997,10
2025-07-15,1365105.0256759997,10
2025-07-16,1361965.0256759997,10
2025-07-17,1353185.0256759997,10
2025-07-18,1336925.0256759997,10
2025-07-21,1339625.0256759997,10
2025-07-22,1339245.0256759997,10
2025-07-23,1355265.0256759997,10
2025-07-24,1358145.0256759997,10
2025-07-25,1350155.0256759997,10
