date,equity,n
2020-02-03,1008937.2056074999,10
2020-02-04,1008588.2056074999,10
2020-02-05,1009784.2056074999,10
2020-02-06,1019607.2056074999,10
2020-02-07,1015804.2056074999,10
2020-02-10,1010300.2056074999,10
2020-02-11,1022309.2056074999,10
2020-02-12,1017921.2056074999,10
2020-02-13,1006811.2056074999,10
2020-02-14,1006795.2056074999,10
2020-02-17,1014323.2056074999,10
2020-02-18,1004213.2056074999,10
2020-02-19,1024729.2056074999,10
2020-02-20,1061496.2056075,10
2020-02-21,1069351.2056075,10
2020-02-24,1042533.2056074999,10
2020-02-25,1020163.2056074999,10
2020-02-26,1009835.2056074999,10
2020-02-27,973723.2056074999,10
2020-02-28,928220.2056074999,10
2020-03-02,935750.0613404999,10
2020-03-03,943762.0613404999,10
2020-03-04,946439.0613404999,10
2020-03-05,954299.0613404999,10
2020-03-06,951278.0613404999,10
2020-03-09,916660.0613404999,10
2020-03-10,898845.0613404999,10
2020-03-11,873063.0613404999,10
2020-03-12,826180.0613404999,10
2020-03-13,761528.0613404999,10
2020-03-16,745400.0613404999,10
2020-03-17,741287.0613404999,10
2020-03-18,732502.0613404999,10
2020-03-19,642453.0613404999,10
2020-03-20,699207.0613404999,10
2020-03-23,666851.0613404999,10
2020-03-24,703554.0613404999,10
2020-03-25,737668.0613404999,10
2020-03-26,758705.0613404999,10
2020-03-27,765443.0613404999,10
2020-03-30,790795.0613404999,10
2020-03-31,833763.0613404999,10
2020-04-01,837831.1938724999,10
2020-04-02,850678.1938724999,10
2020-04-03,845140.1938724999,10
2020-04-06,881413.1938724999,10
2020-04-07,895973.1938724999,10
2020-04-08,899813.1938724999,10
2020-04-09,907879.1938724999,10
2020-04-10,911295.1938724999,10
2020-04-13,892164.1938724999,10
2020-04-14,910197.1938724999,10
2020-04-16,920120.1938724999,10
2020-04-17,935132.1938724999,10
2020-04-20,930038.1938724999,10
2020-04-21,913536.1938724999,10
2020-04-22,914140.1938724999,10
2020-04-23,938572.1938724999,10
2020-04-24,923763.1938724999,10
2020-04-27,946630.1938724999,10
2020-04-28,941738.1938724999,10
2020-04-29,966208.1938724999,10
2020-05-04,964780.3230614999,10
2020-05-06,984313.3230614999,10
2020-05-07,997296.3230614999,10
2020-05-08,1009806.3230614999,10
2020-05-11,996988.3230614999,10
2020-05-12,987625.3230614999,10
2020-05-13,987897.3230614999,10
2020-05-14,979927.3230614999,10
2020-05-15,978368.3230614999,10
2020-05-18,979113.3230614999,10
2020-05-19,983406.3230614999,10
2020-05-20,986611.3230614999,10
2020-05-21,1015025.3230614999,10
2020-05-22,988644.3230614999,10
2020-05-25,1004726.3230614999,10
2020-05-26,1010131.3230614999,10
2020-05-27,1001117.3230614999,10
2020-05-28,990998.3230614999,10
2020-05-29,1020084.3230614999,10
2020-06-01,1036980.3230614999,10
2020-06-02,1038667.3230614999,10
2020-06-03,1030748.3230614999,10
2020-06-04,1047890.3230614999,10
2020-06-05,1064522.3230614997,10
2020-06-08,1054000.3230614997,10
2020-06-09,1041089.3230614999,10
2020-06-10,1031465.3230614999,10
2020-06-11,1010163.3230614999,10
2020-06-12,1002051.3230614999,10
2020-06-15,932358.3230614999,10
2020-06-16,983499.3230614999,10
2020-06-17,970357.3230614999,10
2020-06-18,973180.3230614999,10
2020-06-19,1000040.3230614999,10
2020-06-22,1007163.3230614999,10
2020-06-23,992704.3230614999,10
2020-06-24,1014893.3230614999,10
2020-06-25,1008788.3230614999,10
2020-06-26,993395.3230614999,10
2020-06-29,969963.3230614999,10
2020-06-30,976016.3230614999,10
2020-07-01,980920.1444214998,10
2020-07-02,1007525.1444214998,10
2020-07-03,1012082.1444214998,10
2020-07-06,1020681.1444214998,10
2020-07-07,1016131.1444214998,10
2020-07-08,1015144.1444214998,10
2020-07-09,1016867.1444214998,10
2020-07-10,1007910.1444214998,10
2020-07-13,1022220.1444214998,10
2020-07-14,1010576.1444214998,10
2020-07-15,1024786.1444214998,10
2020-07-16,1019012.1444214998,10
2020-07-17,1022786.1444214998,10
2020-07-20,1018224.1444214998,10
2020-07-21,1021971.1444214998,10
2020-07-22,1018692.1444214998,10
2020-07-23,1008663.1444214998,10
2020-07-24,998598.1444214998,10
2020-07-27,1017642.1444214998,10
2020-07-28,1020412.1444214998,10
2020-07-29,1027857.1444214998,10
2020-07-30,1041981.1444214998,10
2020-07-31,1045484.1444214998,10
2020-08-03,1048835.8150039997,10
2020-08-04,1052804.8150039997,10
2020-08-05,1040826.8150039999,10
2020-08-06,1044353.8150039999,10
2020-08-07,1048258.8150039999,10
2020-08-10,1052820.8150039997,10
2020-08-11,1055860.8150039997,10
2020-08-12,1047649.8150039999,10
2020-08-13,1064101.8150039997,10
2020-08-14,1091213.8150039997,10
2020-08-18,1029473.8150039999,10
2020-08-19,1034368.8150039999,10
2020-08-20,987965.8150039999,10
2020-08-21,1006214.8150039999,10
2020-08-24,1021810.8150039999,10
2020-08-25,1046878.8150039999,10
2020-08-26,1085582.8150039997,10
2020-08-27,1077346.8150039997,10
2020-08-28,1109989.8150039997,10
2020-08-31,1142605.8150039997,10
2020-09-01,1105547.6881039997,10
2020-09-02,1117445.6881039997,10
2020-09-03,1119924.6881039997,10
2020-09-04,1126240.6881039997,10
2020-09-07,1135290.6881039997,10
2020-09-08,1113623.6881039997,10
2020-09-09,1110558.6881039997,10
2020-09-10,1125131.6881039997,10
2020-09-11,1099416.6881039997,10
2020-09-14,1102262.6881039997,10
2020-09-15,1108520.6881039997,10
2020-09-16,1111710.6881039997,10
2020-09-17,1092932.6881039997,10
2020-09-18,1109637.6881039997,10
2020-09-21,1063568.6881039997,10
2020-09-22,1023858.6881039998,10
2020-09-23,1040986.6881039998,10
2020-09-24,1007853.6881039998,10
2020-09-25,1005547.6881039998,10
2020-09-28,1030228.6881039998,10
2020-09-29,1044655.6881039998,10
2020-10-05,1062627.8164959997,10
2020-10-06,1058458.8164959997,10
2020-10-07,1064271.8164959997,10
2020-10-08,1068267.8164959997,10
2020-10-12,1071103.8164959997,10
2020-10-13,1074682.8164959997,10
2020-10-14,1077335.8164959997,10
2020-10-15,1086147.8164959997,10
2020-10-16,1069454.8164959997,10
2020-10-19,1065893.8164959997,10
2020-10-20,1079336.8164959997,10
2020-10-21,1082440.8164959997,10
2020-10-22,1081384.8164959997,10
2020-10-23,1065630.8164959997,10
2020-10-26,1037338.8164959998,10
2020-10-27,1028716.8164959998,10
2020-10-28,1043628.8164959998,10
2020-10-29,1032403.8164959998,10
2020-10-30,1016120.8164959998,10
2020-11-02,1017002.7982464998,10
2020-11-03,1036472.7982464998,10
2020-11-04,1043482.7982464998,10
2020-11-05,1050785.7982464998,10
2020-11-06,1044956.7982464998,10
2020-11-09,1065650.7982464998,10
2020-11-10,1070144.7982464998,10
2020-11-11,1092559.7982464998,10
2020-11-12,1105014.7982464998,10
2020-11-13,1102680.7982464998,10
2020-11-16,1105188.7982464998,10
2020-11-17,1105965.7982464998,10
2020-11-18,1124120.7982464998,10
2020-11-19,1117972.7982464998,10
2020-11-20,1126126.7982464998,10
2020-11-23,1133936.7982464998,10
2020-11-24,1161425.7982464998,10
2020-11-25,1138288.7982464998,10
2020-11-26,1158683.7982464998,10
2020-11-27,1193321.7982464998,10
2020-11-30,1199646.7982464998,10
2020-12-01,1191817.3062979998,10
2020-12-02,1189848.3062979998,10
2020-12-03,1186970.3062979998,10
2020-12-04,1188808.3062979998,10
2020-12-07,1194945.3062979998,10
2020-12-08,1189195.3062979998,10
2020-12-09,1198345.3062979998,10
2020-12-10,1198000.3062979998,10
2020-12-11,1200466.3062979998,10
2020-12-14,1194242.3062979998,10
2020-12-15,1178781.3062979998,10
2020-12-16,1198962.3062979998,10
2020-12-17,1206872.3062979998,10
2020-12-18,1226099.3062979998,10
2020-12-21,1222947.3062979998,10
2020-12-22,1200116.3062979998,10
2020-12-23,1193270.3062979998,10
2020-12-24,1205100.3062979998,10
2020-12-28,1214706.3062979998,10
2020-12-29,1236415.3062979998,10
2020-12-30,1244669.3062979998,10
2021-01-04,1247237.6116679998,10
2021-01-05,1257495.6116679998,10
2021-01-06,1262090.6116679998,10
2021-01-07,1266298.6116679998,10
2021-01-08,1249534.6116679998,10
2021-01-11,1220917.6116679998,10
2021-01-12,1243211.6116679998,10
2021-01-13,1249278.6116679998,10
2021-01-14,1249059.6116679998,10
2021-01-15,1245947.6116679998,10
2021-01-18,1225934.6116679998,10
2021-01-19,1268931.6116679998,10
2021-01-20,1281572.6116679998,10
2021-01-21,1294323.6116679998,10
2021-01-22,1300060.6116679998,10
2021-01-25,1306497.6116679998,10
2021-01-26,1287827.6116679998,10
2021-01-27,1286990.6116679998,10
2021-01-28,1258760.6116679998,10
2021-01-29,1226787.6116679998,10
2021-02-01,1234898.3780579998,10
2021-02-02,1254087.3780579998,10
2021-02-03,1302846.3780579998,10
2021-02-04,1294903.3780579998,10
2021-02-05,1300667.3780579998,10
2021-02-08,1298522.3780579998,10
2021-02-09,1311099.3780579998,10
2021-02-10,1303777.3780579998,10
2021-02-15,1311707.3780579998,10
2021-02-16,1332579.3780579998,10
2021-02-17,1330756.3780579998,10
2021-02-18,1327756.3780579998,10
2021-02-19,1350337.3780579998,10
2021-02-22,1343141.3780579998,10
2021-02-23,1338883.3780579998,10
2021-02-24,1276654.3780579998,10
2021-02-25,1298743.3780579998,10
2021-02-26,1262314.3780579998,10
2021-03-02,1302543.6548104996,10
2021-03-03,1319712.6548104996,10
2021-03-04,1312969.6548104996,10
2021-03-05,1305832.6548104996,10
2021-03-08,1292095.6548104996,10
2021-03-09,1284907.6548104996,10
2021-03-10,1291064.6548104996,10
2021-03-11,1296818.6548104996,10
2021-03-12,1323312.6548104996,10
2021-03-15,1357685.6548104996,10
2021-03-16,1358434.6548104996,10
2021-03-17,1371053.6548104996,10
2021-03-18,1379495.6548104996,10
2021-03-19,1368968.6548104996,10
2021-03-22,1366233.6548104996,10
2021-03-23,1354926.6548104996,10
2021-03-24,1357014.6548104996,10
2021-03-25,1340712.6548104996,10
2021-03-26,1351487.6548104996,10
2021-03-29,1341823.6548104996,10
2021-03-30,1353369.6548104996,10
2021-03-31,1364567.6548104996,10
2021-04-01,1352011.5589994998,10
2021-04-02,1343382.5589994998,10
2021-04-05,1353563.5589994998,10
2021-04-06,1366710.5589994998,10
2021-04-07,1384605.5589994998,10
2021-04-08,1395018.5589994998,10
2021-04-09,1394521.5589994998,10
2021-04-12,1402329.5589994998,10
2021-04-13,1394606.5589994998,10
2021-04-14,1384026.5589994998,10
2021-04-15,1388242.5589994998,10
2021-04-16,1409594.5589994998,10
2021-04-19,1415845.5589994998,10
2021-04-20,1429809.5589994998,10
2021-04-21,1416695.5589994998,10
2021-04-22,1420028.5589994998,10
2021-04-23,1446626.5589994998,10
2021-04-26,1448045.5589994998,10
2021-04-27,1446629.5589994998,10
2021-04-28,1415903.5589994998,10
2021-04-29,1422866.5589994998,10
2021-04-30,1417151.5589994998,10
2021-05-03,1392437.2590641996,10
2021-05-04,1399242.2590641996,10
2021-05-06,1424443.2590641996,10
2021-05-07,1438984.2590641996,10
2021-05-10,1463860.2590641996,10
2021-05-11,1468362.2590641996,10
2021-05-12,1451094.2590641996,10
2021-05-13,1441293.2590641996,10
2021-05-14,1461209.2590641996,10
2021-05-17,1451350.2590641996,10
2021-05-18,1459444.2590641996,10
2021-05-20,1445742.2590641996,10
2021-05-21,1435402.2590641996,10
2021-05-24,1418187.2590641996,10
2021-05-25,1443747.2590641996,10
2021-05-26,1479257.2590641996,10
2021-05-27,1484889.2590641996,10
2021-05-28,1504905.2590641996,10
2021-05-31,1568494.2590641996,10
2021-06-01,1580383.2590641996,10
2021-06-02,1595350.2590641996,10
2021-06-03,1641163.2590641996,10
2021-06-04,1721997.2590641996,10
2021-06-07,1845858.2590641996,10
2021-06-08,1760002.2590641996,10
2021-06-09,1707670.2590641996,10
2021-06-10,1701916.2590641996,10
2021-06-11,1700646.2590641996,10
2021-06-14,1695635.2590641996,10
2021-06-15,1720740.2590641996,10
