date,equity,n
2025-01-02,1011593.3670679999,10
2025-01-03,1017963.3670679999,10
2025-01-06,1028473.3670679999,10
2025-01-07,1033693.3670679999,10
2025-01-08,1036423.3670679999,10
2025-01-09,1037463.3670679999,10
2025-01-10,1050223.367068,10
2025-01-13,1037933.3670679999,10
2025-01-14,1061343.367068,10
2025-01-15,1056433.367068,10
2025-01-16,1051493.367068,10
2025-01-17,1057023.367068,10
2025-01-20,1053213.367068,10
2025-01-21,1056893.367068,10
2025-01-22,1055483.367068,10
2025-01-23,1032133.3670679999,10
2025-01-24,1033463.3670679999,10
2025-01-31,1026943.3670679999,10
2025-02-03,991111.4466209998,10
2025-02-04,1013471.4466209998,10
2025-02-05,1011921.4466209998,10
2025-02-06,1011481.4466209998,10
2025-02-07,1007351.4466209998,10
2025-02-10,1006041.4466209998,10
2025-02-11,1002431.4466209998,10
2025-02-12,989991.4466209998,10
2025-02-13,1010621.4466209998,10
2025-02-14,1000201.4466209998,10
2025-02-17,1022591.4466209998,10
2025-02-18,1029631.4466209998,10
2025-02-19,1048511.4466209998,10
2025-02-20,1035971.4466209998,10
2025-02-21,1048061.4466209998,10
2025-02-24,1045921.4466209998,10
2025-02-25,1053701.4466209998,10
2025-02-26,1081011.4466209998,10
2025-02-27,1065231.4466209998,10
2025-02-28,1033331.4466209998,10
2025-03-04,1025115.3485619999,10
2025-03-05,1049060.3485619999,10
2025-03-06,1039930.3485619999,10
2025-03-07,1034620.3485619999,10
2025-03-10,1028785.3485619999,10
2025-03-11,1013810.3485619999,10
2025-03-12,1022370.3485619999,10
2025-03-13,1021155.3485619999,10
2025-03-14,1020930.3485619999,10
2025-03-17,1031820.3485619999,10
2025-03-18,1044305.3485619999,10
2025-03-19,1041285.3485619999,10
2025-03-20,1028850.3485619999,10
2025-03-21,1029610.3485619999,10
2025-03-24,1044025.3485619999,10
2025-03-25,1029705.3485619999,10
2025-03-26,1038525.3485619999,10
2025-03-27,1018475.3485619999,10
2025-03-28,998400.3485619999,10
2025-03-31,972035.3485619999,10
2025-04-01,1010431.9880125998,10
2025-04-02,999437.9880125998,10
2025-04-03,998257.9880125998,10
2025-04-04,1000682.9880125998,10
2025-04-07,955783.9880125998,10
2025-04-08,966590.9880125998,10
2025-04-09,942466.9880125998,10
2025-04-10,1016205.9880125998,10
2025-04-11,1029982.9880125998,10
2025-04-14,1047088.9880125998,10
2025-04-15,1053790.9880125998,10
2025-04-16,1034257.9880125998,10
2025-04-17,1071021.9880125998,10
2025-04-18,1071497.9880125998,10
2025-04-21,1076709.9880125998,10
2025-04-22,1057989.9880125998,10
2025-04-23,1073603.9880125998,10
2025-04-24,1075717.9880125998,10
2025-04-25,1089925.9880125998,10
2025-04-28,1094474.9880125998,10
2025-04-29,1105576.9880125998,10
2025-04-30,1102506.9880125998,10
2025-05-02,1149382.4761215998,10
2025-05-07,1124793.4761215998,10
2025-05-08,1113094.4761215998,10
2025-05-09,1095114.4761215998,10
2025-05-12,1097461.4761215998,10
2025-05-13,1103029.4761215998,10
2025-05-14,1101435.4761215998,10
2025-05-15,1079040.4761215998,10
2025-05-16,1074684.4761215998,10
2025-05-19,1049337.4761215998,10
2025-05-20,1069268.4761215998,10
2025-05-21,1087701.4761215998,10
2025-05-22,1075453.4761215998,10
2025-05-23,1090913.4761215998,10
2025-05-26,1093582.4761215998,10
2025-05-27,1091502.4761215998,10
2025-05-28,1089750.4761215998,10
2025-05-29,1096801.4761215998,10
2025-05-30,1081726.4761215998,10
2025-06-02,1084350.8039075995,10
2025-06-04,1111981.8039075995,10
2025-06-05,1119803.8039075995,10
2025-06-09,1129873.8039075995,10
2025-06-10,1134461.8039075995,10
2025-06-11,1135139.8039075995,10
2025-06-12,1142095.8039075995,10
2025-06-13,1117682.8039075995,10
2025-06-16,1136735.8039075995,10
2025-06-17,1125745.8039075995,10
2025-06-18,1123450.8039075995,10
2025-06-19,1127181.8039075995,10
2025-06-20,1132134.8039075995,10
2025-06-23,1134837.8039075995,10
2025-06-24,1155575.8039075995,10
2025-06-25,1153506.8039075995,10
2025-06-26,1135174.8039075995,10
2025-06-27,1144226.8039075995,10
2025-06-30,1154735.8039075995,10
2025-07-01,1177385.0198555996,10
2025-07-02,1170049.0198555996,10
2025-07-03,1180803.0198555996,10
2025-07-04,1152389.0198555996,10
2025-07-07,1151034.0198555996,10
2025-07-08,1158450.0198555996,10
2025-07-09,1179765.0198555996,10
2025-07-10,1190418.0198555996,10
2025-07-11,1180276.0198555996,10
2025-07-14,1186512.0198555996,10
2025-07-15,1190250.0198555996,10
2025-07-16,1178594.0198555996,10
2025-07-17,1165361.0198555996,10
2025-07-18,1165117.0198555996,10
2025-07-21,1166715.0198555996,10
2025-07-22,1153261.0198555996,10
2025-07-23,1151753.0198555996,10
2025-07-24,1141127.0198555996,10
2025-07-25,1139912.0198555996,10
2025-07-28,1141647.0198555996,10
2025-07-29,1145946.0198555996,10
2025-07-30,1147792.0198555996,10
2025-07-31,1146744.0198555996,10
2025-08-01,1108743.4687565996,10
2025-08-04,1118070.4687565996,10
2025-08-05,1147825.4687565996,10
2025-08-06,1163047.4687565996,10
2025-08-07,1180574.4687565996,10
2025-08-08,1190081.4687565996,10
2025-08-11,1201650.4687565996,10
2025-08-12,1190056.4687565996,10
2025-08-13,1180589.4687565996,10
2025-08-14,1208635.4687565996,10
2025-08-18,1207507.4687565996,10
2025-08-19,1201981.4687565996,10
2025-08-20,1181440.4687565996,10
2025-08-21,1199624.4687565996,10
2025-08-22,1197439.4687565996,10
2025-08-25,1214535.4687565996,10
2025-08-26,1216066.4687565996,10
2025-08-27,1228744.4687565996,10
2025-08-28,1256597.4687565996,10
2025-08-29,1269719.4687565996,10
2025-09-01,1266967.3991661996,10
2025-09-02,1285937.3991661996,10
2025-09-03,1281896.3991661996,10
2025-09-04,1300988.3991661996,10
2025-09-05,1335625.3991661996,10
2025-09-08,1361574.3991661996,10
2025-09-09,1352489.3991661996,10
2025-09-10,1339197.3991661996,10
2025-09-11,1339809.3991661996,10
2025-09-12,1339856.3991661996,10
2025-09-15,1359466.3991661996,10
2025-09-16,1350180.3991661996,10
2025-09-17,1333570.3991661996,10
2025-09-18,1345254.3991661996,10
2025-09-19,1327589.3991661996,10
2025-09-22,1352700.3991661996,10
2025-09-23,1329611.3991661996,10
2025-09-24,1314305.3991661996,10
2025-09-25,1298954.3991661996,10
2025-09-26,1260607.3991661996,10
2025-09-29,1276750.3991661996,10
2025-09-30,1267044.3991661996,10
2025-10-01,1266884.9125461995,10
2025-10-02,1272954.9125461995,10
2025-10-10,1284688.9125461995,10
2025-10-13,1287003.9125461995,10
2025-10-14,1264787.9125461995,10
2025-10-15,1301529.9125461995,10
2025-10-16,1290558.9125461995,10
2025-10-17,1258219.9125461995,10
2025-10-20,1271706.9125461995,10
2025-10-21,1281138.9125461995,10
2025-10-22,1313496.9125461995,10
2025-10-23,1312626.9125461995,10
2025-10-24,1317433.9125461995,10
2025-10-27,1306191.9125461995,10
2025-10-28,1283706.9125461995,10
2025-10-29,1289556.9125461995,10
2025-10-30,1254401.9125461995,10
2025-10-31,1251793.9125461995,10
2025-11-03,1246833.6241861996,10
2025-11-04,1255932.6241861996,10
2025-11-05,1249359.6241861996,10
2025-11-06,1256246.6241861996,10
2025-11-07,1216460.6241861996,10
2025-11-10,1245237.6241861996,10
2025-11-11,1247217.6241861996,10
2025-11-12,1264695.6241861996,10
2025-11-13,1252006.6241861996,10
2025-11-14,1196742.6241861996,10
2025-11-17,1208313.6241861996,10
2025-11-18,1155416.6241861996,10
2025-11-19,1155861.6241861996,10
2025-11-20,1189422.6241861996,10
2025-11-21,1135102.6241861996,10
2025-11-24,1120843.6241861996,10
2025-11-25,1129563.6241861996,10
2025-11-26,1162571.6241861996,10
2025-11-27,1162552.6241861996,10
2025-11-28,1184212.6241861996,10
2025-12-01,1190170.1789161996,10
2025-12-02,1208681.1789161996,10
2025-12-03,1245168.1789161996,10
2025-12-04,1252532.1789161996,10
2025-12-05,1253894.1789161996,10
2025-12-08,1277375.1789161996,10
2025-12-09,1297680.1789161996,10
2025-12-10,1272037.1789161996,10
2025-12-11,1263099.1789161996,10
2025-12-12,1269642.1789161996,10
2025-12-15,1277456.1789161996,10
2025-12-16,1251185.1789161996,10
2025-12-17,1249215.1789161996,10
2025-12-18,1245894.1789161996,10
2025-12-19,1255693.1789161996,10
2025-12-22,1277938.1789161996,10
2025-12-23,1260078.1789161996,10
2025-12-24,1241353.1789161996,10
2025-12-26,1238053.1789161996,10
2025-12-29,1230576.1789161996,10
2025-12-30,1225113.1789161996,10
2026-01-02,1237140.3246581994,10
2026-01-05,1252531.3246581994,10
2026-01-06,1245575.3246581994,10
2026-01-07,1221804.3246581994,10
2026-01-08,1206017.3246581994,10
2026-01-09,1245301.3246581994,10
2026-01-12,1264419.3246581994,10
2026-01-13,1241467.3246581994,10
2026-01-14,1234962.3246581994,10
2026-01-15,1237575.3246581994,10
2026-01-16,1224873.3246581994,10
2026-01-19,1238962.3246581994,10
2026-01-20,1256508.3246581994,10
2026-01-21,1249202.3246581994,10
2026-01-22,1255960.3246581994,10
2026-01-23,1262922.3246581994,10
2026-01-26,1326927.3246581994,10
2026-01-27,1324870.3246581994,10
2026-01-28,1362826.3246581994,10
2026-01-29,1373969.3246581994,10
2026-01-30,1390837.3246581994,10
2026-02-02,1322360.1609430995,10
2026-02-03,1386796.1609430995,10
