date,equity,n
2020-02-03,1026962.0098374999,10
2020-02-04,1042990.0098374999,10
2020-02-05,1030027.0098374999,10
2020-02-06,1053870.0098374998,10
2020-02-07,1058580.0098374998,10
2020-02-10,1059003.0098374998,10
2020-02-11,1070983.0098374998,10
2020-02-12,1079002.0098374998,10
2020-02-13,1073009.0098374998,10
2020-02-14,1067697.0098374998,10
2020-02-17,1067393.0098374998,10
2020-02-18,1058210.0098374998,10
2020-02-19,1067097.0098374998,10
2020-02-20,1039818.0098374999,10
2020-02-21,1034046.0098374999,10
2020-02-24,1002386.0098374999,10
2020-02-25,1037240.0098374999,10
2020-02-26,1034527.0098374999,10
2020-02-27,995441.0098374999,10
2020-02-28,958840.0098374999,10
2020-03-02,981627.3191349999,10
2020-03-03,994221.3191349999,10
2020-03-04,1017995.3191349999,10
2020-03-05,1020468.3191349999,10
2020-03-06,998599.3191349999,10
2020-03-09,944515.3191349999,10
2020-03-10,951565.3191349999,10
2020-03-11,919133.3191349999,10
2020-03-12,872067.3191349999,10
2020-03-13,816441.3191349999,10
2020-03-16,788161.3191349999,10
2020-03-17,795907.3191349999,10
2020-03-18,770172.3191349999,10
2020-03-19,701109.3191349999,10
2020-03-20,741533.3191349999,10
2020-03-23,679471.3191349999,10
2020-03-24,753370.3191349999,10
2020-03-25,811111.3191349999,10
2020-03-26,837208.3191349999,10
2020-03-27,845142.3191349999,10
2020-03-30,863492.3191349999,10
2020-03-31,878582.3191349999,10
2020-04-01,846394.8663636998,10
2020-04-02,885154.8663636998,10
2020-04-03,886926.8663636998,10
2020-04-06,920366.8663636998,10
2020-04-07,965311.8663636998,10
2020-04-08,979277.8663636998,10
2020-04-09,998420.8663636998,10
2020-04-10,1003029.8663636998,10
2020-04-13,981615.8663636998,10
2020-04-14,1003739.8663636998,10
2020-04-16,1021391.8663636998,10
2020-04-17,1027907.8663636998,10
2020-04-20,1025673.8663636998,10
2020-04-21,1020087.8663636998,10
2020-04-22,1048136.8663636998,10
2020-04-23,1074842.8663636998,10
2020-04-24,1060347.8663636998,10
2020-04-27,1080172.8663636998,10
2020-04-28,1068076.8663636998,10
2020-04-29,1056148.8663636998,10
2020-05-04,1050126.3314789997,10
2020-05-06,1110244.3314789997,10
2020-05-07,1115289.3314789997,10
2020-05-08,1122781.3314789997,10
2020-05-11,1120837.3314789997,10
2020-05-12,1126566.3314789997,10
2020-05-13,1134833.3314789997,10
2020-05-14,1166756.3314789997,10
2020-05-15,1196400.3314789997,10
2020-05-18,1197920.3314789997,10
2020-05-19,1180913.3314789997,10
2020-05-20,1186948.3314789997,10
2020-05-21,1177393.3314789997,10
2020-05-22,1153448.3314789997,10
2020-05-25,1170898.3314789997,10
2020-05-26,1165048.3314789997,10
2020-05-27,1148371.3314789997,10
2020-05-28,1120296.3314789997,10
2020-05-29,1114197.3314789997,10
2020-06-01,1145983.3314789997,10
2020-06-02,1156769.3314789997,10
2020-06-03,1136805.3314789997,10
2020-06-04,1129508.3314789997,10
2020-06-05,1123655.3314789997,10
2020-06-08,1130907.3314789997,10
2020-06-09,1126926.3314789997,10
2020-06-10,1144372.3314789997,10
2020-06-11,1140519.3314789997,10
2020-06-12,1131331.3314789997,10
2020-06-15,1057201.3314789997,10
2020-06-16,1114870.3314789997,10
2020-06-17,1114842.3314789997,10
2020-06-18,1108629.3314789997,10
2020-06-19,1101102.3314789997,10
2020-06-22,1092412.3314789997,10
2020-06-23,1108386.3314789997,10
2020-06-24,1119554.3314789997,10
2020-06-25,1110680.3314789997,10
2020-06-26,1119976.3314789997,10
2020-06-29,1097286.3314789997,10
2020-06-30,1143563.3314789997,10
2020-07-01,1112512.1249089998,10
2020-07-02,1136505.1249089998,10
2020-07-03,1163296.1249089998,10
2020-07-06,1165506.1249089998,10
2020-07-07,1179668.1249089998,10
2020-07-08,1199411.1249089998,10
2020-07-09,1213018.1249089998,10
2020-07-10,1197161.1249089998,10
2020-07-13,1200778.1249089998,10
2020-07-14,1203752.1249089998,10
2020-07-15,1209382.1249089998,10
2020-07-16,1189660.1249089998,10
2020-07-17,1209831.1249089998,10
2020-07-20,1173259.1249089998,10
2020-07-21,1164709.1249089998,10
2020-07-22,1176785.1249089998,10
2020-07-23,1186759.1249089998,10
2020-07-24,1172271.1249089998,10
2020-07-27,1186246.1249089998,10
2020-07-28,1182580.1249089998,10
2020-07-29,1189377.1249089998,10
2020-07-30,1192795.1249089998,10
2020-07-31,1202660.1249089998,10
2020-08-03,1201275.8567429997,10
2020-08-04,1202632.8567429997,10
2020-08-05,1201201.8567429997,10
2020-08-06,1194202.8567429997,10
2020-08-07,1193596.8567429997,10
2020-08-10,1198617.8567429997,10
2020-08-11,1187844.8567429997,10
2020-08-12,1180949.8567429997,10
2020-08-13,1196074.8567429997,10
2020-08-14,1189976.8567429997,10
2020-08-18,1119211.8567429997,10
2020-08-19,1148755.8567429997,10
2020-08-20,1110726.8567429997,10
2020-08-21,1114013.8567429997,10
2020-08-24,1131683.8567429997,10
2020-08-25,1163688.8567429997,10
2020-08-26,1161759.8567429997,10
2020-08-27,1161951.8567429997,10
2020-08-28,1195249.8567429997,10
2020-08-31,1206135.8567429997,10
2020-09-01,1230109.8567429997,10
2020-09-02,1249623.8567429997,10
2020-09-03,1236649.8567429997,10
2020-09-04,1238562.8567429997,10
2020-09-07,1244627.8567429997,10
2020-09-08,1235024.8567429997,10
2020-09-09,1228517.8567429997,10
2020-09-10,1242092.8567429997,10
2020-09-11,1233305.8567429997,10
2020-09-14,1243777.8567429997,10
2020-09-15,1235396.8567429997,10
2020-09-16,1222762.8567429997,10
2020-09-17,1199971.8567429997,10
2020-09-18,1217546.8567429997,10
2020-09-21,1173482.8567429997,10
2020-09-22,1148939.8567429997,10
2020-09-23,1159522.8567429997,10
2020-09-24,1104070.8567429997,10
2020-09-25,1122314.8567429997,10
2020-09-28,1164254.8567429997,10
2020-09-29,1184480.8567429997,10
2020-10-05,1214429.0257516997,10
2020-10-06,1205415.0257516997,10
2020-10-07,1200717.0257516997,10
2020-10-08,1188527.0257516997,10
2020-10-12,1194745.0257516997,10
2020-10-13,1182613.0257516997,10
2020-10-14,1179156.0257516997,10
2020-10-15,1145036.0257516997,10
2020-10-16,1128931.0257516997,10
2020-10-19,1134010.0257516997,10
2020-10-20,1128778.0257516997,10
2020-10-21,1133251.0257516997,10
2020-10-22,1124359.0257516997,10
2020-10-23,1104075.0257516997,10
2020-10-26,1056733.0257516997,10
2020-10-27,1061432.0257516997,10
2020-10-28,1116261.0257516997,10
2020-10-29,1106709.0257516997,10
2020-10-30,1093797.0257516997,10
2020-11-02,1142022.0257516997,10
2020-11-03,1147843.0257516997,10
2020-11-04,1149374.0257516997,10
2020-11-05,1162199.0257516997,10
2020-11-06,1150525.0257516997,10
2020-11-09,1156568.0257516997,10
2020-11-10,1146713.0257516997,10
2020-11-11,1124474.0257516997,10
2020-11-12,1130727.0257516997,10
2020-11-13,1139062.0257516997,10
2020-11-16,1132343.0257516997,10
2020-11-17,1124028.0257516997,10
2020-11-18,1138807.0257516997,10
2020-11-19,1147324.0257516997,10
2020-11-20,1161660.0257516997,10
2020-11-23,1149658.0257516997,10
2020-11-24,1144527.0257516997,10
2020-11-25,1119917.0257516997,10
2020-11-26,1133193.0257516997,10
2020-11-27,1135561.0257516997,10
2020-11-30,1136910.0257516997,10
2020-12-01,1138080.8099245997,10
2020-12-02,1135088.8099245997,10
2020-12-03,1146030.8099245997,10
2020-12-04,1138216.8099245997,10
2020-12-07,1133793.8099245997,10
2020-12-08,1132934.8099245997,10
2020-12-09,1136861.8099245997,10
2020-12-10,1150526.8099245997,10
2020-12-11,1184388.8099245997,10
2020-12-14,1248994.8099245997,10
2020-12-15,1257982.8099245997,10
2020-12-16,1270733.8099245997,10
2020-12-17,1287837.8099245997,10
2020-12-18,1301664.8099245997,10
2020-12-21,1293675.8099245997,10
2020-12-22,1248931.8099245997,10
2020-12-23,1268231.8099245997,10
2020-12-24,1287877.8099245997,10
2020-12-28,1264660.8099245997,10
2020-12-29,1317938.8099245997,10
2020-12-30,1310169.8099245997,10
2021-01-04,1318383.8099245997,10
2021-01-05,1333044.8099245997,10
2021-01-06,1296420.8099245997,10
2021-01-07,1324508.8099245997,10
2021-01-08,1301725.8099245997,10
2021-01-11,1278999.8099245997,10
2021-01-12,1302726.8099245997,10
2021-01-13,1327888.8099245997,10
2021-01-14,1336699.8099245997,10
2021-01-15,1357999.8099245997,10
2021-01-18,1308829.8099245997,10
2021-01-19,1352017.8099245997,10
2021-01-20,1364398.8099245997,10
2021-01-21,1354956.8099245997,10
2021-01-22,1357439.8099245997,10
2021-01-25,1359030.8099245997,10
2021-01-26,1359122.8099245997,10
2021-01-27,1394191.8099245997,10
2021-01-28,1383382.8099245997,10
2021-01-29,1332698.8099245997,10
2021-02-01,1361348.8099245997,10
2021-02-02,1361832.8099245997,10
2021-02-03,1400410.8099245997,10
2021-02-04,1394298.8099245997,10
2021-02-05,1395611.8099245997,10
2021-02-08,1381686.8099245997,10
2021-02-09,1403322.8099245997,10
2021-02-10,1418656.8099245997,10
2021-02-15,1407359.8099245997,10
2021-02-16,1453471.8099245997,10
2021-02-17,1471093.8099245997,10
2021-02-18,1453861.8099245997,10
2021-02-19,1434120.8099245997,10
2021-02-22,1404425.8099245997,10
2021-02-23,1424416.8099245997,10
2021-02-24,1361810.8099245997,10
2021-02-25,1389161.8099245997,10
2021-02-26,1360242.8099245997,10
2021-03-02,1390986.8099245997,10
2021-03-03,1404876.8099245997,10
2021-03-04,1412985.8099245997,10
2021-03-05,1410121.8099245997,10
2021-03-08,1374113.8099245997,10
2021-03-09,1345566.8099245997,10
2021-03-10,1334784.8099245997,10
2021-03-11,1386798.8099245997,10
2021-03-12,1424213.8099245997,10
2021-03-15,1433447.8099245997,10
2021-03-16,1452409.8099245997,10
2021-03-17,1446082.8099245997,10
2021-03-18,1477295.8099245997,10
2021-03-19,1464678.8099245997,10
2021-03-22,1458403.8099245997,10
2021-03-23,1450069.8099245997,10
2021-03-24,1472749.8099245997,10
2021-03-25,1467751.8099245997,10
2021-03-26,1468514.8099245997,10
2021-03-29,1458728.8099245997,10
2021-03-30,1466069.8099245997,10
2021-03-31,1487952.8099245997,10
2021-04-01,1511022.8099245997,10
2021-04-02,1538778.8099245997,10
2021-04-05,1558261.8099245997,10
2021-04-06,1545362.8099245997,10
2021-04-07,1573285.8099245997,10
2021-04-08,1613535.8099245997,10
2021-04-09,1617108.8099245997,10
2021-04-12,1605678.8099245997,10
2021-04-13,1642047.8099245997,10
2021-04-14,1695024.8099245997,10
2021-04-15,1672784.8099245997,10
2021-04-16,1660648.8099245997,10
2021-04-19,1635910.8099245997,10
