date,equity,n
2025-01-02,1024157.9758479999,10
2025-01-03,1041877.9758479999,10
2025-01-06,1051267.9758479998,10
2025-01-07,1053277.9758479998,10
2025-01-08,1048487.9758479999,10
2025-01-09,1048467.9758479999,10
2025-01-10,1034797.9758479999,10
2025-01-13,1029607.9758479999,10
2025-01-14,1032147.9758479999,10
2025-01-15,1019577.9758479999,10
2025-01-16,1030397.9758479999,10
2025-01-17,1045667.9758479999,10
2025-01-20,1058687.9758479998,10
2025-01-21,1049007.9758479998,10
2025-01-22,1055977.9758479998,10
2025-01-23,1037097.9758479999,10
2025-01-24,1021567.9758479999,10
2025-01-31,1016627.9758479999,10
2025-02-03,996707.3747979999,10
2025-02-04,1030202.3747979999,10
2025-02-05,1042472.3747979999,10
2025-02-06,1048312.3747979999,10
2025-02-07,1027227.3747979999,10
2025-02-10,1033952.3747979999,10
2025-02-11,1043932.3747979999,10
2025-02-12,1032487.3747979999,10
2025-02-13,1046362.3747979999,10
2025-02-14,1043752.3747979999,10
2025-02-17,1047352.3747979999,10
2025-02-18,1051542.3747979999,10
2025-02-19,1063007.3747979999,10
2025-02-20,1073657.3747979999,10
2025-02-21,1073302.3747979999,10
2025-02-24,1075352.3747979999,10
2025-02-25,1069532.3747979999,10
2025-02-26,1060872.3747979999,10
2025-02-27,1071032.3747979999,10
2025-02-28,1045857.3747979999,10
2025-03-04,1017851.5508229999,10
2025-03-05,1048081.5508229999,10
2025-03-06,1050121.5508229998,10
2025-03-07,1030571.5508229999,10
2025-03-10,1021091.5508229999,10
2025-03-11,1005371.5508229999,10
2025-03-12,1017931.5508229999,10
2025-03-13,1015451.5508229999,10
2025-03-14,1033931.5508229999,10
2025-03-17,1048491.5508229999,10
2025-03-18,1055061.5508229998,10
2025-03-19,1032321.5508229999,10
2025-03-20,1014211.5508229999,10
2025-03-21,1015821.5508229999,10
2025-03-24,992151.5508229999,10
2025-03-25,978711.5508229999,10
2025-03-26,1007901.5508229999,10
2025-03-27,1029511.5508229999,10
2025-03-28,1011091.5508229999,10
2025-03-31,1009201.5508229999,10
2025-04-01,1031754.3167834998,10
2025-04-02,1015673.3167834998,10
2025-04-03,1004562.3167834998,10
2025-04-04,1006404.3167834998,10
2025-04-07,949510.3167834998,10
2025-04-08,954141.3167834998,10
2025-04-09,944669.3167834998,10
2025-04-10,986330.3167834998,10
2025-04-11,1013874.3167834998,10
2025-04-14,1039696.3167834998,10
2025-04-15,1050274.3167835,10
2025-04-16,1045616.3167834998,10
2025-04-17,1078642.3167835,10
2025-04-18,1080230.3167835,10
2025-04-21,1084328.3167835,10
2025-04-22,1071895.3167835,10
2025-04-23,1071498.3167835,10
2025-04-24,1079450.3167835,10
2025-04-25,1072429.3167835,10
2025-04-28,1057114.3167835,10
2025-04-29,1074627.3167835,10
2025-04-30,1064041.3167835,10
2025-05-02,1075284.1976525,10
2025-05-07,1080861.1976525,10
2025-05-08,1102617.1976525,10
2025-05-09,1102029.1976525,10
2025-05-12,1104699.1976525,10
2025-05-13,1121776.1976525,10
2025-05-14,1126879.1976525,10
2025-05-15,1144398.1976525,10
2025-05-16,1128142.1976525,10
2025-05-19,1114645.1976525,10
2025-05-20,1133436.1976525,10
2025-05-21,1136479.1976525,10
2025-05-22,1120340.1976525,10
2025-05-23,1141847.1976525,10
2025-05-26,1158625.1976525,10
2025-05-27,1168524.1976525,10
2025-05-28,1157258.1976525,10
2025-05-29,1172012.1976525,10
2025-05-30,1166822.1976525,10
2025-06-02,1191156.7682499997,10
2025-06-04,1209955.7682499997,10
2025-06-05,1201245.7682499997,10
2025-06-09,1239981.7682499997,10
2025-06-10,1250586.7682499997,10
2025-06-11,1287756.7682499997,10
2025-06-12,1267806.7682499997,10
2025-06-13,1245171.7682499997,10
2025-06-16,1304991.7682499997,10
2025-06-17,1352581.7682499997,10
2025-06-18,1392076.7682499997,10
2025-06-19,1408206.7682499997,10
2025-06-20,1475436.7682499997,10
