date,equity,n
2020-02-03,1013803.446483,10
2020-02-04,1025197.446483,10
2020-02-05,1020893.446483,10
2020-02-06,1041557.446483,10
2020-02-07,1034273.446483,10
2020-02-10,1028192.446483,10
2020-02-11,1037709.446483,10
2020-02-12,1048406.446483,10
2020-02-13,1046592.446483,10
2020-02-14,1050283.446483,10
2020-02-17,1057511.446483,10
2020-02-18,1042544.446483,10
2020-02-19,1042173.446483,10
2020-02-20,1036847.446483,10
2020-02-21,1012191.446483,10
2020-02-24,978935.446483,10
2020-02-25,995761.446483,10
2020-02-26,977168.446483,10
2020-02-27,957235.446483,10
2020-02-28,917586.446483,10
2020-03-02,939609.0609169999,10
2020-03-03,946690.0609169999,10
2020-03-04,962000.0609169999,10
2020-03-05,970190.0609169999,10
2020-03-06,953092.0609169999,10
2020-03-09,924440.0609169999,10
2020-03-10,932755.0609169999,10
2020-03-11,904204.0609169999,10
2020-03-12,860877.0609169999,10
2020-03-13,821506.0609169999,10
2020-03-16,804629.0609169999,10
2020-03-17,801070.0609169999,10
2020-03-18,763423.0609169999,10
2020-03-19,693704.0609169999,10
2020-03-20,759830.0609169999,10
2020-03-23,706370.0609169999,10
2020-03-24,755670.0609169999,10
2020-03-25,795129.0609169999,10
2020-03-26,792592.0609169999,10
2020-03-27,811093.0609169999,10
2020-03-30,830464.0609169999,10
2020-03-31,848528.0609169999,10
2020-04-01,830997.4486449998,10
2020-04-02,854350.4486449998,10
2020-04-03,859030.4486449998,10
2020-04-06,888983.4486449998,10
2020-04-07,906246.4486449998,10
2020-04-08,903286.4486449998,10
2020-04-09,916210.4486449998,10
2020-04-10,928976.4486449998,10
2020-04-13,909891.4486449998,10
2020-04-14,927434.4486449998,10
2020-04-16,933921.4486449998,10
2020-04-17,947723.4486449998,10
2020-04-20,950820.4486449998,10
2020-04-21,937718.4486449998,10
2020-04-22,935979.4486449998,10
2020-04-23,959886.4486449998,10
2020-04-24,950000.4486449998,10
2020-04-27,966794.4486449998,10
2020-04-28,980138.4486449998,10
2020-04-29,986918.4486449998,10
2020-05-04,976959.0122447999,10
2020-05-06,993678.0122447999,10
2020-05-07,1006272.0122447999,10
2020-05-08,1017402.0122447999,10
2020-05-11,1042155.0122447999,10
2020-05-12,1034774.0122447999,10
2020-05-13,1056415.0122447999,10
2020-05-14,1047251.0122447999,10
2020-05-15,1083020.0122447999,10
2020-05-18,1103869.0122447999,10
2020-05-19,1094742.0122447999,10
2020-05-20,1111875.0122447999,10
2020-05-21,1111577.0122447999,10
2020-05-22,1122452.0122447999,10
2020-05-25,1119122.0122447999,10
2020-05-26,1127746.0122447999,10
2020-05-27,1140233.0122447999,10
2020-05-28,1129707.0122447999,10
2020-05-29,1126096.0122447999,10
2020-06-01,1136037.7574599998,10
2020-06-02,1143071.7574599998,10
2020-06-03,1138488.7574599998,10
2020-06-04,1127136.7574599998,10
2020-06-05,1127562.7574599998,10
2020-06-08,1133256.7574599998,10
2020-06-09,1126078.7574599998,10
2020-06-10,1141002.7574599998,10
2020-06-11,1130724.7574599998,10
2020-06-12,1113371.7574599998,10
2020-06-15,1061809.7574599998,10
2020-06-16,1103772.7574599998,10
2020-06-17,1101796.7574599998,10
2020-06-18,1105621.7574599998,10
2020-06-19,1108420.7574599998,10
2020-06-22,1103295.7574599998,10
2020-06-23,1108594.7574599998,10
2020-06-24,1108776.7574599998,10
2020-06-25,1099836.7574599998,10
2020-06-26,1097356.7574599998,10
2020-06-29,1075865.7574599998,10
2020-06-30,1092187.7574599998,10
2020-07-01,1082744.3985787998,9
2020-07-02,1100949.3985787998,9
2020-07-03,1108228.3985787998,9
2020-07-06,1119749.3985787998,9
2020-07-07,1116633.3985787998,9
2020-07-08,1112794.3985787998,9
2020-07-09,1113223.3985787998,9
