date,equity,n
2025-01-02,998103.6388274999,10
2025-01-03,1019818.6388274999,10
2025-01-06,1029043.6388274999,10
2025-01-07,1027308.6388274999,10
2025-01-08,1029733.6388274999,10
2025-01-09,1021783.6388274999,10
2025-01-10,1017953.6388274999,10
2025-01-13,1014738.6388274999,10
2025-01-14,1016673.6388274999,10
2025-01-15,1018233.6388274999,10
2025-01-16,1022328.6388274999,10
2025-01-17,1037813.6388274999,10
2025-01-20,1044148.6388274999,10
2025-01-21,1042348.6388274999,10
2025-01-22,1039213.6388274999,10
2025-01-23,1024718.6388274999,10
2025-01-24,1033023.6388274999,10
2025-01-31,1024458.6388274999,10
2025-02-03,1008568.1251989999,10
2025-02-04,1011838.1251989999,10
2025-02-05,1016738.1251989999,10
2025-02-06,1028128.1251989999,10
2025-02-07,1017898.1251989999,10
2025-02-10,1021548.1251989999,10
2025-02-11,1048198.1251989999,10
2025-02-12,1034298.1251989999,10
2025-02-13,1037888.1251989999,10
2025-02-14,1036448.1251989999,10
2025-02-17,1052968.125199,10
2025-02-18,1051568.125199,10
2025-02-19,1059568.125199,10
2025-02-20,1064288.125199,10
2025-02-21,1076168.125199,10
2025-02-24,1080308.125199,10
2025-02-25,1084548.125199,10
2025-02-26,1084028.125199,10
2025-02-27,1090618.125199,10
2025-02-28,1079098.125199,10
2025-03-04,1062668.30741,10
2025-03-05,1076313.30741,10
2025-03-06,1075953.30741,10
2025-03-07,1076693.30741,10
2025-03-10,1069788.30741,10
2025-03-11,1050803.30741,10
2025-03-12,1053863.30741,10
2025-03-13,1042673.3074099998,10
2025-03-14,1051958.30741,10
2025-03-17,1057968.30741,10
2025-03-18,1048333.3074099998,10
2025-03-19,1059068.30741,10
2025-03-20,1065553.30741,10
2025-03-21,1077988.30741,10
2025-03-24,1071363.30741,10
2025-03-25,1059878.30741,10
2025-03-26,1060473.30741,10
2025-03-27,1058533.30741,10
2025-03-28,1051343.30741,10
2025-03-31,1031768.3074099998,10
2025-04-01,1040220.6088109997,10
2025-04-02,1035390.6088109997,10
2025-04-03,1037000.6088109997,10
2025-04-04,1031710.6088109997,10
2025-04-07,994060.6088109997,10
2025-04-08,998500.6088109997,10
2025-04-09,1018060.6088109997,10
2025-04-10,1054130.6088109997,10
2025-04-11,1064490.6088109997,10
2025-04-14,1075760.6088109997,10
2025-04-15,1094770.6088109997,10
2025-04-16,1081860.6088109997,10
2025-04-17,1087800.6088109997,10
2025-04-18,1087850.6088109997,10
2025-04-21,1088810.6088109997,10
2025-04-22,1085370.6088109997,10
2025-04-23,1093330.6088109997,10
2025-04-24,1094440.6088109997,10
2025-04-25,1086320.6088109997,10
2025-04-28,1080920.6088109997,10
2025-04-29,1085630.6088109997,10
2025-04-30,1088670.6088109997,10
2025-05-02,1089221.1279959995,10
2025-05-07,1091551.1279959995,10
2025-05-08,1090391.1279959995,10
2025-05-09,1095691.1279959995,10
2025-05-12,1118211.1279959995,10
2025-05-13,1126341.1279959995,10
2025-05-14,1134921.1279959995,10
2025-05-15,1137641.1279959995,10
2025-05-16,1127341.1279959995,10
2025-05-19,1114861.1279959995,10
2025-05-20,1122401.1279959995,10
2025-05-21,1131481.1279959995,10
2025-05-22,1127261.1279959995,10
2025-05-23,1124501.1279959995,10
2025-05-26,1129351.1279959995,10
2025-05-27,1128891.1279959995,10
2025-05-28,1128641.1279959995,10
2025-05-29,1135731.1279959995,10
2025-05-30,1133851.1279959995,10
2025-06-02,1141393.0585604995,10
2025-06-04,1160258.0585604995,10
2025-06-05,1177073.0585604995,10
2025-06-09,1206373.0585604995,10
2025-06-10,1208658.0585604995,10
2025-06-11,1227578.0585604995,10
2025-06-12,1230208.0585604995,10
2025-06-13,1216673.0585604995,10
2025-06-16,1235818.0585604995,10
2025-06-17,1240053.0585604995,10
2025-06-18,1253828.0585604995,10
2025-06-19,1248523.0585604995,10
2025-06-20,1280453.0585604995,10
2025-06-23,1263363.0585604995,10
2025-06-24,1277743.0585604995,10
2025-06-25,1265698.0585604995,10
2025-06-26,1243978.0585604995,10
2025-06-27,1256348.0585604995,10
2025-06-30,1268318.0585604995,10
2025-07-01,1277319.2387294995,10
2025-07-02,1273989.2387294995,10
2025-07-03,1303539.2387294995,10
2025-07-04,1280479.2387294995,10
2025-07-07,1285689.2387294995,10
2025-07-08,1305579.2387294995,10
2025-07-09,1326199.2387294995,10
2025-07-10,1325859.2387294995,10
2025-07-11,1328599.2387294995,10
2025-07-14,1352859.2387294995,10
2025-07-15,1341619.2387294995,10
2025-07-16,1340579.2387294995,10
2025-07-17,1337529.2387294995,10
2025-07-18,1319909.2387294995,10
2025-07-21,1311899.2387294995,10
2025-07-22,1312799.2387294995,10
2025-07-23,1311479.2387294995,10
2025-07-24,1299689.2387294995,10
2025-07-25,1296129.2387294995,10
2025-07-28,1265329.2387294995,10
2025-07-29,1283249.2387294995,10
2025-07-30,1290199.2387294995,10
2025-07-31,1303039.2387294995,10
2025-08-01,1266714.4914109996,10
2025-08-04,1281659.4914109996,10
2025-08-05,1286489.4914109996,10
2025-08-06,1295804.4914109996,10
2025-08-07,1301884.4914109996,10
2025-08-08,1293924.4914109996,10
2025-08-11,1287994.4914109996,10
2025-08-12,1287324.4914109996,10
2025-08-13,1281089.4914109996,10
2025-08-14,1275599.4914109996,10
2025-08-18,1235429.4914109996,10
2025-08-19,1221304.4914109996,10
2025-08-20,1213094.4914109996,10
2025-08-21,1213664.4914109996,10
2025-08-22,1217234.4914109996,10
2025-08-25,1218459.4914109996,10
2025-08-26,1215389.4914109996,10
2025-08-27,1213949.4914109996,10
2025-08-28,1226364.4914109996,10
2025-08-29,1234129.4914109996,10
2025-09-01,1224390.4833169994,10
2025-09-02,1214670.4833169994,10
2025-09-03,1214190.4833169994,10
2025-09-04,1226600.4833169994,10
2025-09-05,1225330.4833169994,10
2025-09-08,1230680.4833169994,10
2025-09-09,1236590.4833169994,10
2025-09-10,1234550.4833169994,10
2025-09-11,1234460.4833169994,10
2025-09-12,1242520.4833169994,10
2025-09-15,1258440.4833169994,10
2025-09-16,1262140.4833169994,10
2025-09-17,1256990.4833169994,10
2025-09-18,1258460.4833169994,10
2025-09-19,1244870.4833169994,10
2025-09-22,1272740.4833169994,10
2025-09-23,1271990.4833169994,10
2025-09-24,1261800.4833169994,10
2025-09-25,1264190.4833169994,10
