date,equity,n
2020-02-03,1010512.3536555999,10
2020-02-04,1034594.3536555999,10
2020-02-05,1029830.3536555999,10
2020-02-06,1056072.3536555998,10
2020-02-07,1050454.3536555998,10
2020-02-10,1044932.3536555999,10
2020-02-11,1056300.3536555998,10
2020-02-12,1063662.3536555998,10
2020-02-13,1056524.3536555998,10
2020-02-14,1066224.3536555998,10
2020-02-17,1095250.3536555998,10
2020-02-18,1061990.3536555998,10
2020-02-19,1055716.3536555998,10
2020-02-20,1038678.3536555999,10
2020-02-21,1013024.3536555999,10
2020-02-24,965164.3536555999,10
2020-02-25,993666.3536555999,10
2020-02-26,1009412.3536555999,10
2020-02-27,973008.3536555999,10
2020-02-28,927932.3536555999,10
2020-03-02,923176.2180723998,10
2020-03-03,932076.2180723998,10
2020-03-04,960950.2180723998,10
2020-03-05,1007910.2180723998,10
2020-03-06,968718.2180723998,10
2020-03-09,924935.2180723998,10
2020-03-10,935308.2180723998,10
2020-03-11,887845.2180723998,10
2020-03-12,826301.2180723998,10
2020-03-13,769436.2180723998,10
2020-03-16,735030.2180723998,10
2020-03-17,753602.2180723998,10
2020-03-18,719333.2180723998,10
2020-03-19,621162.2180723998,10
2020-03-20,627439.2180723998,10
2020-03-23,580508.2180723998,10
2020-03-24,615046.2180723998,10
2020-03-25,651994.2180723998,10
2020-03-26,683926.2180723998,10
2020-03-27,681482.2180723998,10
2020-03-30,702724.2180723998,10
2020-03-31,736398.2180723998,10
2020-04-01,732754.0034983999,10
2020-04-02,763940.0034983999,10
2020-04-03,762462.0034983999,10
2020-04-06,795778.0034983999,10
2020-04-07,825042.0034983999,10
2020-04-08,837678.0034983999,10
2020-04-09,853190.0034983999,10
2020-04-10,840044.0034983999,10
2020-04-13,837390.0034983999,10
2020-04-14,843360.0034983999,10
2020-04-16,848432.0034983999,10
2020-04-17,856288.0034983999,10
2020-04-20,867664.0034983999,10
2020-04-21,849150.0034983999,10
2020-04-22,843078.0034983999,10
2020-04-23,855432.0034983999,10
2020-04-24,847458.0034983999,10
2020-04-27,874920.0034983999,10
2020-04-28,872426.0034983999,10
2020-04-29,871408.0034983999,10
2020-05-04,854757.3375027997,10
2020-05-06,889407.3375027997,10
2020-05-07,903761.3375027997,10
2020-05-08,901714.3375027997,10
2020-05-11,896917.3375027997,10
2020-05-12,900121.3375027997,10
2020-05-13,910029.3375027997,10
2020-05-14,900980.3375027997,10
2020-05-15,896402.3375027997,10
2020-05-18,891096.3375027997,10
2020-05-19,892881.3375027997,10
2020-05-20,911399.3375027997,10
2020-05-21,914156.3375027997,10
2020-05-22,909173.3375027997,10
2020-05-25,914637.3375027997,10
2020-05-26,942350.3375027997,10
2020-05-27,933302.3375027997,10
2020-05-28,925245.3375027997,10
2020-05-29,921129.3375027997,10
2020-06-01,923125.3509572996,10
2020-06-02,916925.3509572996,10
2020-06-03,898741.3509572996,10
2020-06-04,894897.3509572996,10
2020-06-05,894450.3509572996,10
2020-06-08,889939.3509572996,10
2020-06-09,902565.3509572996,10
2020-06-10,906446.3509572996,10
2020-06-11,885894.3509572996,10
2020-06-12,863029.3509572996,10
2020-06-15,817509.3509572996,10
2020-06-16,840125.3509572996,10
2020-06-17,835017.3509572996,10
2020-06-18,840676.3509572996,10
2020-06-19,849284.3509572996,10
2020-06-22,853347.3509572996,10
2020-06-23,849217.3509572996,10
2020-06-24,851882.3509572996,10
2020-06-25,848820.3509572996,10
2020-06-26,857909.3509572996,10
2020-06-29,848493.3509572996,10
2020-06-30,855309.3509572996,10
2020-07-01,846087.7905867996,10
2020-07-02,847264.7905867996,10
2020-07-03,858770.7905867996,10
2020-07-06,876376.7905867996,10
2020-07-07,871336.7905867996,10
2020-07-08,872150.7905867996,10
2020-07-09,879121.7905867996,10
2020-07-10,874908.7905867996,10
2020-07-13,878071.7905867996,10
2020-07-14,884524.7905867996,10
2020-07-15,893070.7905867996,10
2020-07-16,879756.7905867996,10
2020-07-17,876757.7905867996,10
2020-07-20,868937.7905867996,10
2020-07-21,874408.7905867996,10
2020-07-22,877636.7905867996,10
2020-07-23,866829.7905867996,10
2020-07-24,846515.7905867996,10
2020-07-27,847882.7905867996,10
2020-07-28,843708.7905867996,10
2020-07-29,839058.7905867996,10
2020-07-30,844976.7905867996,10
2020-07-31,851411.7905867996,10
2020-08-03,850532.7905867996,10
2020-08-04,854069.7905867996,10
2020-08-05,858291.7905867996,10
2020-08-06,859934.7905867996,10
2020-08-07,856990.7905867996,10
2020-08-10,854461.7905867996,10
2020-08-11,861570.7905867996,10
2020-08-12,882932.7905867996,10
2020-08-13,878004.7905867996,10
2020-08-14,899416.7905867996,10
2020-08-18,853258.7905867996,10
2020-08-19,865616.7905867996,10
2020-08-20,856815.7905867996,10
2020-08-21,871666.7905867996,10
2020-08-24,886848.7905867996,10
2020-08-25,927959.7905867996,10
2020-08-26,948512.7905867996,10
2020-08-27,927373.7905867996,10
2020-08-28,939939.7905867996,10
2020-08-31,938031.7905867996,10
2020-09-01,955335.8254966997,10
2020-09-02,978731.8254966997,10
2020-09-03,968323.8254966997,10
2020-09-04,955858.8254966997,10
2020-09-07,973392.8254966997,10
2020-09-08,959522.8254966997,10
2020-09-09,974655.8254966997,10
2020-09-10,981208.8254966997,10
2020-09-11,983258.8254966997,10
2020-09-14,984585.8254966997,10
2020-09-15,1003776.8254966997,10
2020-09-16,1020701.8254966997,10
2020-09-17,1021687.8254966997,10
2020-09-18,1020853.8254966997,10
2020-09-21,1016222.8254966997,10
2020-09-22,983526.8254966997,10
2020-09-23,981862.8254966997,10
2020-09-24,938980.8254966997,10
2020-09-25,954659.8254966997,10
2020-09-28,973388.8254966997,10
2020-09-29,1006535.8254966997,10
2020-10-05,1017170.1880566996,10
2020-10-06,1027639.1880566996,10
2020-10-07,1027164.1880566996,10
2020-10-08,1028804.1880566996,10
2020-10-12,1036663.1880566996,10
2020-10-13,1037999.1880566996,10
2020-10-14,1031063.1880566996,10
2020-10-15,1025452.1880566996,10
2020-10-16,1007387.1880566996,10
2020-10-19,992005.1880566996,10
2020-10-20,982134.1880566996,10
2020-10-21,988210.1880566996,10
2020-10-22,1002497.1880566996,10
2020-10-23,999189.1880566996,10
2020-10-26,977890.1880566996,10
2020-10-27,979244.1880566996,10
2020-10-28,985067.1880566996,10
2020-10-29,976989.1880566996,10
2020-10-30,962647.1880566996,10
2020-11-02,992213.1880566996,10
2020-11-03,1006546.1880566996,10
2020-11-04,1006269.1880566996,10
2020-11-05,1029569.1880566996,10
2020-11-06,1022216.1880566996,10
2020-11-09,1038704.1880566996,10
2020-11-10,1036690.1880566996,10
2020-11-11,1048044.1880566996,10
2020-11-12,1072601.1880566997,10
2020-11-13,1079513.1880566997,10
2020-11-16,1082668.1880566997,10
2020-11-17,1053601.1880566997,10
2020-11-18,1066740.1880566997,10
2020-11-19,1071300.1880566997,10
2020-11-20,1077608.1880566997,10
2020-11-23,1070300.1880566997,10
2020-11-24,1066686.1880566997,10
2020-11-25,1042181.1880566996,10
2020-11-26,1046744.1880566996,10
2020-11-27,1048286.1880566996,10
2020-11-30,1047229.1880566996,10
2020-12-01,1065172.3726806995,10
2020-12-02,1069313.3726806995,10
2020-12-03,1063948.3726806995,10
2020-12-04,1070211.3726806995,10
2020-12-07,1069805.3726806995,10
2020-12-08,1069175.3726806995,10
2020-12-09,1058022.3726806995,10
2020-12-10,1058279.3726806995,10
2020-12-11,1066445.3726806995,10
2020-12-14,1046712.3726806996,10
2020-12-15,1032992.3726806996,10
2020-12-16,1038338.3726806996,10
2020-12-17,1044120.3726806996,10
2020-12-18,1041790.3726806996,10
2020-12-21,1026584.3726806996,10
2020-12-22,1011535.3726806996,10
2020-12-23,999419.3726806996,10
2020-12-24,1017540.3726806996,10
2020-12-28,989410.3726806996,10
2020-12-29,1061899.3726806995,10
2020-12-30,1083279.3726806995,10
2021-01-04,1096316.3726806995,10
2021-01-05,1088870.3726806995,10
2021-01-06,1093348.3726806995,10
2021-01-07,1127850.3726806995,10
2021-01-08,1165014.3726806995,10
2021-01-11,1148901.3726806995,10
2021-01-12,1138996.3726806995,10
2021-01-13,1171581.3726806995,10
2021-01-14,1171774.3726806995,10
2021-01-15,1203905.3726806995,10
2021-01-18,1176707.3726806995,10
2021-01-19,1202279.3726806995,10
2021-01-20,1209813.3726806995,10
2021-01-21,1218533.3726806995,10
2021-01-22,1281595.3726806995,10
2021-01-25,1281996.3726806995,10
2021-01-26,1260246.3726806995,10
2021-01-27,1258634.3726806995,10
2021-01-28,1218475.3726806995,10
2021-01-29,1165111.3726806995,10
2021-02-01,1177800.3726806995,10
2021-02-02,1224978.3726806995,10
2021-02-03,1240743.3726806995,10
2021-02-04,1228329.3726806995,10
2021-02-05,1209630.3726806995,10
2021-02-08,1193785.3726806995,10
2021-02-09,1168243.3726806995,10
2021-02-10,1170801.3726806995,10
