date,equity,n
2025-01-02,1002592.4446400999,10
2025-01-03,1014595.4446400999,10
2025-01-06,1032190.4446400999,10
2025-01-07,1049786.4446401,10
2025-01-08,1038276.4446400999,10
2025-01-09,1020807.4446400999,10
2025-01-10,1033307.4446400999,10
2025-01-13,1010033.4446400999,10
2025-01-14,1017176.4446400999,10
2025-01-15,1006146.4446400999,10
2025-01-16,1015552.4446400999,10
2025-01-17,1005506.4446400999,10
2025-01-20,1024790.4446400999,10
2025-01-21,1020023.4446400999,10
2025-01-22,1066423.4446401,10
2025-01-23,1044614.4446400999,10
2025-01-24,1085775.4446401,10
2025-01-31,1048250.4446400999,10
2025-02-03,1029678.2748187999,10
2025-02-04,1060567.2748188,10
2025-02-05,1083002.2748188,10
2025-02-06,1084231.2748188,10
2025-02-07,1125270.2748188,10
2025-02-10,1137762.2748188,10
2025-02-11,1124111.2748188,10
2025-02-12,1102730.2748188,10
2025-02-13,1117544.2748188,10
2025-02-14,1131173.2748188,10
2025-02-17,1134187.2748188,10
2025-02-18,1161181.2748188,10
2025-02-19,1157033.2748188,10
2025-02-20,1134679.2748188,10
2025-02-21,1128636.2748188,10
2025-02-24,1131589.2748188,10
2025-02-25,1123194.2748188,10
2025-02-26,1128509.2748188,10
2025-02-27,1114642.2748188,10
2025-02-28,1101404.2748188,10
2025-03-04,1090808.9356973998,10
2025-03-05,1107351.9356973998,10
2025-03-06,1086677.9356973998,10
2025-03-07,1093301.9356973998,10
2025-03-10,1089247.9356973998,10
2025-03-11,1090649.9356973998,10
2025-03-12,1077043.9356973998,10
2025-03-13,1064501.9356973998,10
2025-03-14,1075042.9356973998,10
2025-03-17,1071998.9356973998,10
2025-03-18,1076214.9356973998,10
2025-03-19,1058534.9356973998,10
2025-03-20,1040690.9356973999,10
2025-03-21,1036355.9356973999,10
2025-03-24,1045064.9356973999,10
2025-03-25,1032804.9356973999,10
2025-03-26,1032641.9356973999,10
2025-03-27,1026516.9356973999,10
2025-03-28,1011689.9356973999,10
2025-03-31,983196.9356973999,10
2025-04-01,1017577.3336076998,10
2025-04-02,1027213.3336076998,10
2025-04-03,1010249.3336076998,10
2025-04-04,1028454.3336076998,10
2025-04-07,1029291.3336076998,10
2025-04-08,1040077.3336076998,10
2025-04-09,1001541.3336076998,10
2025-04-10,1041992.3336076998,10
2025-04-11,1038509.3336076998,10
2025-04-14,1056914.3336076997,10
2025-04-15,1068149.3336076997,10
2025-04-16,1064834.3336076997,10
2025-04-17,1060156.3336076997,10
2025-04-18,1092290.3336076997,10
2025-04-21,1100285.3336076997,10
2025-04-22,1094573.3336076997,10
2025-04-23,1059738.3336076997,10
2025-04-24,1040934.3336076998,10
2025-04-25,1049271.3336076997,10
2025-04-28,1002614.3336076998,10
2025-04-29,1043629.3336076998,10
2025-04-30,1029675.3336076998,10
2025-05-02,1044777.3509927997,10
2025-05-07,1085002.3509927997,10
2025-05-08,1127702.3509927997,10
2025-05-09,1121697.3509927997,10
2025-05-12,1143502.3509927997,10
2025-05-13,1098732.3509927997,10
2025-05-14,1075352.3509927997,10
2025-05-15,1037137.3509927997,10
2025-05-16,1032857.3509927997,10
2025-05-19,967637.3509927997,10
2025-05-20,971647.3509927997,10
2025-05-21,972632.3509927997,10
2025-05-22,977957.3509927997,10
2025-05-23,1012447.3509927997,10
2025-05-26,983617.3509927997,10
2025-05-27,961182.3509927997,10
2025-05-28,971772.3509927997,10
2025-05-29,969632.3509927997,10
2025-05-30,964452.3509927997,10
2025-06-02,967473.1351978998,10
2025-06-04,957599.1351978998,10
2025-06-05,943243.1351978998,10
2025-06-09,939932.1351978998,10
2025-06-10,982566.1351978998,10
2025-06-11,983942.1351978998,10
2025-06-12,1021905.1351978998,10
2025-06-13,1012640.1351978998,10
2025-06-16,1018391.1351978998,10
2025-06-17,998186.1351978998,10
2025-06-18,1006676.1351978998,10
2025-06-19,995123.1351978998,10
2025-06-20,1002517.1351978998,10
2025-06-23,1007325.1351978998,10
2025-06-24,1024070.1351978998,10
2025-06-25,1031680.1351978998,10
2025-06-26,1041613.1351978998,10
2025-06-27,1028669.1351978998,10
2025-06-30,1057545.1351978998,10
2025-07-01,1044938.0213151997,10
2025-07-02,1072163.0213151998,10
2025-07-03,1063759.0213151998,10
2025-07-04,1074421.0213151998,10
2025-07-07,1039717.0213151997,10
2025-07-08,1041797.0213151997,10
2025-07-09,1046358.0213151997,10
2025-07-10,1045223.0213151997,10
2025-07-11,1066178.0213151998,10
2025-07-14,1084113.0213151998,10
2025-07-15,1071082.0213151998,10
2025-07-16,1098192.0213151998,10
2025-07-17,1070889.0213151998,10
2025-07-18,1064162.0213151998,10
2025-07-21,1051570.0213151998,10
2025-07-22,1060308.0213151998,10
2025-07-23,1050192.0213151998,10
2025-07-24,1046306.0213151997,10
2025-07-25,1043464.0213151997,10
2025-07-28,1031539.0213151997,10
2025-07-29,1044590.0213151997,10
2025-07-30,1034975.0213151997,10
2025-07-31,1029568.0213151997,10
2025-08-01,975958.8135093997,10
2025-08-04,1000537.8135093997,10
2025-08-05,992656.8135093997,10
2025-08-06,975991.8135093997,10
2025-08-07,953124.8135093997,10
2025-08-08,909548.8135093997,10
2025-08-11,906309.8135093997,10
2025-08-12,899541.8135093997,10
2025-08-13,903014.8135093997,10
2025-08-14,907959.8135093997,10
2025-08-18,875195.8135093997,10
2025-08-19,888058.8135093997,10
2025-08-20,900209.8135093997,10
2025-08-21,890313.8135093997,10
2025-08-22,884352.8135093997,10
2025-08-25,880564.8135093997,10
2025-08-26,892044.8135093997,10
2025-08-27,879079.8135093997,10
2025-08-28,898346.8135093997,10
2025-08-29,877516.8135093997,10
2025-09-01,859664.4610001997,10
2025-09-02,869483.4610001997,10
2025-09-03,886726.4610001997,10
2025-09-04,885610.4610001997,10
2025-09-05,905718.4610001997,10
2025-09-08,908214.4610001997,10
2025-09-09,899193.4610001997,10
2025-09-10,908894.4610001997,10
2025-09-11,888344.4610001997,10
2025-09-12,859844.4610001997,10
2025-09-15,883557.4610001997,10
2025-09-16,906370.4610001997,10
2025-09-17,919839.4610001997,10
2025-09-18,934229.4610001997,10
2025-09-19,936278.4610001997,10
2025-09-22,925582.4610001997,10
2025-09-23,911914.4610001997,10
2025-09-24,932424.4610001997,10
2025-09-25,923714.4610001997,10
2025-09-26,898851.4610001997,10
2025-09-29,904205.4610001997,10
2025-09-30,886464.4610001997,10
2025-10-01,873300.6152041997,10
2025-10-02,870728.6152041997,10
2025-10-10,869983.6152041997,10
2025-10-13,845504.6152041997,10
2025-10-14,882230.6152041997,10
2025-10-15,908873.6152041997,10
2025-10-16,915191.6152041997,10
2025-10-17,882282.6152041997,10
2025-10-20,891920.6152041997,10
2025-10-21,893938.6152041997,10
2025-10-22,883395.6152041997,10
2025-10-23,879086.6152041997,10
2025-10-24,867094.6152041997,10
2025-10-27,875032.6152041997,10
2025-10-28,870105.6152041997,10
2025-10-29,876760.6152041997,10
2025-10-30,888576.6152041997,10
2025-10-31,869572.6152041997,10
2025-11-03,860627.6152041997,10
2025-11-04,863644.6152041997,10
2025-11-05,837479.6152041997,10
2025-11-06,821724.6152041997,10
2025-11-07,825221.6152041997,10
2025-11-10,815074.6152041997,10
2025-11-11,785168.6152041997,10
2025-11-12,793692.6152041997,10
2025-11-13,807661.6152041997,10
2025-11-14,774282.6152041997,10
2025-11-17,768357.6152041997,10
2025-11-18,734055.6152041997,10
2025-11-19,707290.6152041997,10
2025-11-20,720235.6152041997,10
2025-11-21,686732.6152041997,10
2025-11-24,672958.6152041997,10
2025-11-25,684557.6152041997,10
2025-11-26,710361.6152041997,10
2025-11-27,731864.6152041997,10
2025-11-28,752568.6152041997,10
2025-12-01,736936.7835631997,10
2025-12-02,748836.7835631997,10
2025-12-03,770461.7835631997,10
2025-12-04,770036.7835631997,10
2025-12-05,754886.7835631997,10
2025-12-08,765876.7835631997,10
2025-12-09,768766.7835631997,10
2025-12-10,751286.7835631997,10
2025-12-11,747426.7835631997,10
2025-12-12,756556.7835631997,10
2025-12-15,729416.7835631997,10
2025-12-16,717796.7835631997,10
2025-12-17,699071.7835631997,10
2025-12-18,692571.7835631997,10
2025-12-19,701596.7835631997,10
2025-12-22,715161.7835631997,10
2025-12-23,710301.7835631997,10
