date,equity,n
2025-01-02,994240.8798579999,10
2025-01-03,1009572.8798579999,10
2025-01-06,1017796.8798579999,10
2025-01-07,1008284.8798579999,10
2025-01-08,1012002.8798579999,10
2025-01-09,1002712.8798579999,10
2025-01-10,1003140.8798579999,10
2025-01-13,992524.8798579999,10
2025-01-14,1002542.8798579999,10
2025-01-15,1003396.8798579999,10
2025-01-16,1000460.8798579999,10
2025-01-17,1002488.8798579999,10
2025-01-20,996594.8798579999,10
2025-01-21,996962.8798579999,10
2025-01-22,1006858.8798579999,10
2025-01-23,995840.8798579999,10
2025-01-24,998256.8798579999,10
2025-01-31,996196.8798579999,10
2025-02-03,983541.9041133998,10
2025-02-04,993841.9041133998,10
2025-02-05,996176.9041133998,10
2025-02-06,1001886.9041133998,10
2025-02-07,998351.9041133998,10
2025-02-10,1007146.9041133998,10
2025-02-11,1009716.9041133998,10
2025-02-12,1006586.9041133998,10
2025-02-13,1014476.9041133998,10
2025-02-14,1020376.9041133998,10
2025-02-17,1030656.9041133998,10
2025-02-18,1019901.9041133998,10
2025-02-19,1033521.9041133998,10
2025-02-20,1033941.9041133998,10
2025-02-21,1037271.9041133998,10
2025-02-24,1039286.9041133998,10
2025-02-25,1032166.9041133998,10
2025-02-26,1027701.9041133998,10
2025-02-27,1027606.9041133998,10
2025-02-28,1010151.9041133998,10
2025-03-04,996628.5679318999,10
2025-03-05,1008128.5679318999,10
2025-03-06,1005678.5679318999,10
2025-03-07,1007238.5679318999,10
2025-03-10,1009298.5679318999,10
2025-03-11,999138.5679318999,10
2025-03-12,1012548.5679318999,10
2025-03-13,1011328.5679318999,10
2025-03-14,1017468.5679318999,10
2025-03-17,1024278.5679318999,10
2025-03-18,1016788.5679318999,10
2025-03-19,1027068.5679318999,10
2025-03-20,1028838.5679318999,10
2025-03-21,1028868.5679318999,10
2025-03-24,1032428.5679318999,10
2025-03-25,1028518.5679318999,10
2025-03-26,1028508.5679318999,10
2025-03-27,1016638.5679318999,10
2025-03-28,1011658.5679318999,10
2025-03-31,982198.5679318999,10
2025-04-01,994620.0628379,10
2025-04-02,998430.0628379,10
2025-04-03,987840.0628379,10
2025-04-04,986130.0628379,10
2025-04-07,933710.0628379,10
2025-04-08,932800.0628379,10
2025-04-09,915630.0628379,10
2025-04-10,950310.0628379,10
2025-04-11,941260.0628379,10
2025-04-14,944810.0628379,10
2025-04-15,957330.0628379,10
2025-04-16,950490.0628379,10
2025-04-17,953430.0628379,10
2025-04-18,956770.0628379,10
2025-04-21,957010.0628379,10
2025-04-22,955410.0628379,10
2025-04-23,967830.0628379,10
2025-04-24,968470.0628379,10
2025-04-25,973220.0628379,10
2025-04-28,973270.0628379,10
2025-04-29,986760.0628379,10
2025-04-30,988370.0628379,10
2025-05-02,986329.5224778999,10
2025-05-07,987319.5224778999,10
2025-05-08,1001809.5224778999,10
2025-05-09,1007829.5224778999,10
2025-05-12,1018919.5224778999,10
2025-05-13,1024239.5224778999,10
2025-05-14,1023209.5224778999,10
2025-05-15,1002399.5224778999,10
2025-05-16,979789.5224778999,10
2025-05-19,975149.5224778999,10
2025-05-20,977589.5224778999,10
2025-05-21,979249.5224778999,10
2025-05-22,964679.5224778999,10
2025-05-23,960029.5224778999,10
2025-05-26,965579.5224778999,10
2025-05-27,957669.5224778999,10
2025-05-28,965629.5224778999,10
2025-05-29,976219.5224778999,10
2025-05-30,968949.5224778999,10
2025-06-02,965751.8986278999,10
2025-06-04,999931.8986278999,10
2025-06-05,1003721.8986278999,10
2025-06-09,1021501.8986278999,10
2025-06-10,1010381.8986278999,10
2025-06-11,1024351.8986278999,10
2025-06-12,1018891.8986278999,10
2025-06-13,998041.8986278999,10
2025-06-16,1007751.8986278999,10
2025-06-17,1011301.8986278999,10
2025-06-18,1013691.8986278999,10
2025-06-19,1022571.8986278999,10
2025-06-20,1029931.8986278999,10
2025-06-23,1007271.8986278999,10
