date,equity,n
2025-01-02,996650.4299524998,10
2025-01-03,1009260.4299524998,10
2025-01-06,1012875.4299524998,10
2025-01-07,1010595.4299524998,10
2025-01-08,1009870.4299524998,10
2025-01-09,1007525.4299524998,10
2025-01-10,1010930.4299524998,10
2025-01-13,998635.4299524998,10
2025-01-14,1001800.4299524998,10
2025-01-15,1004880.4299524998,10
2025-01-16,1008285.4299524998,10
2025-01-17,1011345.4299524998,10
2025-01-20,1002830.4299524998,10
2025-01-21,1012140.4299524998,10
2025-01-22,1015155.4299524998,10
2025-01-23,997340.4299524998,10
2025-01-24,1000500.4299524998,10
2025-01-31,997675.4299524998,10
2025-02-03,973194.8209468998,10
2025-02-04,975255.8209468998,10
2025-02-05,978677.8209468998,10
2025-02-06,1003255.8209468998,10
2025-02-07,1002049.8209468998,10
2025-02-10,999665.8209468998,10
2025-02-11,1001096.8209468998,10
2025-02-12,1013161.8209468998,10
2025-02-13,1030152.8209468998,10
2025-02-14,1035813.8209468998,10
2025-02-17,1055923.8209468997,10
2025-02-18,1070992.8209468997,10
2025-02-19,1062943.8209468997,10
2025-02-20,1056037.8209468997,10
2025-02-21,1057658.8209468997,10
2025-02-24,1058590.8209468997,10
2025-02-25,1065016.8209468997,10
2025-02-26,1068437.8209468997,10
2025-02-27,1063603.8209468997,10
2025-02-28,1043431.8209468998,10
2025-03-04,1035682.0839389998,10
2025-03-05,1056662.0839389998,10
2025-03-06,1062962.0839389998,10
2025-03-07,1051767.0839389998,10
2025-03-10,1049567.0839389998,10
2025-03-11,1037837.0839389998,10
2025-03-12,1038902.0839389998,10
2025-03-13,1038132.0839389998,10
2025-03-14,1044887.0839389998,10
2025-03-17,1060657.0839389998,10
2025-03-18,1057302.0839389998,10
2025-03-19,1059852.0839389998,10
2025-03-20,1059412.0839389998,10
2025-03-21,1062412.0839389998,10
2025-03-24,1059242.0839389998,10
2025-03-25,1054512.0839389998,10
2025-03-26,1053012.0839389998,10
2025-03-27,1048792.0839389998,10
2025-03-28,1045372.0839389998,10
2025-03-31,1032827.0839389998,10
2025-04-01,1054128.7063105,10
2025-04-02,1048348.7063104998,10
2025-04-03,1045028.7063104998,10
2025-04-04,1042358.7063104998,10
2025-04-07,994948.7063104998,10
2025-04-08,997068.7063104998,10
2025-04-09,979478.7063104998,10
2025-04-10,1022078.7063104998,10
2025-04-11,1026288.7063104998,10
2025-04-14,1037458.7063104998,10
2025-04-15,1054338.7063105,10
2025-04-16,1048738.7063105,10
2025-04-17,1060808.7063105,10
2025-04-18,1066958.7063105,10
2025-04-21,1077358.7063105,10
2025-04-22,1080538.7063105,10
2025-04-23,1087048.7063105,10
2025-04-24,1091818.7063105,10
2025-04-25,1092368.7063105,10
2025-04-28,1092588.7063105,10
2025-04-29,1102428.7063105,10
2025-04-30,1102188.7063105,10
2025-05-02,1094989.6943885998,10
2025-05-07,1104839.6943885998,10
2025-05-08,1117994.6943885998,10
2025-05-09,1118959.6943885998,10
2025-05-12,1131189.6943885998,10
2025-05-13,1143689.6943885998,10
2025-05-14,1146007.6943885998,10
2025-05-15,1156917.6943885998,10
