date,equity,n
2020-02-03,1017038.2368051999,10
2020-02-04,1022072.2368051999,10
2020-02-05,1018298.2368051999,10
2020-02-06,1026836.2368051999,10
2020-02-07,1023608.2368051999,10
2020-02-10,1018368.2368051999,10
2020-02-11,1040960.2368051999,10
2020-02-12,1041780.2368051999,10
2020-02-13,1033740.2368051999,10
2020-02-14,1031034.2368051999,10
2020-02-17,1015818.2368051999,10
2020-02-18,1014232.2368051999,10
2020-02-19,1011712.2368051999,10
2020-02-20,1009030.2368051999,10
2020-02-21,1004564.2368051999,10
2020-02-24,978242.2368051999,10
2020-02-25,988206.2368051999,10
2020-02-26,987946.2368051999,10
2020-02-27,985472.2368051999,10
2020-02-28,950502.2368051999,10
2020-03-02,967886.2368051999,10
2020-03-03,966296.2368051999,10
2020-03-04,973242.2368051999,10
2020-03-05,982498.2368051999,10
2020-03-06,969320.2368051999,10
2020-03-09,943124.2368051999,10
2020-03-10,943692.2368051999,10
2020-03-11,911746.2368051999,10
2020-03-12,879520.2368051999,10
2020-03-13,834758.2368051999,10
2020-03-16,814728.2368051999,10
2020-03-17,803626.2368051999,10
2020-03-18,779478.2368051999,10
2020-03-19,725128.2368051999,10
2020-03-20,771526.2368051999,10
2020-03-23,723472.2368051999,10
2020-03-24,761760.2368051999,10
2020-03-25,808992.2368051999,10
2020-03-26,819008.2368051999,10
2020-03-27,829738.2368051999,10
2020-03-30,838148.2368051999,10
2020-03-31,856354.2368051999,10
2020-04-01,856419.6701402,10
2020-04-02,865539.6701402,10
2020-04-03,856063.6701402,10
2020-04-06,888691.6701402,10
2020-04-07,906313.6701402,10
2020-04-08,904245.6701402,10
2020-04-09,919123.6701402,10
2020-04-10,915649.6701402,10
2020-04-13,902191.6701402,10
2020-04-14,922701.6701402,10
2020-04-16,921141.6701402,10
2020-04-17,939365.6701402,10
2020-04-20,934209.6701402,10
2020-04-21,918559.6701402,10
2020-04-22,919317.6701402,10
2020-04-23,932567.6701402,10
2020-04-24,921383.6701402,10
2020-04-27,943465.6701402,10
2020-04-28,946169.6701402,10
2020-04-29,951687.6701402,10
2020-05-04,945970.1561273998,10
2020-05-06,961390.1561273998,10
2020-05-07,972980.1561273998,10
2020-05-08,992210.1561273998,10
2020-05-11,993090.1561273998,10
2020-05-12,984310.1561273998,10
2020-05-13,996220.1561273998,10
2020-05-14,991250.1561273998,10
2020-05-15,1030850.1561273998,10
2020-05-18,1062180.1561273998,10
2020-05-19,1049050.1561273998,10
2020-05-20,1059430.1561273998,10
2020-05-21,1065860.1561273998,10
2020-05-22,1063390.1561273998,10
2020-05-25,1067230.1561273998,10
2020-05-26,1083650.1561273998,10
2020-05-27,1095490.1561273998,10
2020-05-28,1102730.1561273998,10
2020-05-29,1121070.1561273998,10
2020-06-01,1133283.1868799997,10
2020-06-02,1155363.1868799997,10
