date,equity,n
2025-01-02,991604.2746977999,10
2025-01-03,1003126.2746977999,10
2025-01-06,1007605.2746977999,10
2025-01-07,1003617.2746977999,10
2025-01-08,1007277.2746977999,10
2025-01-09,1007386.2746977999,10
2025-01-10,1008989.2746977999,10
2025-01-13,997775.2746977999,10
2025-01-14,1010357.2746977999,10
2025-01-15,1007379.2746977999,10
2025-01-16,1010138.2746977999,10
2025-01-17,1008386.2746977999,10
2025-01-20,1001921.2746977999,10
2025-01-21,1009210.2746977999,10
2025-01-22,1005075.2746977999,10
2025-01-23,991817.2746977999,10
2025-01-24,995147.2746977999,10
2025-01-31,1003018.2746977999,10
2025-02-03,968432.5378569998,10
2025-02-04,979749.5378569998,10
2025-02-05,981582.5378569998,10
2025-02-06,987827.5378569998,10
2025-02-07,984980.5378569998,10
2025-02-10,975683.5378569998,10
2025-02-11,969605.5378569998,10
2025-02-12,960968.5378569998,10
2025-02-13,977483.5378569998,10
2025-02-14,977875.5378569998,10
2025-02-17,977930.5378569998,10
2025-02-18,981165.5378569998,10
2025-02-19,991961.5378569998,10
2025-02-20,992290.5378569998,10
2025-02-21,1012553.5378569998,10
2025-02-24,1011342.5378569998,10
2025-02-25,1005523.5378569998,10
2025-02-26,1019620.5378569998,10
2025-02-27,1008773.5378569998,10
2025-02-28,983986.5378569998,10
2025-03-04,981595.5750563997,10
2025-03-05,996292.5750563997,10
2025-03-06,997257.5750563997,10
2025-03-07,990246.5750563997,10
2025-03-10,991812.5750563997,10
2025-03-11,982103.5750563997,10
2025-03-12,981952.5750563997,10
2025-03-13,990757.5750563997,10
2025-03-14,1000847.5750563997,10
2025-03-17,1002201.5750563997,10
2025-03-18,998242.5750563997,10
2025-03-19,1009667.5750563997,10
2025-03-20,1009163.5750563997,10
2025-03-21,1007947.5750563997,10
2025-03-24,1021901.5750563997,10
2025-03-25,1028174.5750563997,10
2025-03-26,1024196.5750563997,10
2025-03-27,1010203.5750563997,10
2025-03-28,988969.5750563997,10
2025-03-31,969174.5750563997,10
2025-04-01,988111.0574709995,10
2025-04-02,984001.0574709995,10
2025-04-03,975101.0574709995,10
2025-04-04,964971.0574709995,10
2025-04-07,926781.0574709995,10
