date,equity,n
2020-02-03,1022780.4174482,10
2020-02-04,1033344.4174482,10
2020-02-05,1027860.4174482,10
2020-02-06,1033348.4174482,10
2020-02-07,1034220.4174482,10
2020-02-10,1031330.4174482,10
2020-02-11,1057342.4174482,10
2020-02-12,1065322.4174482,10
2020-02-13,1061022.4174482,10
2020-02-14,1065006.4174482,10
2020-02-17,1048040.4174482,10
2020-02-18,1044474.4174482,10
2020-02-19,1036474.4174482,10
2020-02-20,1034022.4174482,10
2020-02-21,1030556.4174482,10
2020-02-24,992344.4174482,10
2020-02-25,1011378.4174482,10
2020-02-26,1013098.4174482,10
2020-02-27,1004454.4174482,10
2020-02-28,961724.4174482,10
2020-03-02,983604.9078282,10
2020-03-03,981994.9078282,10
2020-03-04,994250.9078282,10
2020-03-05,1016306.9078282,10
2020-03-06,1000848.9078282,10
2020-03-09,975032.9078282,10
2020-03-10,980950.9078282,10
2020-03-11,947554.9078282,10
2020-03-12,914978.9078282,10
2020-03-13,875526.9078282,10
2020-03-16,858416.9078282,10
2020-03-17,863314.9078282,10
2020-03-18,827101.9078282,10
2020-03-19,778901.9078282,10
2020-03-20,831334.9078282,10
2020-03-23,784015.9078282,10
2020-03-24,828478.9078282,10
2020-03-25,869310.9078282,10
2020-03-26,870966.9078282,10
2020-03-27,881056.9078282,10
2020-03-30,905056.9078282,10
2020-03-31,929132.9078282,10
2020-04-01,922694.0660482,10
2020-04-02,932704.0660482,10
2020-04-03,919958.0660482,10
2020-04-06,952116.0660482,10
2020-04-07,968378.0660482,10
2020-04-08,966840.0660482,10
2020-04-09,979578.0660482,10
2020-04-10,977844.0660482,10
2020-04-13,957306.0660482,10
2020-04-14,979976.0660482,10
2020-04-16,995426.0660482,10
2020-04-17,1012100.0660482,10
2020-04-20,1005794.0660482,10
2020-04-21,988234.0660482,10
2020-04-22,991682.0660482,10
2020-04-23,1003432.0660482,10
2020-04-24,987818.0660482,10
2020-04-27,1010100.0660482,10
2020-04-28,1009154.0660482,10
2020-04-29,1014692.0660482,10
2020-05-04,997102.4736714,10
2020-05-06,1011689.4736714,10
2020-05-07,1033373.4736714,10
2020-05-08,1055861.4736714,10
2020-05-11,1049458.4736714,10
2020-05-12,1053359.4736714,10
2020-05-13,1053980.4736714,10
2020-05-14,1046486.4736714,10
2020-05-15,1083377.4736714,10
