date,equity,n
2025-01-02,992005.36625,10
2025-01-03,1006680.36625,10
2025-01-06,1018450.36625,10
2025-01-07,1013260.36625,10
2025-01-08,1017350.36625,10
2025-01-09,1012925.36625,10
2025-01-10,1012835.36625,10
2025-01-13,1010505.36625,10
2025-01-14,1014250.36625,10
2025-01-15,1017275.36625,10
2025-01-16,1026355.36625,10
2025-01-17,1028585.36625,10
2025-01-20,1023100.36625,10
2025-01-21,1028565.36625,10
2025-01-22,1031315.36625,10
2025-01-23,1017120.36625,10
2025-01-24,1016485.36625,10
2025-01-31,1012530.36625,10
2025-02-03,995562.8808779999,10
2025-02-04,1003972.8808779999,10
2025-02-05,1010707.8808779999,10
2025-02-06,1015197.8808779999,10
2025-02-07,1010132.8808779999,10
2025-02-10,1021537.8808779999,10
2025-02-11,1023017.8808779999,10
2025-02-12,1018402.8808779999,10
2025-02-13,1030447.8808779999,10
2025-02-14,1040397.8808779999,10
2025-02-17,1047747.8808779999,10
2025-02-18,1036112.8808779999,10
2025-02-19,1047212.8808779999,10
2025-02-20,1048392.8808779999,10
2025-02-21,1050642.8808779998,10
2025-02-24,1054257.8808779998,10
2025-02-25,1048812.8808779998,10
2025-02-26,1046607.8808779999,10
2025-02-27,1044992.8808779999,10
2025-02-28,1030242.8808779999,10
2025-03-04,1015101.1323264999,10
2025-03-05,1026031.1323264999,10
2025-03-06,1023021.1323264999,10
2025-03-07,1021861.1323264999,10
2025-03-10,1030386.1323264999,10
2025-03-11,1010406.1323264999,10
2025-03-12,1019426.1323264999,10
2025-03-13,1019581.1323264999,10
2025-03-14,1030666.1323264999,10
2025-03-17,1030801.1323264999,10
2025-03-18,1027261.1323264999,10
2025-03-19,1036026.1323264999,10
2025-03-20,1035676.1323264999,10
2025-03-21,1034911.1323264999,10
2025-03-24,1040586.1323264999,10
2025-03-25,1037896.1323264999,10
2025-03-26,1040981.1323264999,10
2025-03-27,1029101.1323264999,10
2025-03-28,1029686.1323264999,10
2025-03-31,1005266.1323264999,10
2025-04-01,1005040.0399544998,10
2025-04-02,1012490.0399544998,10
2025-04-03,1001990.0399544998,10
2025-04-04,1004470.0399544998,10
2025-04-07,964690.0399544998,10
2025-04-08,970040.0399544998,10
2025-04-09,951870.0399544998,10
2025-04-10,986800.0399544998,10
2025-04-11,982160.0399544998,10
2025-04-14,996960.0399544998,10
2025-04-15,1006580.0399544998,10
2025-04-16,1009510.0399544998,10
2025-04-17,1015950.0399544998,10
2025-04-18,1020010.0399544998,10
2025-04-21,1030840.0399544998,10
2025-04-22,1026190.0399544998,10
2025-04-23,1027700.0399544998,10
2025-04-24,1028510.0399544998,10
2025-04-25,1027400.0399544998,10
2025-04-28,1023700.0399544998,10
2025-04-29,1039310.0399544998,10
2025-04-30,1033980.0399544998,10
2025-05-02,1028956.0951604999,10
2025-05-07,1028866.0951604999,10
2025-05-08,1033856.0951604999,10
2025-05-09,1034116.0951604999,10
2025-05-12,1054246.0951605,10
2025-05-13,1057636.0951605,10
2025-05-14,1062076.0951605,10
2025-05-15,1044806.0951604999,10
2025-05-16,1039106.0951604999,10
2025-05-19,1028886.0951604999,10
2025-05-20,1030716.0951604999,10
2025-05-21,1028956.0951604999,10
2025-05-22,1010116.0951604999,10
2025-05-23,1013936.0951604999,10
2025-05-26,1018896.0951604999,10
2025-05-27,1019166.0951604999,10
2025-05-28,1027766.0951604999,10
2025-05-29,1038046.0951604999,10
2025-05-30,1027176.0951604999,10
2025-06-02,1024007.3203024998,10
2025-06-04,1067877.3203025,10
2025-06-05,1086047.3203025,10
2025-06-09,1120117.3203025,10
2025-06-10,1108417.3203025,10
2025-06-11,1119277.3203025,10
2025-06-12,1118827.3203025,10
2025-06-13,1091177.3203025,10
2025-06-16,1106197.3203025,10
2025-06-17,1105247.3203025,10
2025-06-18,1111097.3203025,10
2025-06-19,1114107.3203025,10
2025-06-20,1124437.3203025,10
2025-06-23,1116377.3203025,10
2025-06-24,1132017.3203025,10
2025-06-25,1133547.3203025,10
2025-06-26,1120657.3203025,10
2025-06-27,1118617.3203025,10
2025-06-30,1130117.3203025,10
2025-07-01,1144270.4259574998,10
2025-07-02,1141002.4259574998,10
2025-07-03,1153886.4259574998,10
2025-07-04,1144525.4259574998,10
2025-07-07,1141331.4259574998,10
2025-07-08,1145361.4259574998,10
2025-07-09,1157760.4259574998,10
2025-07-10,1163385.4259574998,10
2025-07-11,1166034.4259574998,10
2025-07-14,1171689.4259574998,10
2025-07-15,1169156.4259574998,10
2025-07-16,1163555.4259574998,10
2025-07-17,1165104.4259574998,10
2025-07-18,1156104.4259574998,10
2025-07-21,1163890.4259574998,10
2025-07-22,1148037.4259574998,10
2025-07-23,1165736.4259574998,10
2025-07-24,1165520.4259574998,10
2025-07-25,1164815.4259574998,10
2025-07-28,1159846.4259574998,10
2025-07-29,1156523.4259574998,10
2025-07-30,1167244.4259574998,10
2025-07-31,1157920.4259574998,10
2025-08-01,1124278.1553784998,10
2025-08-04,1137585.1553784998,10
2025-08-05,1141955.1553784998,10
2025-08-06,1151693.1553784998,10
2025-08-07,1157588.1553784998,10
2025-08-08,1160246.1553784998,10
2025-08-11,1155309.1553784998,10
2025-08-12,1155880.1553784998,10
2025-08-13,1158640.1553784998,10
2025-08-14,1151584.1553784998,10
2025-08-18,1141133.1553784998,10
2025-08-19,1142447.1553784998,10
2025-08-20,1139325.1553784998,10
2025-08-21,1148485.1553784998,10
2025-08-22,1149902.1553784998,10
2025-08-25,1158557.1553784998,10
2025-08-26,1153103.1553784998,10
2025-08-27,1153313.1553784998,10
2025-08-28,1153686.1553784998,10
2025-08-29,1150163.1553784998,10
2025-09-01,1127178.3780114998,10
2025-09-02,1132508.3780114998,10
2025-09-03,1132268.3780114998,10
2025-09-04,1140968.3780114998,10
2025-09-05,1147648.3780114998,10
2025-09-08,1150578.3780114998,10
2025-09-09,1158468.3780114998,10
2025-09-10,1163818.3780114998,10
2025-09-11,1169248.3780114998,10
2025-09-12,1170078.3780114998,10
2025-09-15,1184838.3780114998,10
2025-09-16,1182758.3780114998,10
2025-09-17,1181348.3780114998,10
2025-09-18,1189268.3780114998,10
2025-09-19,1193108.3780114998,10
2025-09-22,1200748.3780114998,10
2025-09-23,1190098.3780114998,10
2025-09-24,1190508.3780114998,10
2025-09-25,1181068.3780114998,10
2025-09-26,1155458.3780114998,10
2025-09-29,1168968.3780114998,10
2025-09-30,1164318.3780114998,10
2025-10-01,1165496.0060934997,10
2025-10-02,1175066.0060934997,10
2025-10-10,1164016.0060934997,10
2025-10-13,1161286.0060934997,10
2025-10-14,1161316.0060934997,10
2025-10-15,1177466.0060934997,10
2025-10-16,1180646.0060934997,10
2025-10-17,1171146.0060934997,10
2025-10-20,1182586.0060934997,10
2025-10-21,1172776.0060934997,10
2025-10-22,1185166.0060934997,10
2025-10-23,1169396.0060934997,10
2025-10-24,1166586.0060934997,10
2025-10-27,1167206.0060934997,10
2025-10-28,1168356.0060934997,10
2025-10-29,1159796.0060934997,10
2025-10-30,1158516.0060934997,10
2025-10-31,1155096.0060934997,10
2025-11-03,1151015.2345854996,10
2025-11-04,1159865.2345854996,10
2025-11-05,1141355.2345854996,10
2025-11-06,1164325.2345854996,10
2025-11-07,1161505.2345854996,10
2025-11-10,1188265.2345854996,10
2025-11-11,1192105.2345854996,10
2025-11-12,1213615.2345854996,10
2025-11-13,1208965.2345854996,10
2025-11-14,1196505.2345854996,10
2025-11-17,1204245.2345854996,10
2025-11-18,1181825.2345854996,10
2025-11-19,1190965.2345854996,10
2025-11-20,1206605.2345854996,10
2025-11-21,1198485.2345854996,10
2025-11-24,1185685.2345854996,10
2025-11-25,1180735.2345854996,10
2025-11-26,1189715.2345854996,10
2025-11-27,1190755.2345854996,10
2025-11-28,1195325.2345854996,10
2025-12-01,1198322.7022284996,10
2025-12-02,1207982.7022284996,10
2025-12-03,1221642.7022284996,10
2025-12-04,1214462.7022284996,10
2025-12-05,1219442.7022284996,10
2025-12-08,1213272.7022284996,10
2025-12-09,1209662.7022284996,10
2025-12-10,1203172.7022284996,10
2025-12-11,1221582.7022284996,10
2025-12-12,1229552.7022284996,10
2025-12-15,1222752.7022284996,10
2025-12-16,1214862.7022284996,10
2025-12-17,1220622.7022284996,10
2025-12-18,1208932.7022284996,10
2025-12-19,1215982.7022284996,10
2025-12-22,1223712.7022284996,10
2025-12-23,1216222.7022284996,10
2025-12-24,1212292.7022284996,10
2025-12-26,1205822.7022284996,10
2025-12-29,1192152.7022284996,10
2025-12-30,1190312.7022284996,10
2026-01-02,1201699.8609054997,10
2026-01-05,1199289.8609054997,10
