공식,구간,개월,평균 IC,IC t(NW3),p,IC>0 달%,10분위 스프레드(월%),홀름 p,t>3
BASE,선택 2020-01~2024-11 판단,56,0.1224,9.61,0.0,88.0,2.64,0.0,True
BASE,표본외 2024-12~2026-07 판단,20,0.1307,4.81,1.5433568554268362e-06,75.0,3.37,7.716784277134181e-06,True
GPA,선택 2020-01~2024-11 판단,59,0.0308,3.17,0.0015113618283351116,73.0,0.5,0.0015113618283351116,True
GPA,표본외 2024-12~2026-07 판단,20,0.0331,1.6,0.10922210266207033,70.0,0.29,0.10922210266207033,False
FSCORE,선택 2020-01~2024-11 판단,59,0.0604,7.49,6.727951529228449e-14,90.0,0.89,4.036770917537069e-13,True
FSCORE,표본외 2024-12~2026-07 판단,20,0.0768,4.87,1.0883627501456772e-06,80.0,1.76,6.530176500874063e-06,True
NSI,선택 2020-01~2024-11 판단,59,0.0391,5.34,9.356895969148127e-08,80.0,0.05,2.807068790744438e-07,True
NSI,표본외 2024-12~2026-07 판단,20,0.0514,4.24,2.219609714537718e-05,75.0,0.71,8.878438858150872e-05,True
ACC,선택 2020-01~2024-11 판단,59,-0.0198,-3.52,0.00043121884645835884,29.0,-0.67,0.0008624376929167177,True
ACC,표본외 2024-12~2026-07 판단,20,-0.0239,-3.77,0.0001608628776197385,20.0,-1.77,0.0004825886328592155,True
MAGIC,선택 2020-01~2024-11 판단,59,0.0698,6.86,6.98441304791686e-12,85.0,0.88,2.793765219166744e-11,True
MAGIC,표본외 2024-12~2026-07 판단,20,0.0829,3.15,0.0016229440452382171,75.0,1.09,0.0032458880904764342,True
BUFFETT,선택 2020-01~2024-11 판단,44,0.0717,7.34,2.1294077612310502e-13,89.0,1.88,1.0647038806155251e-12,True
BUFFETT,표본외 2024-12~2026-07 판단,20,0.0928,5.17,2.3241590452194316e-07,85.0,1.34,1.6269113316536021e-06,True
AG(낮을수록),선택 2020-01~2024-11 판단,59,-0.0031,-0.36,0.719926076718487,51.0,0.06,,False
AG(낮을수록),표본외 2024-12~2026-07 판단,20,-0.0344,-4.02,5.7711128054194205e-05,20.0,-1.32,,True
ZPP(높을수록),선택 2020-01~2024-11 판단,59,0.0265,3.55,0.00038491802156626065,68.0,0.81,,True
ZPP(높을수록),표본외 2024-12~2026-07 판단,20,0.0417,4.49,7.185797714859277e-06,85.0,1.08,,True
