전략,기간,연복리%,누적%,최대 손실폭%,최악의 달%,연 매매 건수,연 비용률%,80:20 연복리%,80:20 최대 손실폭%,월 샤프,DSR(N=12),기준 대비 월 초과 평균%,95% 하한%,95% 상한%
BASE,검증 2020-02~2024-12,16.5,111.4,-36.1,-14.9,110.5,3.35,15.6,-36.0,0.234,0.356,0.0,,
BASE,표본외 2025-01~2026-09,35.4,65.4,-22.8,-10.3,126.4,3.57,51.0,-18.2,0.399,0.742,0.0,,
GPA,검증 2020-02~2024-12,-9.3,-38.2,-74.4,-17.8,51.8,1.18,-4.7,-65.2,-0.062,0.004,-1.97,-3.53,-0.33
GPA,표본외 2025-01~2026-09,-4.1,-6.7,-48.9,-24.0,65.6,1.55,21.9,-30.8,0.014,0.158,-2.49,-5.9,0.34
FSCORE,검증 2020-02~2024-12,8.1,46.7,-39.9,-16.1,54.2,1.57,11.2,-38.5,0.124,0.11,-0.55,-2.09,1.18
FSCORE,표본외 2025-01~2026-09,2.8,4.7,-45.2,-22.1,72.2,1.95,27.7,-30.8,0.07,0.232,-1.97,-4.81,0.55
NSI,검증 2020-02~2024-12,-19.0,-64.4,-74.6,-20.6,50.1,1.44,-11.4,-61.9,-0.201,0.0,-2.94,-3.94,-1.96
NSI,표본외 2025-01~2026-09,-6.3,-10.3,-42.0,-21.9,80.6,2.07,20.8,-36.7,0.019,0.162,-2.38,-6.62,2.48
ACC,검증 2020-02~2024-12,-35.9,-88.7,-90.3,-41.7,42.4,1.0,-19.0,-66.6,-0.392,0.0,-4.71,-6.41,-2.93
ACC,표본외 2025-01~2026-09,-23.5,-35.9,-55.1,-19.4,66.2,1.72,13.0,-34.8,-0.148,0.042,-4.19,-7.5,-2.13
MAGIC,검증 2020-02~2024-12,-5.3,-23.3,-55.6,-15.1,55.0,1.53,-2.3,-45.5,-0.043,0.007,-1.74,-3.07,-0.28
MAGIC,표본외 2025-01~2026-09,9.1,15.6,-22.3,-10.2,85.4,2.24,32.1,-21.7,0.161,0.37,-1.82,-3.13,-0.92
BUFFETT,검증 2020-02~2024-12,1.0,5.0,-35.5,-13.9,36.3,0.98,1.0,-33.3,0.042,0.034,-1.27,-3.05,0.04
BUFFETT,표본외 2025-01~2026-09,13.4,23.3,-27.1,-15.2,61.4,1.64,32.1,-24.4,0.18,0.4,-1.41,-2.98,0.17
VOTE,검증 2020-02~2024-12,2.4,12.3,-42.0,-15.5,83.2,2.46,2.3,-39.0,0.063,0.045,-1.13,-2.03,-0.36
VOTE,표본외 2025-01~2026-09,12.7,22.0,-21.4,-12.3,102.3,2.66,29.5,-23.1,0.225,0.48,-1.57,-2.43,-0.53
RANKAVG,검증 2020-02~2024-12,1.3,6.6,-34.9,-14.7,73.4,2.09,2.8,-32.9,0.047,0.034,-1.22,-2.3,-0.26
RANKAVG,표본외 2025-01~2026-09,9.9,17.0,-19.7,-10.8,95.1,2.52,30.4,-22.4,0.182,0.406,-1.78,-3.52,0.19
STACK_LOGIT,검증 2020-02~2024-12,4.9,26.6,-37.0,-15.1,98.2,2.86,5.3,-34.3,0.095,0.074,-0.88,-1.84,0.04
STACK_LOGIT,표본외 2025-01~2026-09,12.4,21.4,-21.5,-11.5,115.5,3.11,35.2,-26.5,0.187,0.414,-1.54,-2.42,-0.24
STACK_LDA,검증 2020-02~2024-12,6.7,37.7,-31.7,-14.6,99.5,2.92,7.0,-29.7,0.119,0.102,-0.75,-1.76,0.19
STACK_LDA,표본외 2025-01~2026-09,13.0,22.5,-21.4,-11.5,114.3,3.07,35.6,-26.5,0.193,0.424,-1.5,-2.43,-0.1
STACK_GBM,검증 2020-02~2024-12,10.0,59.7,-30.6,-14.0,110.5,3.25,9.4,-28.6,0.155,0.149,-0.49,-1.55,0.56
STACK_GBM,표본외 2025-01~2026-09,22.1,39.4,-21.1,-9.6,134.8,3.67,41.4,-20.6,0.295,0.596,-0.87,-1.77,0.21
