후보,구간,평균 IC,IC t(NW3),p,연복리%,누적%,최대 손실폭%,최악의 달%,연 매매 건수,홀름 p,DSR(N=17),선택에 씀
BASE,검증 2020-02~2024-12,0.1224,9.61,0.0,16.5,111.4,-36.1,-14.9,110.5,0.0,0.888,예
BASE,표본외 2025-01~2026-09,0.1307,4.81,1.5433568554268362e-06,35.4,65.4,-22.8,-10.3,126.4,1.5433568554268362e-05,0.783,"아니오(표본외, 선택에 쓰지 않음)"
ADD_BUFFETT,검증 2020-02~2024-12,0.1158,9.3,0.0,18.6,130.8,-36.1,-19.5,106.0,0.0,0.905,예
ADD_BUFFETT,표본외 2025-01~2026-09,0.1238,4.59,4.361513691986119e-06,36.5,67.8,-18.0,-8.0,126.4,1.6663934271798908e-05,0.887,"아니오(표본외, 선택에 쓰지 않음)"
ADD_FSCORE,검증 2020-02~2024-12,0.1169,9.42,0.0,17.6,121.4,-36.1,-16.9,102.7,0.0,0.898,예
ADD_FSCORE,표본외 2025-01~2026-09,0.1255,4.88,1.0374318979433639e-06,26.7,48.2,-20.2,-8.3,121.5,1.1411750877377003e-05,0.742,"아니오(표본외, 선택에 쓰지 않음)"
BUFFETT_for_EP,검증 2020-02~2024-12,0.1207,9.39,0.0,17.9,124.5,-36.1,-16.7,107.6,0.0,0.911,예
BUFFETT_for_EP,표본외 2025-01~2026-09,0.1289,4.71,2.44163858575952e-06,31.9,58.4,-20.8,-8.3,128.8,1.6663934271798908e-05,0.868,"아니오(표본외, 선택에 쓰지 않음)"
BUFFETT_for_SP,검증 2020-02~2024-12,0.1134,8.97,0.0,14.8,96.6,-39.4,-15.8,117.0,0.0,0.855,예
BUFFETT_for_SP,표본외 2025-01~2026-09,0.1215,4.78,1.7233968037100311e-06,22.0,39.1,-16.2,-7.6,122.8,1.5433568554268362e-05,0.753,"아니오(표본외, 선택에 쓰지 않음)"
BUFFETT_for_ROE,검증 2020-02~2024-12,0.1223,9.36,0.0,20.4,148.6,-36.1,-19.1,111.3,0.0,0.93,예
BUFFETT_for_ROE,표본외 2025-01~2026-09,0.1281,4.45,8.3902104179856e-06,36.8,68.3,-14.9,-9.3,137.2,1.67804208359712e-05,0.841,"아니오(표본외, 선택에 쓰지 않음)"
BUFFETT_for_OPG,검증 2020-02~2024-12,0.1286,10.36,0.0,19.0,134.9,-36.1,-16.8,109.2,0.0,0.924,예
