code,industry,rule
067170,자동차 재제조 부품 제조업,자동차·부품
377460,개인 및 가정용품 수리업,유통·소비재
094280,기타 사업 지원 서비스업,기타
006110,1차 비철금속 제조업,철강·금속
478560,신발 및 신발 부분품 제조업,유통·소비재
007210,기타 비금속 광물제품 제조업,건설·건자재
151860,자동차 차체 및 트레일러 제조업,자동차·부품
086060,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,음식료
028670,해상 운송업,조선·해운
039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",인터넷·게임·콘텐츠
119830,"그 외 기타 전문, 과학 및 기술 서비스업",기타
009770,"펄프, 종이 및 판지 제조업",화학·소재
095340,기계장비 및 관련 물품 도매업,유통·소비재
024110,은행 및 저축기관,금융
078130,기타 종이 및 판지 제품 제조업,화학·소재
366030,의복 액세서리 제조업,유통·소비재
318060,합성고무 및 플라스틱 물질 제조업,화학·소재
051780,음ㆍ식료품 및 담배 소매업,음식료
472850,"섬유, 의복, 신발 및 가죽제품 소매업",유통·소비재
064350,철도장비 제조업,기타
241840,"영화, 비디오물, 방송 프로그램 제작 및 배급업",인터넷·게임·콘텐츠
039020,제재 및 목재 가공업,건설·건자재
008250,나무제품 제조업,건설·건자재
069920,무점포 소매업,유통·소비재
024800,육상 여객 운송업,기타
006730,일반 및 생활 숙박시설 운영업,기타
033560,영상 및 음향 기기 제조업,기타
030960,인쇄 및 인쇄관련 산업,기타
067280,기타 교육기관,기타
126720,건물설비 설치 공사업,건설·건자재
010040,"내화, 비내화 요업제품 제조업",건설·건자재
020400,금속 주조업,철강·금속
079980,화학섬유 제조업,화학·소재
353590,자동차 부품 및 내장품 판매업,자동차·부품
383220,봉제의복 제조업,유통·소비재
174900,의료용품 및 기타 의약 관련제품 제조업,바이오·제약
032080,"섬유제품 염색, 정리 및 마무리 가공업",유통·소비재
063440,기록매체 복제업,기타
002780,토목 건설업,건설·건자재
085310,"구조용 금속제품, 탱크 및 증기발생기 제조업",철강·금속
035420,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",인터넷·게임·콘텐츠
333620,기타 전기장비 제조업,에너지·유틸리티
036800,전기 통신업,인터넷·게임·콘텐츠
084680,귀금속 및 장신용품 제조업,철강·금속
032860,"해체, 선별 및 원료 재생업",기타
339950,일반 교습학원,기타
054050,작물 재배업,기타
067900,폐기물 처리업,기타
415380,기타 생활용품 소매업,유통·소비재
008870,유리 및 유리제품 제조업,건설·건자재
284740,개인 및 가정용품 임대업,유통·소비재
028100,기반조성 및 시설물 축조관련 전문공사업,건설·건자재
307930,기타 금융업,금융
238200,동물용 사료 및 조제식품 제조업,음식료
038870,사업시설 유지ㆍ관리 서비스업,기타
033780,담배 제조업,음식료
019550,신탁업 및 집합 투자업,금융
066790,텔레비전 방송업,인터넷·게임·콘텐츠
043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷·게임·콘텐츠
000890,알코올 음료 제조업,음식료
012700,기타 전문 도매업,유통·소비재
011330,"가죽, 가방 및 유사 제품 제조업",유통·소비재
264900,"곡물 가공품, 전분 및 전분제품 제조업",음식료
035900,오디오물 출판 및 원판 녹음업,인터넷·게임·콘텐츠
272450,항공 여객 운송업,방산·항공
115530,전자 부품 제조업,기타
003620,자동차용 엔진 및 자동차 제조업,자동차·부품
051910,기초 화학물질 제조업,화학·소재
003100,기타 운송관련 서비스업,기타
267980,동물성 및 식물성 유지 제조업,기타
084730,통신 및 방송장비 제조업,인터넷·게임·콘텐츠
006090,수산물 가공 및 저장 처리업,음식료
032680,기타 정보 서비스업,인터넷·게임·콘텐츠
443670,상품 중개업,기타
047810,"항공기, 우주선 및 부품 제조업",방산·항공
089860,운송장비 임대업,기타
221800,기타 과학기술 서비스업,기타
034230,유원지 및 기타 오락관련 서비스업,기타
032800,창작 및 예술관련 서비스업,기타
002680,낙농제품 및 식용 빙과류 제조업,음식료
005090,전기업,에너지·유틸리티
014530,석유 정제품 제조업,에너지·유틸리티
256630,기타 금속 가공제품 제조업,철강·금속
149980,의료용 기기 제조업,의료기기
007110,"건축 자재, 철물 및 난방장치 도매업",유통·소비재
058610,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",에너지·유틸리티
079370,특수 목적용 기계 제조업,기타
011300,직물 직조 및 직물제품 제조업,기타
373220,일차전지 및 축전지 제조업,2차전지
071840,가전제품 및 정보 통신장비 소매업,인터넷·게임·콘텐츠
318020,컴퓨터 및 주변 장치 제조업,기타
020710,전문 디자인업,기타
019680,초등 교육기관,기타
007590,"비료, 농약 및 살균ㆍ살충제 제조업",화학·소재
027740,"도축, 육류 가공 및 저장 처리업",음식료
004440,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설·건자재
057540,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",기타
078160,기초 의약 물질 및 생물학적 제제 제조업,바이오·제약
011810,상품 종합 도매업,유통·소비재
014970,"골판지, 종이 상자 및 종이 용기 제조업",화학·소재
