code,name,industry,return_theme,human,ambiguous
067170,오텍,자동차 재제조 부품 제조업,28,자동차·부품,1
377460,위니아에이드,개인 및 가정용품 수리업,11,유통·소비재,0
094280,효성 ITX,기타 사업 지원 서비스업,11,인터넷·게임·콘텐츠,0
006110,삼아알미늄,1차 비철금속 제조업,14,철강·금속,1
478560,블랙야크아이앤씨,신발 및 신발 부분품 제조업,3,기타,1
007210,벽산,기타 비금속 광물제품 제조업,11,건설·건자재,0
151860,KG에코솔루션,자동차 차체 및 트레일러 제조업,11,자동차·부품,1
086060,진바이오텍,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,11,바이오·제약,1
028670,팬오션,해상 운송업,6,조선·해운,0
039980,폴라리스AI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",21,인터넷·게임·콘텐츠,1
119830,아이텍,"그 외 기타 전문, 과학 및 기술 서비스업",4,반도체,0
009770,삼정펄프,"펄프, 종이 및 판지 제조업",11,화학·소재,0
095340,ISC,기계장비 및 관련 물품 도매업,28,반도체,0
024110,기업은행,은행 및 저축기관,11,금융,0
078130,국일제지,기타 종이 및 판지 제품 제조업,15,화학·소재,0
366030,공구우먼,의복 액세서리 제조업,27,유통·소비재,0
318060,그래피,합성고무 및 플라스틱 물질 제조업,28,의료기기,1
051780,큐로홀딩스,음ㆍ식료품 및 담배 소매업,11,음식료,1
472850,폰드그룹,"섬유, 의복, 신발 및 가죽제품 소매업",30,유통·소비재,0
064350,현대로템,철도장비 제조업,27,방산·항공,0
241840,에이스토리,"영화, 비디오물, 방송 프로그램 제작 및 배급업",13,인터넷·게임·콘텐츠,0
039020,이건홀딩스,제재 및 목재 가공업,11,건설·건자재,0
008250,이건산업,나무제품 제조업,11,건설·건자재,0
069920,엑시온그룹,무점포 소매업,11,건설·건자재,0
024800,유성티엔에스,육상 여객 운송업,14,기타,0
006730,서부T&D,일반 및 생활 숙박시설 운영업,11,유통·소비재,1
033560,블루콤,영상 및 음향 기기 제조업,11,유통·소비재,1
030960,양지사,인쇄 및 인쇄관련 산업,11,기타,0
067280,멀티캠퍼스,기타 교육기관,11,기타,0
126720,수산인더스트리,건물설비 설치 공사업,28,에너지·유틸리티,1
010040,한국내화,"내화, 비내화 요업제품 제조업",11,건설·건자재,1
020400,대동금속,금속 주조업,1,철강·금속,0
079980,휴비스,화학섬유 제조업,11,화학·소재,0
353590,오토앤,자동차 부품 및 내장품 판매업,10,자동차·부품,0
383220,F&F,봉제의복 제조업,11,유통·소비재,0
174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,28,바이오·제약,0
032080,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업",11,유통·소비재,0
063440,SM Life Design,기록매체 복제업,13,기타,1
002780,진흥기업,토목 건설업,27,건설·건자재,0
085310,엔케이,"구조용 금속제품, 탱크 및 증기발생기 제조업",6,조선·해운,0
035420,NAVER,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",4,인터넷·게임·콘텐츠,0
333620,엔시스,기타 전기장비 제조업,11,2차전지,0
036800,나이스정보통신,전기 통신업,11,금융,1
084680,이월드,귀금속 및 장신용품 제조업,26,유통·소비재,0
032860,더라미,"해체, 선별 및 원료 재생업",11,유통·소비재,0
339950,아이비김영,일반 교습학원,11,기타,0
054050,농우바이오,작물 재배업,11,음식료,1
067900,와이엔텍,폐기물 처리업,8,기타,1
415380,스튜디오삼익,기타 생활용품 소매업,11,유통·소비재,0
008870,금비,유리 및 유리제품 제조업,11,화학·소재,1
284740,쿠쿠홈시스,개인 및 가정용품 임대업,11,유통·소비재,0
028100,동아지질,기반조성 및 시설물 축조관련 전문공사업,18,건설·건자재,0
307930,컴퍼니케이,기타 금융업,28,금융,0
238200,비피도,동물용 사료 및 조제식품 제조업,11,바이오·제약,0
038870,에코바이오,사업시설 유지ㆍ관리 서비스업,22,에너지·유틸리티,0
033780,케이티앤지,담배 제조업,11,음식료,0
019550,SBI인베스트먼트,신탁업 및 집합 투자업,11,금융,0
066790,씨씨에스,텔레비전 방송업,11,인터넷·게임·콘텐츠,0
043610,KT지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",11,인터넷·게임·콘텐츠,0
000890,보해양조,알코올 음료 제조업,8,음식료,0
012700,리드코프,기타 전문 도매업,11,에너지·유틸리티,1
011330,유니켐,"가죽, 가방 및 유사 제품 제조업",5,유통·소비재,1
264900,크라운제과,"곡물 가공품, 전분 및 전분제품 제조업",11,음식료,0
035900,JYP Ent.,오디오물 출판 및 원판 녹음업,13,인터넷·게임·콘텐츠,0
272450,진에어,항공 여객 운송업,11,방산·항공,0
115530,씨엔플러스,전자 부품 제조업,14,기타,0
003620,KG모빌리티,자동차용 엔진 및 자동차 제조업,11,자동차·부품,0
051910,LG화학,기초 화학물질 제조업,28,2차전지,1
003100,선광,기타 운송관련 서비스업,11,조선·해운,1
267980,매일유업,동물성 및 식물성 유지 제조업,11,음식료,0
084730,팅크웨어,통신 및 방송장비 제조업,11,자동차·부품,1
006090,사조오양,수산물 가공 및 저장 처리업,11,음식료,0
032680,소프트센,기타 정보 서비스업,11,인터넷·게임·콘텐츠,0
443670,에스피소프트,상품 중개업,13,인터넷·게임·콘텐츠,0
047810,한국항공우주,"항공기, 우주선 및 부품 제조업",27,방산·항공,0
089860,롯데렌탈,운송장비 임대업,9,자동차·부품,1
221800,유투바이오,기타 과학기술 서비스업,28,인터넷·게임·콘텐츠,1
034230,파라다이스,유원지 및 기타 오락관련 서비스업,11,기타,0
032800,판타지오,창작 및 예술관련 서비스업,11,인터넷·게임·콘텐츠,0
002680,한탑,낙농제품 및 식용 빙과류 제조업,13,음식료,0
005090,SGC에너지,전기업,28,에너지·유틸리티,1
014530,극동유화,석유 정제품 제조업,11,에너지·유틸리티,1
256630,포인트엔지니어링,기타 금속 가공제품 제조업,11,반도체,0
149980,하이로닉,의료용 기기 제조업,11,의료기기,0
007110,일신석재,"건축 자재, 철물 및 난방장치 도매업",7,건설·건자재,0
058610,에스피지,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",28,기타,0
079370,제우스,특수 목적용 기계 제조업,28,반도체,0
011300,성안머티리얼스,직물 직조 및 직물제품 제조업,21,유통·소비재,1
373220,LG에너지솔루션,일차전지 및 축전지 제조업,28,2차전지,0
071840,롯데하이마트,가전제품 및 정보 통신장비 소매업,11,유통·소비재,0
318020,포인트모바일,컴퓨터 및 주변 장치 제조업,11,기타,0
020710,시공테크,전문 디자인업,22,기타,1
019680,대교,초등 교육기관,11,기타,0
007590,동방아그로,"비료, 농약 및 살균ㆍ살충제 제조업",11,화학·소재,0
027740,마니커,"도축, 육류 가공 및 저장 처리업",11,음식료,0
004440,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업",28,건설·건자재,0
057540,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",11,기타,1
078160,메디포스트,기초 의약 물질 및 생물학적 제제 제조업,28,바이오·제약,0
011810,STX,상품 종합 도매업,11,철강·금속,1
014970,삼륭물산,"골판지, 종이 상자 및 종이 용기 제조업",11,화학·소재,0
