code,name,industry,market,return_theme,rcept_no,rcept_date
067170,오텍,자동차 재제조 부품 제조업,코스닥시장상장법인,28,20260319001411,2026-03-19
377460,위니아에이드,개인 및 가정용품 수리업,코스닥시장상장법인,11,20260319000536,2026-03-19
094280,효성 ITX,기타 사업 지원 서비스업,유가증권시장상장법인,11,20260318001001,2026-03-18
006110,삼아알미늄,1차 비철금속 제조업,유가증권시장상장법인,14,20260318000860,2026-03-18
478560,블랙야크아이앤씨,신발 및 신발 부분품 제조업,코스닥시장상장법인,3,20260324000048,2026-03-24
007210,벽산,기타 비금속 광물제품 제조업,유가증권시장상장법인,11,20260323001448,2026-03-23
151860,KG에코솔루션,자동차 차체 및 트레일러 제조업,코스닥시장상장법인,11,20260318001667,2026-03-18
086060,진바이오텍,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,코스닥시장상장법인,11,20260318001676,2026-03-18
028670,팬오션,해상 운송업,유가증권시장상장법인,6,20260319001097,2026-03-19
039980,폴라리스AI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",코스닥시장상장법인,21,20260316001624,2026-03-16
119830,아이텍,"그 외 기타 전문, 과학 및 기술 서비스업",코스닥시장상장법인,4,20250312000727,2025-03-12
009770,삼정펄프,"펄프, 종이 및 판지 제조업",유가증권시장상장법인,11,20260319000474,2026-03-19
095340,ISC,기계장비 및 관련 물품 도매업,코스닥시장상장법인,28,20260318000018,2026-03-18
024110,기업은행,은행 및 저축기관,유가증권시장상장법인,11,20260318000761,2026-03-18
078130,국일제지,기타 종이 및 판지 제품 제조업,코스닥시장상장법인,15,20250320001247,2025-03-20
366030,공구우먼,의복 액세서리 제조업,코스닥시장상장법인,27,20260323001324,2026-03-23
318060,그래피,합성고무 및 플라스틱 물질 제조업,코스닥시장상장법인,28,20260323001740,2026-03-23
051780,큐로홀딩스,음ㆍ식료품 및 담배 소매업,코스닥시장상장법인,11,20260320000208,2026-03-20
472850,폰드그룹,"섬유, 의복, 신발 및 가죽제품 소매업",코스닥시장상장법인,30,20250321001747,2025-03-21
064350,현대로템,철도장비 제조업,유가증권시장상장법인,27,20260319001275,2026-03-19
241840,에이스토리,"영화, 비디오물, 방송 프로그램 제작 및 배급업",코스닥시장상장법인,13,20260318001707,2026-03-18
039020,이건홀딩스,제재 및 목재 가공업,코스닥시장상장법인,11,20260318001617,2026-03-18
008250,이건산업,나무제품 제조업,유가증권시장상장법인,11,20260318001636,2026-03-18
069920,엑시온그룹,무점포 소매업,코스닥시장상장법인,11,20260327001683,2026-03-27
024800,유성티엔에스,육상 여객 운송업,코스닥시장상장법인,14,20260323001724,2026-03-23
006730,서부T&D,일반 및 생활 숙박시설 운영업,코스닥시장상장법인,11,20260319000002,2026-03-19
033560,블루콤,영상 및 음향 기기 제조업,코스닥시장상장법인,11,20250313001159,2025-03-13
030960,양지사,인쇄 및 인쇄관련 산업,코스닥시장상장법인,11,20260910000305,2026-09-10
067280,멀티캠퍼스,기타 교육기관,코스닥시장상장법인,11,20250311000674,2025-03-11
126720,수산인더스트리,건물설비 설치 공사업,유가증권시장상장법인,28,20260323001320,2026-03-23
010040,한국내화,"내화, 비내화 요업제품 제조업",유가증권시장상장법인,11,20260319000796,2026-03-19
020400,대동금속,금속 주조업,코스닥시장상장법인,1,20260318000731,2026-03-18
079980,휴비스,화학섬유 제조업,유가증권시장상장법인,11,20250317000508,2025-03-17
353590,오토앤,자동차 부품 및 내장품 판매업,코스닥시장상장법인,10,20260320001402,2026-03-20
383220,F&F,봉제의복 제조업,유가증권시장상장법인,11,20260318001512,2026-03-18
174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,코스닥시장상장법인,28,20260313000798,2026-03-13
032080,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업",코스닥시장상장법인,11,20260323001517,2026-03-23
063440,SM Life Design,기록매체 복제업,코스닥시장상장법인,13,20260316000473,2026-03-16
002780,진흥기업,토목 건설업,유가증권시장상장법인,27,20260311004416,2026-03-11
085310,엔케이,"구조용 금속제품, 탱크 및 증기발생기 제조업",유가증권시장상장법인,6,20260323001528,2026-03-23
035420,NAVER,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",유가증권시장상장법인,4,20260313001021,2026-03-13
333620,엔시스,기타 전기장비 제조업,코스닥시장상장법인,11,20260323000257,2026-03-23
036800,나이스정보통신,전기 통신업,코스닥시장상장법인,11,20260316001148,2026-03-16
084680,이월드,귀금속 및 장신용품 제조업,유가증권시장상장법인,26,20250313000580,2025-03-13
032860,더라미,"해체, 선별 및 원료 재생업",코스닥시장상장법인,11,20260320001093,2026-03-20
339950,아이비김영,일반 교습학원,코스닥시장상장법인,11,20260317000187,2026-03-17
054050,농우바이오,작물 재배업,코스닥시장상장법인,11,20260320000311,2026-03-20
067900,와이엔텍,폐기물 처리업,코스닥시장상장법인,8,20260320000662,2026-03-20
415380,스튜디오삼익,기타 생활용품 소매업,코스닥시장상장법인,11,20250320000842,2025-03-20
008870,금비,유리 및 유리제품 제조업,유가증권시장상장법인,11,20251215000379,2025-12-15
284740,쿠쿠홈시스,개인 및 가정용품 임대업,유가증권시장상장법인,11,20260318001337,2026-03-18
028100,동아지질,기반조성 및 시설물 축조관련 전문공사업,유가증권시장상장법인,18,20260318001545,2026-03-18
307930,컴퍼니케이,기타 금융업,코스닥시장상장법인,28,20260320000973,2026-03-20
238200,비피도,동물용 사료 및 조제식품 제조업,코스닥시장상장법인,11,20260311003760,2026-03-11
038870,에코바이오,사업시설 유지ㆍ관리 서비스업,코스닥시장상장법인,22,20260318000475,2026-03-18
033780,케이티앤지,담배 제조업,유가증권시장상장법인,11,20260318001422,2026-03-18
019550,SBI인베스트먼트,신탁업 및 집합 투자업,코스닥시장상장법인,11,20260318001599,2026-03-18
066790,씨씨에스,텔레비전 방송업,코스닥시장상장법인,11,20260323001734,2026-03-23
043610,KT지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",코스닥시장상장법인,11,20260318000742,2026-03-18
000890,보해양조,알코올 음료 제조업,유가증권시장상장법인,8,20260318000704,2026-03-18
012700,리드코프,기타 전문 도매업,코스닥시장상장법인,11,20260319001217,2026-03-19
011330,유니켐,"가죽, 가방 및 유사 제품 제조업",유가증권시장상장법인,5,20240327000002,2024-03-27
264900,크라운제과,"곡물 가공품, 전분 및 전분제품 제조업",유가증권시장상장법인,11,20260318000900,2026-03-18
035900,JYP Ent.,오디오물 출판 및 원판 녹음업,코스닥시장상장법인,13,20260318001519,2026-03-18
