task,method,conf_bin,n,mean_conf,acc
t1,zeroshot,0-0.5,93,0.394,0.28
t1,zeroshot,0.5-0.7,98,0.6,0.48
t1,zeroshot,0.7-0.9,123,0.815,0.756
t1,zeroshot,0.9-0.99,139,0.953,0.885
t1,zeroshot,0.99-1,172,0.998,0.965
t1,head,0-0.5,44,0.371,0.5
t1,head,0.5-0.7,39,0.591,0.615
t1,head,0.7-0.9,67,0.813,0.851
t1,head,0.9-0.99,178,0.968,0.955
t1,head,0.99-1,297,0.997,0.987
t1,partial,0-0.5,29,0.268,0.345
t1,partial,0.5-0.7,8,0.626,0.5
t1,partial,0.7-0.9,10,0.808,0.6
t1,partial,0.9-0.99,26,0.968,0.923
t1,partial,0.99-1,552,1.0,0.993
t2,zeroshot,0-0.5,60,0.436,0.45
t2,zeroshot,0.5-0.7,171,0.61,0.515
t2,zeroshot,0.7-0.9,183,0.781,0.563
t2,zeroshot,0.9-0.99,1,0.912,1.0
t2,zeroshot,0.99-1,1,0.993,0.0
t2,head,0-0.5,107,0.415,0.439
t2,head,0.5-0.7,181,0.601,0.613
t2,head,0.7-0.9,116,0.775,0.578
t2,head,0.9-0.99,11,0.936,0.818
t2,head,0.99-1,1,0.994,0.0
t2,partial,0-0.5,92,0.373,0.424
t2,partial,0.5-0.7,70,0.622,0.514
t2,partial,0.7-0.9,235,0.811,0.63
t2,partial,0.9-0.99,19,0.916,0.842
