rcept_no,rcept_dt,split,t1,t2
20190131000001,20190131,train,자기주식취득,주가안정·주주가치
20190128000203,20190128,train,자기주식취득,주가안정·주주가치
20190124000253,20190124,train,자기주식취득,주가안정·주주가치
20190117000193,20190117,train,자기주식취득,주가안정·주주가치
20190115000187,20190115,train,자기주식취득,주가안정·주주가치
20190110000552,20190110,train,자기주식취득,기타
20190109000121,20190109,train,자기주식취득,주가안정·주주가치
20190107000032,20190107,train,자기주식취득,주가안정·주주가치
20190227003946,20190227,train,자기주식취득,주가안정·주주가치
20190227003128,20190227,train,자기주식취득,주가안정·주주가치
20190226002667,20190226,train,자기주식취득,주가안정·주주가치
20190222001766,20190222,train,자기주식취득,임직원 보상
20190222001218,20190222,train,자기주식취득,기타
20190222000258,20190222,train,자기주식취득,주가안정·주주가치
20190220001361,20190220,train,자기주식취득,소각
20190220001028,20190220,train,자기주식취득,소각
20190220000782,20190220,train,자기주식취득,주가안정·주주가치
20190220000538,20190220,train,자기주식취득,주가안정·주주가치
20190220000352,20190220,train,자기주식취득,주가안정·주주가치
20190220000351,20190220,train,자기주식취득,주가안정·주주가치
20190219000174,20190219,train,자기주식취득,주가안정·주주가치
20190215000126,20190215,train,자기주식취득,기타
20190212000453,20190212,train,자기주식취득,주가안정·주주가치
20190211000355,20190211,train,자기주식취득,주가안정·주주가치
20190207000390,20190207,train,자기주식취득,주가안정·주주가치
20190326000967,20190326,train,자기주식취득,소각
20190320000387,20190320,train,자기주식취득,주가안정·주주가치
20190320000190,20190320,train,자기주식취득,주가안정·주주가치
20190311001093,20190312,train,자기주식취득,소각
20190308000805,20190308,train,자기주식취득,주가안정·주주가치
20190307000280,20190307,train,자기주식취득,주가안정·주주가치
20190430000801,20190430,train,자기주식취득,임직원 보상
20190429000298,20190429,train,자기주식취득,주가안정·주주가치
20190426000594,20190426,train,자기주식취득,주가안정·주주가치
20190425000506,20190425,train,자기주식취득,기타
20190425000346,20190425,train,자기주식취득,주가안정·주주가치
20190417000236,20190417,train,자기주식취득,주가안정·주주가치
20190410002038,20190410,train,자기주식취득,소각
20190409002108,20190409,train,자기주식취득,주가안정·주주가치
20190405001954,20190405,train,자기주식취득,주가안정·주주가치
20190531000558,20190531,train,자기주식취득,주가안정·주주가치
20190530000608,20190530,train,자기주식취득,소각
20190530000213,20190530,train,자기주식취득,주가안정·주주가치
20190523000295,20190523,train,자기주식취득,주가안정·주주가치
20190522000245,20190522,train,자기주식취득,주가안정·주주가치
20190521000466,20190521,train,자기주식취득,주가안정·주주가치
20190520000192,20190520,train,자기주식취득,기타
20190520000146,20190520,train,자기주식취득,주가안정·주주가치
20190513000272,20190513,train,자기주식취득,주가안정·주주가치
20190510000375,20190510,train,자기주식취득,주가안정·주주가치
20190509000356,20190509,train,자기주식취득,주가안정·주주가치
20190509000290,20190509,train,자기주식취득,주가안정·주주가치
20190509000271,20190509,train,자기주식취득,소각
20190617000330,20190617,train,자기주식취득,주가안정·주주가치
20190614000287,20190614,train,자기주식취득,임직원 보상
20190614000150,20190614,train,자기주식취득,기타
