task,method,split,n,acc,macro_f1,ece,cov_ge_0.9,acc_ge_0.9
t1,baseline,val,326,0.9294,0.7977,,,
t1,zeroshot,val,326,0.727,0.3154,0.0691,0.4663,0.9342
t1,head,val,326,0.9417,0.8778,0.0495,0.8006,0.9808
t1,partial,val,326,0.9663,0.8629,0.0119,0.9571,0.9968
t1,baseline,test,625,0.896,0.7338,,,
t1,zeroshot,test,625,0.728,0.3119,0.0784,0.4976,0.9293
t1,head,test,625,0.9056,0.7854,0.0282,0.76,0.9747
t1,partial,test,625,0.9472,0.8463,0.0208,0.9248,0.9896
t2,baseline,val,218,0.1972,0.0843,,,
t2,zeroshot,val,218,0.6972,0.2168,0.0981,0.0183,0.75
t2,head,val,218,0.7339,0.4231,0.1432,0.055,0.6667
t2,partial,val,218,0.7202,0.301,0.0865,0.0367,1.0
t2,baseline,test,416,0.2692,0.1324,,,
t2,zeroshot,test,416,0.5264,0.1883,0.1661,0.0048,0.5
t2,head,test,416,0.5625,0.2802,0.1006,0.0288,0.75
t2,partial,test,416,0.5745,0.2788,0.1552,0.0457,0.8421
